part number;3d model(step);status;application;series;series description;size;tcc;temp. range;voltage (v);capacitance;tolerance;l (mm);w (mm);thickness (max.)(mm);l2/l3;l4;a;b;p;d.f.(max);i.r (min);endurance (% rv);test method;solderingmethod;aec-q200;capmeasurementcondition;packing;spq (pcs);unitweight(typ);termination;spec sheet link;datasheet;esd_level;esd_max_voltage
AC0201CRNPO8BN2R7;0201_063_033_033_020_023.STEP;;Automotive;AC;Automotive grade;0201 (0603);NPO;-55 to +125°C;25.0;2.7 pF;±0.25pF;0.60 ±0.03;0.30 ±0.03;0.30 ±0.03;0.10~0.20;0.2;;;;0.22%;100.0 GΩ;200%;AEC Q200;Reflow;Yes;1 MHz, 1 Vrms;Paper/PE Tape Reel 7 inch;0;0.00030 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/AC0201CRNPO8BN2R7;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-AC_NP0X7RX7S_6.3V-to-2KV_19.pdf;;
AC0201JRNPO9BN101;0201_063_033_033_020_023.STEP;;Automotive;AC;Automotive grade;0201 (0603);NPO;-55 to +125°C;50.0;100 pF;±5%;0.60 ±0.03;0.30 ±0.03;0.30 ±0.03;0.10~0.20;0.2;;;;0.10%;100.0 GΩ;200%;AEC Q200;Reflow;Yes;1 MHz, 1 Vrms;Paper/PE Tape Reel 7 inch;0;0.00030 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/AC0201JRNPO9BN101;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-AC_NP0X7RX7S_6.3V-to-2KV_19.pdf;;
AC0201JRNPO9BN121;0201_063_033_033_020_023.STEP;;Automotive;AC;Automotive grade;0201 (0603);NPO;-55 to +125°C;50.0;120 pF;±5%;0.60 ±0.03;0.30 ±0.03;0.30 ±0.03;0.10~0.20;0.2;;;;0.10%;100.0 GΩ;200%;AEC Q200;Reflow;Yes;1 MHz, 1 Vrms;Paper/PE Tape Reel 7 inch;0;0.00030 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/AC0201JRNPO9BN121;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-AC_NP0X7RX7S_6.3V-to-2KV_19.pdf;;
AC0201JRNPO9BN151;0201_063_033_033_020_023.STEP;;Automotive;AC;Automotive grade;0201 (0603);NPO;-55 to +125°C;50.0;150 pF;±5%;0.60 ±0.03;0.30 ±0.03;0.30 ±0.03;0.10~0.20;0.2;;;;0.10%;100.0 GΩ;200%;AEC Q200;Reflow;Yes;1 MHz, 1 Vrms;Paper/PE Tape Reel 7 inch;0;0.00030 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/AC0201JRNPO9BN151;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-AC_NP0X7RX7S_6.3V-to-2KV_19.pdf;;
AC0201JRNPO9BN181;0201_063_033_033_020_023.STEP;;Automotive;AC;Automotive grade;0201 (0603);NPO;-55 to +125°C;50.0;180 pF;±5%;0.60 ±0.03;0.30 ±0.03;0.30 ±0.03;0.10~0.20;0.2;;;;0.10%;100.0 GΩ;200%;AEC Q200;Reflow;Yes;1 MHz, 1 Vrms;Paper/PE Tape Reel 7 inch;0;0.00030 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/AC0201JRNPO9BN181;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-AC_NP0X7RX7S_6.3V-to-2KV_19.pdf;;
AC0201JRNPO9BN221;0201_063_033_033_020_023.STEP;;Automotive;AC;Automotive grade;0201 (0603);NPO;-55 to +125°C;50.0;220 pF;±5%;0.60 ±0.03;0.30 ±0.03;0.30 ±0.03;0.10~0.20;0.2;;;;0.10%;100.0 GΩ;200%;AEC Q200;Reflow;Yes;1 MHz, 1 Vrms;Paper/PE Tape Reel 7 inch;0;0.00030 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/AC0201JRNPO9BN221;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-AC_NP0X7RX7S_6.3V-to-2KV_19.pdf;;
AC0201JRNPO9BN470;0201_063_033_033_020_023.STEP;;Automotive;AC;Automotive grade;0201 (0603);NPO;-55 to +125°C;50.0;47 pF;±5%;0.60 ±0.03;0.30 ±0.03;0.30 ±0.03;0.10~0.20;0.2;;;;0.10%;100.0 GΩ;200%;AEC Q200;Reflow;Yes;1 MHz, 1 Vrms;Paper/PE Tape Reel 7 inch;0;0.00030 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/AC0201JRNPO9BN470;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-AC_NP0X7RX7S_6.3V-to-2KV_19.pdf;;
AC0201JRNPO9BN560;0201_063_033_033_020_023.STEP;;Automotive;AC;Automotive grade;0201 (0603);NPO;-55 to +125°C;50.0;56 pF;±5%;0.60 ±0.03;0.30 ±0.03;0.30 ±0.03;0.10~0.20;0.2;;;;0.10%;100.0 GΩ;200%;AEC Q200;Reflow;Yes;1 MHz, 1 Vrms;Paper/PE Tape Reel 7 inch;0;0.00030 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/AC0201JRNPO9BN560;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-AC_NP0X7RX7S_6.3V-to-2KV_19.pdf;;
AC1206FKNPOZBN470;1206_350_180_145_075_200.STEP;;Automotive;AC;Automotive grade;1206 (3216);NPO;-55 to +125°C;630;47 pF;±1%;3.20 ±0.30;1.60 ±0.20;1.25 ±0.20;0.25~0.75;1.5;;;;0.10%;100.0 GΩ;130%;AEC Q200;Reflow/Wave;Yes;1 MHz, 1 Vrms;Embossed Plastic Tape Reel 7 inch;0;0.03410 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/AC1206FKNPOZBN470;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-AC_NP0X7RX7S_6.3V-to-2KV_19.pdf;;
AC1206JKNPODBN100;1206_350_180_145_075_200.STEP;;Automotive;AC;Automotive grade;1206 (3216);NPO;-55 to +125°C;2000;10 pF;±5%;3.20 ±0.30;1.60 ±0.20;1.25 ±0.20;0.25~0.75;1.5;;;;0.17%;100.0 GΩ;120%;AEC Q200;Reflow/Wave;Yes;1 MHz, 1 Vrms;Embossed Plastic Tape Reel 7 inch;0;0.03410 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/AC1206JKNPODBN100;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-AC_NP0X7RX7S_6.3V-to-2KV_19.pdf;;
