part number;3d model(step);status;application;series;series description;size;tcc;temp. range;voltage (v);capacitance;tolerance;l (mm);w (mm);thickness (max.)(mm);l2/l3;l4;a;b;p;d.f.(max);i.r (min);endurance (% rv);test method;solderingmethod;aec-q200;capmeasurementcondition;packing;spq (pcs);unitweight(typ);termination;spec sheet link;datasheet;esd_level;esd_max_voltage
AC0201KRX7R7BB121;0201_063_033_033_020_023.STEP;;Automotive;AC;Automotive grade;0201 (0603);X7R;-55 to +125°C;16.0;120 pF;±10%;0.60 ±0.03;0.30 ±0.03;0.30 ±0.03;0.10~0.20;0.2;;;;3.50%;10.0 GΩ;200%;AEC Q200;Reflow;Yes;1 KHz, 1 Vrms;Paper/PE Tape Reel 7 inch;0;0.00030 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/AC0201KRX7R7BB121;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-AC_NP0X7RX7S_6.3V-to-2KV_19.pdf;;
AC0805KPX7RABB152;0805_220_145_095_075_070.STEP;;Automotive;AC;Automotive grade;0805 (2012);X7R;-55 to +125°C;200;1.5 nF;±10%;2.00 ±0.20;1.25 ±0.20;0.85 ±0.10;0.25~0.75;0.7;;;;2.50%;10.0 GΩ;150%;AEC Q200;Reflow/Wave;Yes;1 KHz, 1 Vrms;Paper/PE Tape Reel 13 inch;0;0.01170 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/AC0805KPX7RABB152;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-AC_NP0X7RX7S_6.3V-to-2KV_19.pdf;;
AC0805KRX7RABB152;0805_220_145_095_075_070.STEP;;Automotive;AC;Automotive grade;0805 (2012);X7R;-55 to +125°C;200;1.5 nF;±10%;2.00 ±0.20;1.25 ±0.20;0.85 ±0.10;0.25~0.75;0.7;;;;2.50%;10.0 GΩ;150%;AEC Q200;Reflow/Wave;Yes;1 KHz, 1 Vrms;Paper/PE Tape Reel 7 inch;0;0.01170 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/AC0805KRX7RABB152;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-AC_NP0X7RX7S_6.3V-to-2KV_19.pdf;;
AC0402JRX7R9BB182;0402_105_055_055_035_035.STEP;;Automotive;AC;Automotive grade;0402 (1005);X7R;-55 to +125°C;50.0;1.8 nF;±5%;1.00 ±0.05;0.50 ±0.05;0.50 ±0.05;0.15~0.35;0.3;;;;2.50%;10.0 GΩ;200%;AEC Q200;Reflow;Yes;1 KHz, 1 Vrms;Paper/PE Tape Reel 7 inch;0;0.00140 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/AC0402JRX7R9BB182;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-AC_NP0X7RX7S_6.3V-to-2KV_19.pdf;;
AC0402KPX7R9BB223;0402_105_055_055_035_035.STEP;;Automotive;AC;Automotive grade;0402 (1005);X7R;-55 to +125°C;50.0;22 nF;±10%;1.00 ±0.05;0.50 ±0.05;0.50 ±0.05;0.15~0.35;0.3;;;;5.00%;10.0 GΩ;150%;AEC Q200;Reflow;Yes;1 KHz, 1 Vrms;Paper/PE Tape Reel 13 inch;0;0.00140 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/AC0402KPX7R9BB223;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-AC_NP0X7RX7S_6.3V-to-2KV_19.pdf;;
AC0402KRX7R6BB333;0402_105_055_055_035_035.STEP;;Automotive;AC;Automotive grade;0402 (1005);X7R;-55 to +125°C;10.0;33 nF;±10%;1.00 ±0.05;0.50 ±0.05;0.50 ±0.05;0.15~0.35;0.3;;;;5.00%;10.0 GΩ;200%;AEC Q200;Reflow;Yes;1 KHz, 1 Vrms;Paper/PE Tape Reel 7 inch;0;0.00140 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/AC0402KRX7R6BB333;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-AC_NP0X7RX7S_6.3V-to-2KV_19.pdf;;
AC0603KPX7R0BB104;0603_170_090_090_050_070.STEP;;Automotive;AC;Automotive grade;0603 (1608);X7R;-55 to +125°C;100;100 nF;±10%;1.60 ±0.10;0.80 ±0.10;0.80 ±0.10;0.20~0.50;0.6;;;;5.00%;5.0 GΩ;150%;AEC Q200;Reflow/Wave;Yes;1 KHz, 1 Vrms;Paper/PE Tape Reel 13 inch;0;0.00560 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/AC0603KPX7R0BB104;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-AC_NP0X7RX7S_6.3V-to-2KV_19.pdf;;
AC0603KPX7R7BB102;0603_170_090_090_050_070.STEP;;Automotive;AC;Automotive grade;0603 (1608);X7R;-55 to +125°C;16;1 nF;±10%;1.60 ±0.10;0.80 ±0.10;0.80 ±0.10;0.20~0.50;0.6;;;;3.50%;10.0 GΩ;200%;AEC Q200;Reflow/Wave;Yes;1 KHz, 1 Vrms;Paper/PE Tape Reel 13 inch;0;0.00560 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/AC0603KPX7R7BB102;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-AC_NP0X7RX7S_6.3V-to-2KV_19.pdf;;
AC0201KPX7R8BB101;0201_063_033_033_020_023.STEP;;Automotive;AC;Automotive grade;0201 (0603);X7R;-55 to +125°C;25.0;100 pF;±10%;0.60 ±0.03;0.30 ±0.03;0.30 ±0.03;0.10~0.20;0.2;;;;2.50%;10.0 GΩ;200%;AEC Q200;Reflow;Yes;1 KHz, 1 Vrms;Paper/PE Tape Reel 13 inch;50,000;0.00030 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/AC0201KPX7R8BB101;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-AC_NP0X7RX7S_6.3V-to-2KV_20.pdf;;
AC0201KPX7R8BB102;0201_063_033_033_020_023.STEP;;Automotive;AC;Automotive grade;0201 (0603);X7R;-55 to +125°C;25.0;1 nF;±10%;0.60 ±0.03;0.30 ±0.03;0.30 ±0.03;0.10~0.20;0.2;;;;5.00%;10.0 GΩ;200%;AEC Q200;Reflow;Yes;1 KHz, 1 Vrms;Paper/PE Tape Reel 13 inch;50,000;0.00030 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/AC0201KPX7R8BB102;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-AC_NP0X7RX7S_6.3V-to-2KV_20.pdf;;
