part number;3d model(step);status;application;series;series description;size;tcc;temp. range;voltage (v);capacitance;tolerance;l (mm);w (mm);thickness (max.)(mm);l2/l3;l4;a;b;p;d.f.(max);i.r (min);endurance (% rv);test method;solderingmethod;aec-q200;capmeasurementcondition;packing;spq (pcs);unitweight(typ);termination;spec sheet link;datasheet;esd_level;esd_max_voltage
CC0805KFX7RBBB103;0805_220_145_145_075_070.STEP;;General Purpose;CC HV;General purpose high voltage;0805 (2012);X7R;-55 to +125°C;500.0;10 nF;±10%;2.00 ±0.20;1.25 ±0.20;1.25 ±0.20;0.25~0.75;0.7;;;;2.50%;1.0 GΩ;120%;IEC-60384;Reflow/Wave;No;1 KHz, 1 Vrms;Embossed Plastic Tape Reel 13 inch;10,000;0.01170 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0805KFX7RBBB103;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-NP0X7R_HV_500V-to-3KV_16.pdf;;
CC0805KKX7RBBB103;0805_220_145_145_075_070.STEP;;General Purpose;CC HV;General purpose high voltage;0805 (2012);X7R;-55 to +125°C;500.0;10 nF;±10%;2.00 ±0.20;1.25 ±0.20;1.25 ±0.20;0.25~0.75;0.7;;;;2.50%;1.0 GΩ;120%;IEC-60384;Reflow/Wave;No;1 KHz, 1 Vrms;Embossed Plastic Tape Reel 7 inch;3,000;0.01170 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0805KKX7RBBB103;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-NP0X7R_HV_500V-to-3KV_16.pdf;;
CC0805KKX7RBBB223;0805_220_145_145_075_070.STEP;;General Purpose;CC HV;General purpose high voltage;0805 (2012);X7R;-55 to +125°C;500.0;22 nF;±10%;2.00 ±0.20;1.25 ±0.20;1.25 ±0.20;0.25~0.75;0.7;;;;2.50%;4.54 GΩ;120%;IEC-60384;Reflow/Wave;No;1 KHz, 1 Vrms;Embossed Plastic Tape Reel 7 inch;3,000;0.01170 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0805KKX7RBBB223;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-NP0X7R_HV_500V-to-3KV_16.pdf;;
CC0805KKX7RZBB103;0805_220_145_145_075_070.STEP;;General Purpose;CC HV;General purpose high voltage;0805 (2012);X7R;-55 to +125°C;630.0;10 nF;±10%;2.00 ±0.20;1.25 ±0.20;1.25 ±0.20;0.25~0.75;0.7;;;;2.50%;1.0 GΩ;120%;IEC-60384;Reflow/Wave;No;1 KHz, 1 Vrms;Embossed Plastic Tape Reel 7 inch;3,000;0.01170 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0805KKX7RZBB103;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-NP0X7R_HV_500V-to-3KV_16.pdf;;
CC0805KKX7RZBB822;0805_220_145_145_075_070.STEP;;General Purpose;CC HV;General purpose high voltage;0805 (2012);X7R;-55 to +125°C;630.0;8.2 nF;±10%;2.00 ±0.20;1.25 ±0.20;1.25 ±0.20;0.25~0.75;0.7;;;;2.50%;1.22 GΩ;120%;IEC-60384;Reflow/Wave;No;1 KHz, 1 Vrms;Embossed Plastic Tape Reel 7 inch;3,000;0.01170 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0805KKX7RZBB822;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-NP0X7R_HV_500V-to-3KV_16.pdf;;
CC0805KPX7RBBB102;0805_220_145_095_075_070.STEP;;General Purpose;CC HV;General purpose high voltage;0805 (2012);X7R;-55 to +125°C;500.0;1 nF;±10%;2.00 ±0.20;1.25 ±0.20;0.85 ±0.10;0.25~0.75;0.7;;;;2.50%;10.0 GΩ;120%;IEC-60384;Reflow/Wave;No;1 KHz, 1 Vrms;Paper/PE Tape Reel 13 inch;15,000;0.01170 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0805KPX7RBBB102;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-NP0X7R_HV_500V-to-3KV_16.pdf;;
CC0805KRX7RBBB102;0805_220_145_095_075_070.STEP;;General Purpose;CC HV;General purpose high voltage;0805 (2012);X7R;-55 to +125°C;500.0;1 nF;±10%;2.00 ±0.20;1.25 ±0.20;0.85 ±0.10;0.25~0.75;0.7;;;;2.50%;10.0 GΩ;120%;IEC-60384;Reflow/Wave;No;1 KHz, 1 Vrms;Paper/PE Tape Reel 7 inch;4,000;0.01170 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0805KRX7RBBB102;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-NP0X7R_HV_500V-to-3KV_16.pdf;;
CC0805KRX7RBBB152;0805_220_145_095_075_070.STEP;;General Purpose;CC HV;General purpose high voltage;0805 (2012);X7R;-55 to +125°C;500.0;1.5 nF;±10%;2.00 ±0.20;1.25 ±0.20;0.85 ±0.10;0.25~0.75;0.7;;;;2.50%;10.0 GΩ;120%;IEC-60384;Reflow/Wave;No;1 KHz, 1 Vrms;Paper/PE Tape Reel 7 inch;4,000;0.01170 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0805KRX7RBBB152;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-NP0X7R_HV_500V-to-3KV_16.pdf;;
CC0805KRX7RBBB182;0805_220_145_095_075_070.STEP;;General Purpose;CC HV;General purpose high voltage;0805 (2012);X7R;-55 to +125°C;500.0;1.8 nF;±10%;2.00 ±0.20;1.25 ±0.20;0.85 ±0.10;0.25~0.75;0.7;;;;2.50%;10.0 GΩ;120%;IEC-60384;Reflow/Wave;No;1 KHz, 1 Vrms;Paper/PE Tape Reel 7 inch;4,000;0.01170 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0805KRX7RBBB182;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-NP0X7R_HV_500V-to-3KV_16.pdf;;
CC0805KRX7RBBB221;0805_220_145_095_075_070.STEP;;General Purpose;CC HV;General purpose high voltage;0805 (2012);X7R;-55 to +125°C;500.0;220 pF;±10%;2.00 ±0.20;1.25 ±0.20;0.85 ±0.10;0.25~0.75;0.7;;;;2.50%;10.0 GΩ;120%;IEC-60384;Reflow/Wave;No;1 KHz, 1 Vrms;Paper/PE Tape Reel 7 inch;4,000;0.01170 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0805KRX7RBBB221;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-NP0X7R_HV_500V-to-3KV_16.pdf;;
