part number;3d model(step);status;application;series;series description;size;tcc;temp. range;voltage (v);capacitance;tolerance;l (mm);w (mm);thickness (max.)(mm);l2/l3;l4;a;b;p;d.f.(max);i.r (min);endurance (% rv);test method;solderingmethod;aec-q200;capmeasurementcondition;packing;spq (pcs);unitweight(typ);termination;spec sheet link;datasheet;esd_level;esd_max_voltage
CS0402JRX7R9BB102;0402_115_065_065_035_045.STEP;;Boardflex Sensitive;CS;Soft termination;0402 (1005);X7R;-55 to +125°C;50;1 nF;±5%;1.00 ±0.15;0.50 ±0.15;0.50 ±0.15;0.10~0.35;0.3;;;;2.50%;10.0 GΩ;200%;IEC-60384;Reflow;No;1 KHz, 1 Vrms;Paper/PE Tape Reel 7 inch;10,000;0.00147 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CS0402JRX7R9BB102;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-ST_NPOX7R_16V-to-3KV_8.pdf;;
CS0402KRX7R7BB102;0402_115_065_065_035_045.STEP;;Boardflex Sensitive;CS;Soft termination;0402 (1005);X7R;-55 to +125°C;16;1 nF;±10%;1.00 ±0.15;0.50 ±0.15;0.50 ±0.15;0.10~0.35;0.3;;;;3.50%;10.0 GΩ;200%;IEC-60384;Reflow;No;1 KHz, 1 Vrms;Paper/PE Tape Reel 7 inch;10,000;0.00147 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CS0402KRX7R7BB102;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-ST_NPOX7R_16V-to-3KV_8.pdf;;
CS0402KRX7R7BB104;0402_115_065_065_035_045.STEP;;Boardflex Sensitive;CS;Soft termination;0402 (1005);X7R;-55 to +125°C;16;100 nF;±10%;1.00 ±0.15;0.50 ±0.15;0.50 ±0.15;0.10~0.35;0.3;;;;5.00%;10.0 GΩ;200%;IEC-60384;Reflow;No;1 KHz, 1 Vrms;Paper/PE Tape Reel 7 inch;10,000;0.00147 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CS0402KRX7R7BB104;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-ST_NPOX7R_16V-to-3KV_8.pdf;;
CS0402KRX7R8BB104;0402_115_065_065_035_045.STEP;;Boardflex Sensitive;CS;Soft termination;0402 (1005);X7R;-55 to +125°C;25;100 nF;±10%;1.00 ±0.15;0.50 ±0.15;0.50 ±0.15;0.10~0.35;0.3;;;;5.00%;10.0 GΩ;200%;IEC-60384;Reflow;No;1 KHz, 1 Vrms;Paper/PE Tape Reel 7 inch;10,000;0.00147 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CS0402KRX7R8BB104;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-ST_NPOX7R_16V-to-3KV_8.pdf;;
CS0402KRX7R8BB223;0402_115_065_065_035_045.STEP;;Boardflex Sensitive;CS;Soft termination;0402 (1005);X7R;-55 to +125°C;25;22 nF;±10%;1.00 ±0.15;0.50 ±0.15;0.50 ±0.15;0.10~0.35;0.3;;;;3.50%;10.0 GΩ;200%;IEC-60384;Reflow;No;1 KHz, 1 Vrms;Paper/PE Tape Reel 7 inch;10,000;0.00147 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CS0402KRX7R8BB223;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-ST_NPOX7R_16V-to-3KV_8.pdf;;
CS0402KRX7R8BB333;0402_115_065_065_035_045.STEP;;Boardflex Sensitive;CS;Soft termination;0402 (1005);X7R;-55 to +125°C;25;33 nF;±10%;1.00 ±0.15;0.50 ±0.15;0.50 ±0.15;0.10~0.35;0.3;;;;3.50%;10.0 GΩ;200%;IEC-60384;Reflow;No;1 KHz, 1 Vrms;Paper/PE Tape Reel 7 inch;10,000;0.00147 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CS0402KRX7R8BB333;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-ST_NPOX7R_16V-to-3KV_8.pdf;;
CS0402KRX7R8BB473;0402_115_065_065_035_045.STEP;;Boardflex Sensitive;CS;Soft termination;0402 (1005);X7R;-55 to +125°C;25;47 nF;±10%;1.00 ±0.15;0.50 ±0.15;0.50 ±0.15;0.10~0.35;0.3;;;;3.50%;10.0 GΩ;200%;IEC-60384;Reflow;No;1 KHz, 1 Vrms;Paper/PE Tape Reel 7 inch;10,000;0.00147 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CS0402KRX7R8BB473;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-ST_NPOX7R_16V-to-3KV_8.pdf;;
CS0402KRX7R9BB102;0402_115_065_065_035_045.STEP;;Boardflex Sensitive;CS;Soft termination;0402 (1005);X7R;-55 to +125°C;50;1 nF;±10%;1.00 ±0.15;0.50 ±0.15;0.50 ±0.15;0.10~0.35;0.3;;;;2.50%;10.0 GΩ;200%;IEC-60384;Reflow;No;1 KHz, 1 Vrms;Paper/PE Tape Reel 7 inch;10,000;0.00147 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CS0402KRX7R9BB102;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-ST_NPOX7R_16V-to-3KV_8.pdf;;
CS0402KRX7R9BB103;0402_115_065_065_035_045.STEP;;Boardflex Sensitive;CS;Soft termination;0402 (1005);X7R;-55 to +125°C;50;10 nF;±10%;1.00 ±0.15;0.50 ±0.15;0.50 ±0.15;0.10~0.35;0.3;;;;2.50%;10.0 GΩ;200%;IEC-60384;Reflow;No;1 KHz, 1 Vrms;Paper/PE Tape Reel 7 inch;10,000;0.00147 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CS0402KRX7R9BB103;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-ST_NPOX7R_16V-to-3KV_8.pdf;;
CS0402KRX7R9BB122;0402_115_065_065_035_045.STEP;;Boardflex Sensitive;CS;Soft termination;0402 (1005);X7R;-55 to +125°C;50;1.2 nF;±10%;1.00 ±0.15;0.50 ±0.15;0.50 ±0.15;0.10~0.35;0.3;;;;2.50%;10.0 GΩ;200%;IEC-60384;Reflow;No;1 KHz, 1 Vrms;Paper/PE Tape Reel 7 inch;10,000;0.00147 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CS0402KRX7R9BB122;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-ST_NPOX7R_16V-to-3KV_8.pdf;;
CS0402KRX7R9BB123;0402_115_065_065_035_045.STEP;;Boardflex Sensitive;CS;Soft termination;0402 (1005);X7R;-55 to +125°C;50;12 nF;±10%;1.00 ±0.15;0.50 ±0.15;0.50 ±0.15;0.10~0.35;0.3;;;;3.50%;10.0 GΩ;200%;IEC-60384;Reflow;No;1 KHz, 1 Vrms;Paper/PE Tape Reel 7 inch;10,000;0.00147 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CS0402KRX7R9BB123;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-ST_NPOX7R_16V-to-3KV_8.pdf;;
CS0402KRX7R9BB152;0402_115_065_065_035_045.STEP;;Boardflex Sensitive;CS;Soft termination;0402 (1005);X7R;-55 to +125°C;50;1.5 nF;±10%;1.00 ±0.15;0.50 ±0.15;0.50 ±0.15;0.10~0.35;0.3;;;;2.50%;10.0 GΩ;200%;IEC-60384;Reflow;No;1 KHz, 1 Vrms;Paper/PE Tape Reel 7 inch;10,000;0.00147 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CS0402KRX7R9BB152;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-ST_NPOX7R_16V-to-3KV_8.pdf;;
CS0402KRX7R9BB222;0402_115_065_065_035_045.STEP;;Boardflex Sensitive;CS;Soft termination;0402 (1005);X7R;-55 to +125°C;50;2.2 nF;±10%;1.00 ±0.15;0.50 ±0.15;0.50 ±0.15;0.10~0.35;0.3;;;;2.50%;10.0 GΩ;200%;IEC-60384;Reflow;No;1 KHz, 1 Vrms;Paper/PE Tape Reel 7 inch;10,000;0.00147 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CS0402KRX7R9BB222;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-ST_NPOX7R_16V-to-3KV_8.pdf;;
CS0402KRX7R9BB272;0402_115_065_065_035_045.STEP;;Boardflex Sensitive;CS;Soft termination;0402 (1005);X7R;-55 to +125°C;50;2.7 nF;±10%;1.00 ±0.15;0.50 ±0.15;0.50 ±0.15;0.10~0.35;0.3;;;;2.50%;10.0 GΩ;200%;IEC-60384;Reflow;No;1 KHz, 1 Vrms;Paper/PE Tape Reel 7 inch;10,000;0.00147 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CS0402KRX7R9BB272;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-ST_NPOX7R_16V-to-3KV_8.pdf;;
CS0402KRX7R9BB331;0402_115_065_065_035_045.STEP;;Boardflex Sensitive;CS;Soft termination;0402 (1005);X7R;-55 to +125°C;50;330 pF;±10%;1.00 ±0.15;0.50 ±0.15;0.50 ±0.15;0.10~0.35;0.3;;;;2.50%;10.0 GΩ;200%;IEC-60384;Reflow;No;1 KHz, 1 Vrms;Paper/PE Tape Reel 7 inch;10,000;0.00147 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CS0402KRX7R9BB331;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-ST_NPOX7R_16V-to-3KV_8.pdf;;
CS0402KRX7R9BB332;0402_115_065_065_035_045.STEP;;Boardflex Sensitive;CS;Soft termination;0402 (1005);X7R;-55 to +125°C;50;3.3 nF;±10%;1.00 ±0.15;0.50 ±0.15;0.50 ±0.15;0.10~0.35;0.3;;;;2.50%;10.0 GΩ;200%;IEC-60384;Reflow;No;1 KHz, 1 Vrms;Paper/PE Tape Reel 7 inch;10,000;0.00147 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CS0402KRX7R9BB332;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-ST_NPOX7R_16V-to-3KV_8.pdf;;
CS0402KRX7R9BB333;0402_115_065_065_035_045.STEP;;Boardflex Sensitive;CS;Soft termination;0402 (1005);X7R;-55 to +125°C;50;33 nF;±10%;1.00 ±0.15;0.50 ±0.15;0.50 ±0.15;0.10~0.35;0.3;;;;3.50%;10.0 GΩ;200%;IEC-60384;Reflow;No;1 KHz, 1 Vrms;Paper/PE Tape Reel 7 inch;10,000;0.00147 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CS0402KRX7R9BB333;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-ST_NPOX7R_16V-to-3KV_8.pdf;;
CS0402KRX7R9BB392;0402_115_065_065_035_045.STEP;;Boardflex Sensitive;CS;Soft termination;0402 (1005);X7R;-55 to +125°C;50;3.9 nF;±10%;1.00 ±0.15;0.50 ±0.15;0.50 ±0.15;0.10~0.35;0.3;;;;2.50%;10.0 GΩ;200%;IEC-60384;Reflow;No;1 KHz, 1 Vrms;Paper/PE Tape Reel 7 inch;10,000;0.00147 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CS0402KRX7R9BB392;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-ST_NPOX7R_16V-to-3KV_8.pdf;;
CS0402KRX7R9BB471;0402_115_065_065_035_045.STEP;;Boardflex Sensitive;CS;Soft termination;0402 (1005);X7R;-55 to +125°C;50;470 pF;±10%;1.00 ±0.15;0.50 ±0.15;0.50 ±0.15;0.10~0.35;0.3;;;;2.50%;10.0 GΩ;200%;IEC-60384;Reflow;No;1 KHz, 1 Vrms;Paper/PE Tape Reel 7 inch;10,000;0.00147 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CS0402KRX7R9BB471;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-ST_NPOX7R_16V-to-3KV_8.pdf;;
CS0402KRX7R9BB472;0402_115_065_065_035_045.STEP;;Boardflex Sensitive;CS;Soft termination;0402 (1005);X7R;-55 to +125°C;50;4.7 nF;±10%;1.00 ±0.15;0.50 ±0.15;0.50 ±0.15;0.10~0.35;0.3;;;;2.50%;10.0 GΩ;200%;IEC-60384;Reflow;No;1 KHz, 1 Vrms;Paper/PE Tape Reel 7 inch;10,000;0.00147 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CS0402KRX7R9BB472;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-ST_NPOX7R_16V-to-3KV_8.pdf;;
CS0402KRX7R9BB473;0402_115_065_065_035_045.STEP;;Boardflex Sensitive;CS;Soft termination;0402 (1005);X7R;-55 to +125°C;50;47 nF;±10%;1.00 ±0.15;0.50 ±0.15;0.50 ±0.15;0.10~0.35;0.3;;;;3.50%;10.0 GΩ;200%;IEC-60384;Reflow;No;1 KHz, 1 Vrms;Paper/PE Tape Reel 7 inch;10,000;0.00147 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CS0402KRX7R9BB473;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-ST_NPOX7R_16V-to-3KV_8.pdf;;
CS0402KRX7R9BB562;0402_115_065_065_035_045.STEP;;Boardflex Sensitive;CS;Soft termination;0402 (1005);X7R;-55 to +125°C;50;5.6 nF;±10%;1.00 ±0.15;0.50 ±0.15;0.50 ±0.15;0.10~0.35;0.3;;;;2.50%;10.0 GΩ;200%;IEC-60384;Reflow;No;1 KHz, 1 Vrms;Paper/PE Tape Reel 7 inch;10,000;0.00147 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CS0402KRX7R9BB562;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-ST_NPOX7R_16V-to-3KV_8.pdf;;
CS0402KRX7R9BB681;0402_115_065_065_035_045.STEP;;Boardflex Sensitive;CS;Soft termination;0402 (1005);X7R;-55 to +125°C;50;680 pF;±10%;1.00 ±0.15;0.50 ±0.15;0.50 ±0.15;0.10~0.35;0.3;;;;2.50%;10.0 GΩ;200%;IEC-60384;Reflow;No;1 KHz, 1 Vrms;Paper/PE Tape Reel 7 inch;10,000;0.00147 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CS0402KRX7R9BB681;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-ST_NPOX7R_16V-to-3KV_8.pdf;;
CS0603JRX7R7BB105;0603_180_095_095_065_050.STEP;;Boardflex Sensitive;CS;Soft termination;0603 (1608);X7R;-55 to +125°C;16;1 uF;±5%;1.60 ±0.20;0.80 ±0.15;0.80 ±0.15;0.20~0.65;0.5;;;;10.00%;10.0 GΩ;150%;IEC-60384;Reflow;No;1 KHz, 1 Vrms;Paper/PE Tape Reel 7 inch;4,000;0.00570 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CS0603JRX7R7BB105;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-ST_NPOX7R_16V-to-3KV_8.pdf;;
CS0603JRX7R8BB103;0603_180_095_095_065_050.STEP;;Boardflex Sensitive;CS;Soft termination;0603 (1608);X7R;-55 to +125°C;25;10 nF;±5%;1.60 ±0.20;0.80 ±0.15;0.80 ±0.15;0.20~0.65;0.5;;;;2.50%;10.0 GΩ;200%;IEC-60384;Reflow/Wave;No;1 KHz, 1 Vrms;Paper/PE Tape Reel 7 inch;4,000;0.00570 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CS0603JRX7R8BB103;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-ST_NPOX7R_16V-to-3KV_8.pdf;;
CS0603JRX7R8BB104;0603_180_095_095_065_050.STEP;;Boardflex Sensitive;CS;Soft termination;0603 (1608);X7R;-55 to +125°C;25;100 nF;±5%;1.60 ±0.20;0.80 ±0.15;0.80 ±0.15;0.20~0.65;0.5;;;;3.50%;10.0 GΩ;200%;IEC-60384;Reflow/Wave;No;1 KHz, 1 Vrms;Paper/PE Tape Reel 7 inch;4,000;0.00570 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CS0603JRX7R8BB104;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-ST_NPOX7R_16V-to-3KV_8.pdf;;
