Part Number;3D Model(STEP);Status;Application;Series;Series Description;Size;TCC;Temp. Range;Voltage (V);Capacitance;Tolerance;L (mm);W (mm);Thickness (max.)(mm);L2/L3;L4;A;B;P;D.F.(Max);I.R (Min);Endurance (% RV);Test Method;SolderingMethod;AEC-Q200;CapMeasurementCondition;Packing;SPQ (Pcs);UnitWeight(typ);Termination;spec sheet link;Datasheet;ESD_Level;ESD_Max_Voltage
AC0612JPNPO9BN101;0612_080_000.STEP;;Automotive;AC Array;Automotive MLCC Array;0612 (1632);NPO;-55 to +125°C;50;100 pF;±5%;3.20 ±0.15;1.60 ±0.15;0.80 ±0.10;;;0.40±0.10;0.30±0.20;0.80±0.10;0.10%;10.0 GΩ;200%;AEC Q200;Reflow/Wave;Yes;1 MHz, 1 Vrms;Paper/PE Tape Reel 13 inch;15,000;0.03410 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/AC0612JPNPO9BN101;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-AC-Array_NP0X7R_0.pdf;4;6000 V (DC) to < 8000 V (DC)
AC0612JPNPO9BN221;0612_080_000.STEP;;Automotive;AC Array;Automotive MLCC Array;0612 (1632);NPO;-55 to +125°C;50;220 pF;±5%;3.20 ±0.15;1.60 ±0.15;0.80 ±0.10;;;0.40±0.10;0.30±0.20;0.80±0.10;0.10%;10.0 GΩ;200%;AEC Q200;Reflow/Wave;Yes;1 MHz, 1 Vrms;Paper/PE Tape Reel 13 inch;15,000;0.03410 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/AC0612JPNPO9BN221;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-AC-Array_NP0X7R_0.pdf;5A;8000 V (DC) to < 12,000 V (AD)
AC0612JPNPO9BN271;0612_080_000.STEP;;Automotive;AC Array;Automotive MLCC Array;0612 (1632);NPO;-55 to +125°C;50;270 pF;±5%;3.20 ±0.15;1.60 ±0.15;0.80 ±0.10;;;0.40±0.10;0.30±0.20;0.80±0.10;0.10%;10.0 GΩ;200%;AEC Q200;Reflow/Wave;Yes;1 MHz, 1 Vrms;Paper/PE Tape Reel 13 inch;15,000;0.03410 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/AC0612JPNPO9BN271;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-AC-Array_NP0X7R_0.pdf;;
AC0612JPNPO9BN331;0612_080_000.STEP;;Automotive;AC Array;Automotive MLCC Array;0612 (1632);NPO;-55 to +125°C;50;330 pF;±5%;3.20 ±0.15;1.60 ±0.15;0.80 ±0.10;;;0.40±0.10;0.30±0.20;0.80±0.10;0.10%;10.0 GΩ;200%;AEC Q200;Reflow/Wave;Yes;1 MHz, 1 Vrms;Paper/PE Tape Reel 13 inch;15,000;0.03410 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/AC0612JPNPO9BN331;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-AC-Array_NP0X7R_0.pdf;;
AC0612JPNPO9BN471;0612_080_000.STEP;;Automotive;AC Array;Automotive MLCC Array;0612 (1632);NPO;-55 to +125°C;50;470 pF;±5%;3.20 ±0.15;1.60 ±0.15;0.80 ±0.10;;;0.40±0.10;0.30±0.20;0.80±0.10;0.10%;10.0 GΩ;200%;AEC Q200;Reflow/Wave;Yes;1 MHz, 1 Vrms;Paper/PE Tape Reel 13 inch;15,000;0.03410 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/AC0612JPNPO9BN471;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-AC-Array_NP0X7R_0.pdf;;
AC0612JRNPO9BN101;0612_080_000.STEP;;Automotive;AC Array;Automotive MLCC Array;0612 (1632);NPO;-55 to +125°C;50;100 pF;±5%;3.20 ±0.15;1.60 ±0.15;0.80 ±0.10;;;0.40±0.10;0.30±0.20;0.80±0.10;0.10%;10.0 GΩ;200%;AEC Q200;Reflow/Wave;Yes;1 MHz, 1 Vrms;Paper/PE Tape Reel 7 inch;4,000;0.03410 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/AC0612JRNPO9BN101;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-AC-Array_NP0X7R_0.pdf;4;6000 V (DC) to < 8000 V (DC)
AC0612JRNPO9BN151;0612_080_000.STEP;;Automotive;AC Array;Automotive MLCC Array;0612 (1632);NPO;-55 to +125°C;50;150 pF;±5%;3.20 ±0.15;1.60 ±0.15;0.80 ±0.10;;;0.40±0.10;0.30±0.20;0.80±0.10;0.10%;10.0 GΩ;200%;AEC Q200;Reflow/Wave;Yes;1 MHz, 1 Vrms;Paper/PE Tape Reel 7 inch;4,000;0.03410 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/AC0612JRNPO9BN151;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-AC-Array_NP0X7R_0.pdf;;
AC0612JRNPO9BN181;0612_080_000.STEP;;Automotive;AC Array;Automotive MLCC Array;0612 (1632);NPO;-55 to +125°C;50;180 pF;±5%;3.20 ±0.15;1.60 ±0.15;0.80 ±0.10;;;0.40±0.10;0.30±0.20;0.80±0.10;0.10%;10.0 GΩ;200%;AEC Q200;Reflow/Wave;Yes;1 MHz, 1 Vrms;Paper/PE Tape Reel 7 inch;4,000;0.03410 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/AC0612JRNPO9BN181;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-AC-Array_NP0X7R_0.pdf;;
AC0612JRNPO9BN220;0612_080_000.STEP;;Automotive;AC Array;Automotive MLCC Array;0612 (1632);NPO;-55 to +125°C;50;22 pF;±5%;3.20 ±0.15;1.60 ±0.15;0.80 ±0.10;;;0.40±0.10;0.30±0.20;0.80±0.10;0.12%;10.0 GΩ;200%;AEC Q200;Reflow/Wave;Yes;1 MHz, 1 Vrms;Paper/PE Tape Reel 7 inch;4,000;0.03410 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/AC0612JRNPO9BN220;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-AC-Array_NP0X7R_0.pdf;;
AC0612JRNPO9BN221;0612_080_000.STEP;;Automotive;AC Array;Automotive MLCC Array;0612 (1632);NPO;-55 to +125°C;50;220 pF;±5%;3.20 ±0.15;1.60 ±0.15;0.80 ±0.10;;;0.40±0.10;0.30±0.20;0.80±0.10;0.10%;10.0 GΩ;200%;AEC Q200;Reflow/Wave;Yes;1 MHz, 1 Vrms;Paper/PE Tape Reel 7 inch;4,000;0.03410 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/AC0612JRNPO9BN221;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-AC-Array_NP0X7R_0.pdf;5A;8000 V (DC) to < 12,000 V (AD)
