Part Number;3D Model(STEP);Status;Application;Series;Series Description;Size;TCC;Temp. Range;Voltage (V);Capacitance;Tolerance;L (mm);W (mm);Thickness (max.)(mm);L2/L3;L4;A;B;P;D.F.(Max);I.R (Min);Endurance (% RV);Test Method;SolderingMethod;AEC-Q200;CapMeasurementCondition;Packing;SPQ (Pcs);UnitWeight(typ);Termination;spec sheet link;Datasheet;ESD_Level;ESD_Max_Voltage
AC0201KRX5R5BB104;0201_063_033_033_020_023.STEP;;Automotive X5R/X6S;AC X5R/X6S;Automotive grade for Infotain application;0201 (0603);X5R;-55 to +85°C;6.3;100 nF;±10%;0.60 ±0.03;0.30 ±0.03;0.30 ±0.03;0.10~0.20;0.2;;;;7.00%;1.0 GΩ;100%;AEC Q200;Reflow;Yes;1 KHz, 1 Vrms;Paper/PE Tape Reel 7 inch;15,000;0.00030 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/AC0201KRX5R5BB104;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-AC_X5RX6S_0.pdf;4;6000 V (DC) to < 8000 V (DC)
AC0201KRX5R5BB153;0201_063_033_033_020_023.STEP;;Automotive X5R/X6S;AC X5R/X6S;Automotive grade for Infotain application;0201 (0603);X5R;-55 to +85°C;6.3;15 nF;±10%;0.60 ±0.03;0.30 ±0.03;0.30 ±0.03;0.10~0.20;0.2;;;;7.00%;6.7 GΩ;100%;AEC Q200;Reflow;Yes;1 KHz, 1 Vrms;Paper/PE Tape Reel 7 inch;15,000;0.00030 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/AC0201KRX5R5BB153;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-AC_X5RX6S_0.pdf;;
AC0201KRX5R5BB223;0201_063_033_033_020_023.STEP;;Automotive X5R/X6S;AC X5R/X6S;Automotive grade for Infotain application;0201 (0603);X5R;-55 to +85°C;6.3;22 nF;±10%;0.60 ±0.03;0.30 ±0.03;0.30 ±0.03;0.10~0.20;0.2;;;;7.00%;4.5 GΩ;100%;AEC Q200;Reflow;Yes;1 KHz, 1 Vrms;Paper/PE Tape Reel 7 inch;15,000;0.00030 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/AC0201KRX5R5BB223;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-AC_X5RX6S_0.pdf;;
AC0201KRX5R5BB473;0201_063_033_033_020_023.STEP;;Automotive X5R/X6S;AC X5R/X6S;Automotive grade for Infotain application;0201 (0603);X5R;-55 to +85°C;6.3;47 nF;±10%;0.60 ±0.03;0.30 ±0.03;0.30 ±0.03;0.10~0.20;0.2;;;;10.00%;2.13 GΩ;100%;AEC Q200;Reflow;Yes;1 KHz, 1 Vrms;Paper/PE Tape Reel 7 inch;15,000;0.00030 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/AC0201KRX5R5BB473;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-AC_X5RX6S_0.pdf;;
AC0201KRX5R6BB104;0201_063_033_033_020_023.STEP;;Automotive X5R/X6S;AC X5R/X6S;Automotive grade for Infotain application;0201 (0603);X5R;-55 to +85°C;10.0;100 nF;±10%;0.60 ±0.03;0.30 ±0.03;0.30 ±0.03;0.10~0.20;0.2;;;;10.00%;1.0 GΩ;100%;AEC Q200;Reflow;Yes;1 KHz, 1 Vrms;Paper/PE Tape Reel 7 inch;15,000;0.00030 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/AC0201KRX5R6BB104;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-AC_X5RX6S_0.pdf;4;6000 V (DC) to < 8000 V (DC)
AC0201KRX5R6BB153;0201_063_033_033_020_023.STEP;;Automotive X5R/X6S;AC X5R/X6S;Automotive grade for Infotain application;0201 (0603);X5R;-55 to +85°C;10.0;15 nF;±10%;0.60 ±0.03;0.30 ±0.03;0.30 ±0.03;0.10~0.20;0.2;;;;10.00%;6.7 GΩ;100%;AEC Q200;Reflow;Yes;1 KHz, 1 Vrms;Paper/PE Tape Reel 7 inch;15,000;0.00030 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/AC0201KRX5R6BB153;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-AC_X5RX6S_0.pdf;;
AC0201KRX5R6BB223;0201_063_033_033_020_023.STEP;;Automotive X5R/X6S;AC X5R/X6S;Automotive grade for Infotain application;0201 (0603);X5R;-55 to +85°C;10.0;22 nF;±10%;0.60 ±0.03;0.30 ±0.03;0.30 ±0.03;0.10~0.20;0.2;;;;10.00%;4.54 GΩ;100%;AEC Q200;Reflow;Yes;1 KHz, 1 Vrms;Paper/PE Tape Reel 7 inch;15,000;0.00030 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/AC0201KRX5R6BB223;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-AC_X5RX6S_0.pdf;;
AC0201KRX5R6BB473;0201_063_033_033_020_023.STEP;;Automotive X5R/X6S;AC X5R/X6S;Automotive grade for Infotain application;0201 (0603);X5R;-55 to +85°C;10.0;47 nF;±10%;0.60 ±0.03;0.30 ±0.03;0.30 ±0.03;0.10~0.20;0.2;;;;10.00%;2.1 GΩ;100%;AEC Q200;Reflow;Yes;1 KHz, 1 Vrms;Paper/PE Tape Reel 7 inch;15,000;0.00030 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/AC0201KRX5R6BB473;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-AC_X5RX6S_0.pdf;;
AC0805KKX5R7BB475;0805_220_145_145_075_070.STEP;;Automotive X5R/X6S;AC X5R/X6S;Automotive grade for Infotain application;0805 (2012);X5R;-55 to +85°C;16.0;4.7 uF;±10%;2.00 ±0.20;1.25 ±0.20;1.25 ±0.20;0.25~0.75;0.7;;;;0.10%;MΩ;150%;AEC Q200;Reflow/Wave;Yes;1 KHz, 1 Vrms;Embossed Plastic Tape Reel 7 inch;3,000;0.01170 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/AC0805KKX5R7BB475;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-AC_X5RX6S_0.pdf;;
AC0805KKX5R9BB225;0805_220_145_145_075_070.STEP;;Automotive X5R/X6S;AC X5R/X6S;Automotive grade for Infotain application;0805 (2012);X5R;-55 to +85°C;50.0;2.2 uF;±10%;2.00 ±0.20;1.25 ±0.20;1.25 ±0.20;0.25~0.75;0.7;;;;10.00%;22.7 MΩ;100%;AEC Q200;Reflow;Yes;1 KHz, 1 Vrms;Embossed Plastic Tape Reel 7 inch;3,000;0.01170 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/AC0805KKX5R9BB225;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-AC_X5RX6S_0.pdf;;
