Part Number;3D Model(STEP);Status;Application;Series;Series Description;Size;TCC;Temp. Range;Voltage (V);Capacitance;Tolerance;L (mm);W (mm);Thickness (max.)(mm);L2/L3;L4;A;B;P;D.F.(Max);I.R (Min);Endurance (% RV);Test Method;SolderingMethod;AEC-Q200;CapMeasurementCondition;Packing;SPQ (Pcs);UnitWeight(typ);Termination;spec sheet link;Datasheet;ESD_Level;ESD_Max_Voltage
CC0201KRX6S5BB224;0201_063_033_033_020_023.STEP;;General Purpose;CC X6S;General purpose X6S;0201 (0603);X6S;-55 to +105°C;6.3;220 nF;±10%;0.60 ±0.03;0.30 ±0.03;0.30 ±0.03;0.10~0.20;0.2;;;;10.00%;454.5 MΩ;150%;IEC-60384;Reflow;No;1 KHz, 1 Vrms;Paper/PE Tape Reel 7 inch;15,000;0.00030 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0201KRX6S5BB224;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_X6S_4V-to-50V_6.pdf;;
CC0201KRX6S5BB474;0201_069_039_039_025_020.STEP;;General Purpose;CC X6S;General purpose X6S;0201 (0603);X6S;-55 to +105°C;6.3;470 nF;±10%;0.60 ±0.09;0.30 ±0.09;0.30 ±0.09;0.10~0.25;0.2;;;;10.00%;212.8 MΩ;150%;IEC-60384;Reflow;No;1 KHz, 1 Vrms;Paper/PE Tape Reel 7 inch;15,000;0.00030 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0201KRX6S5BB474;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_X6S_4V-to-50V_6.pdf;;
CC0201KRX6S6BB333;0201_063_033_033_020_023.STEP;;General Purpose;CC X6S;General purpose X6S;0201 (0603);X6S;-55 to +105°C;10.0;33 nF;±10%;0.60 ±0.03;0.30 ±0.03;0.30 ±0.03;0.10~0.20;0.2;;;;10.00%;3.0 GΩ;150%;IEC-60384;Reflow;No;1 KHz, 1 Vrms;Paper/PE Tape Reel 7 inch;15,000;0.00030 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0201KRX6S6BB333;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_X6S_4V-to-50V_6.pdf;;
CC0201KRX6S6BB393;0201_063_033_033_020_023.STEP;;General Purpose;CC X6S;General purpose X6S;0201 (0603);X6S;-55 to +105°C;10.0;39 nF;±10%;0.60 ±0.03;0.30 ±0.03;0.30 ±0.03;0.10~0.20;0.2;;;;10.00%;2.6 GΩ;150%;IEC-60384;Reflow;No;1 KHz, 1 Vrms;Paper/PE Tape Reel 7 inch;15,000;0.00030 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0201KRX6S6BB393;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_X6S_4V-to-50V_6.pdf;;
CC0402KPX6S5BB105;0402_105_055_055_035_035.STEP;;General Purpose;CC X6S;General purpose X6S;0402 (1005);X6S;-55 to +105°C;6.3;1 uF;±10%;1.00 ±0.05;0.50 ±0.05;0.50 ±0.05;0.15~0.35;0.3;;;;10.00%;100.0 MΩ;150%;IEC-60384;Reflow;No;1 KHz, 1 Vrms;Paper/PE Tape Reel 13 inch;0;0.00140 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0402KPX6S5BB105;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_X6S_4V-to-50V_6.pdf;;
CC0805KKX6S8BB225;0805_220_145_145_075_070.STEP;;General Purpose;CC X6S;General purpose X6S;0805 (2012);X6S;-55 to +105°C;25.0;2.2 uF;±10%;2.00 ±0.20;1.25 ±0.20;1.25 ±0.20;0.25~0.75;0.7;;;;10.00%;45.5 MΩ;150%;IEC-60384;Reflow/Wave;No;1 KHz, 1 Vrms;Embossed Plastic Tape Reel 7 inch;3,000;0.01720 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0805KKX6S8BB225;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_X6S_4V-to-50V_6.pdf;;
CC0201KPX6S5BB104;0201_063_033_033_020_023.STEP;;General Purpose;CC X6S;General purpose X6S;0201 (0603);X6S;-55 to +105°C;6.3;100 nF;±10%;0.60 ±0.03;0.30 ±0.03;0.30 ±0.03;0.10~0.20;0.2;;;;10.00%;1.0 GΩ;150%;IEC-60384;Reflow;No;1 KHz, 1 Vrms;Paper/PE Tape Reel 13 inch;50,000;0.00030 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0201KPX6S5BB104;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_X6S_4V-to-50V_7.pdf;;
CC0201KPX6S6BB104;0201_063_033_033_020_023.STEP;;General Purpose;CC X6S;General purpose X6S;0201 (0603);X6S;-55 to +105°C;10.0;100 nF;±10%;0.60 ±0.03;0.30 ±0.03;0.30 ±0.03;0.10~0.20;0.2;;;;10.00%;1.0 GΩ;150%;IEC-60384;Reflow;No;1 KHz, 1 Vrms;Paper/PE Tape Reel 13 inch;50,000;0.00030 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0201KPX6S6BB104;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_X6S_4V-to-50V_7.pdf;;
CC0201KRX6S4BB102;0201_063_033_033_020_023.STEP;;General Purpose;CC X6S;General purpose X6S;0201 (0603);X6S;-55 to +105°C;4.0;1 nF;±10%;0.60 ±0.03;0.30 ±0.03;0.30 ±0.03;0.10~0.20;0.2;;;;10.00%;100.0 GΩ;150%;IEC-60384;Reflow;No;,;Paper/PE Tape Reel 7 inch;15,000;0.00030 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0201KRX6S4BB102;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_X6S_4V-to-50V_7.pdf;;
CC0201KRX6S4BB103;0201_063_033_033_020_023.STEP;;General Purpose;CC X6S;General purpose X6S;0201 (0603);X6S;-55 to +105°C;4.0;10 nF;±10%;0.60 ±0.03;0.30 ±0.03;0.30 ±0.03;0.10~0.20;0.2;;;;10.00%;10.0 GΩ;150%;IEC-60384;Reflow;No;1 KHz, 1 Vrms;Paper/PE Tape Reel 7 inch;15,000;0.00030 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0201KRX6S4BB103;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_X6S_4V-to-50V_7.pdf;;
