Part Number;3D Model(STEP);Status;Application;Series;Series Description;Size;TCC;Temp. Range;Voltage (V);Capacitance;Tolerance;L (mm);W (mm);Thickness (max.)(mm);L2/L3;L4;A;B;P;D.F.(Max);I.R (Min);Endurance (% RV);Test Method;SolderingMethod;AEC-Q200;CapMeasurementCondition;Packing;SPQ (Pcs);UnitWeight(typ);Termination;spec sheet link;Datasheet;ESD_Level;ESD_Max_Voltage
CC0201BRNPO9BN7R2;0201_063_033_033_020_023.STEP;;General Purpose;CC NPO;General purpose NPO;0201 (0603);NPO;-55 to +125°C;50.0;7.2 pF;±0.1pF;0.60 ±0.03;0.30 ±0.03;0.30 ±0.03;0.10~0.20;0.2;;;;0.18%;10.0 GΩ;200%;IEC-60384;Reflow;No;1 MHz, 1 Vrms;Paper/PE Tape Reel 7 inch;0;0.00030 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0201BRNPO9BN7R2;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GP_NP0_16V-to-50V_18.pdf;;
CC0201JRNPO8BN181;0201_063_033_033_020_023.STEP;;General Purpose;CC NPO;General purpose NPO;0201 (0603);NPO;-55 to +125°C;25.0;180 pF;±5%;0.60 ±0.03;0.30 ±0.03;0.30 ±0.03;0.10~0.20;0.2;;;;0.10%;10.0 GΩ;200%;IEC-60384;Reflow;No;1 MHz, 1 Vrms;Paper/PE Tape Reel 7 inch;0;0.00030 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0201JRNPO8BN181;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GP_NP0_16V-to-50V_18.pdf;;
CC0402CPNPO9BN100;;;General Purpose;CC NPO;General purpose NPO;0402 (1005);NPO;;50.0;10 pF;±0.25pF;;;0.55;;;;;;;;;;;;;Paper Tape Reel 13 inch;;;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0402CPNPO9BN100;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GP_NP0_16V-to-50V_18.pdf;;
CC0402CRNPO8BN100;;;General Purpose;CC NPO;General purpose NPO;0402 (1005);NPO;;25.0;10 pF;±0.25pF;;;0.55;;;;;;;;;;;;;Paper/PE Tape Reel 7 inch;;;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0402CRNPO8BN100;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GP_NP0_16V-to-50V_18.pdf;;
CC0402DPNPO9BN100;;;General Purpose;CC NPO;General purpose NPO;0402 (1005);NPO;;50.0;10 pF;±0.5pF;;;0.55;;;;;;;;;;;;;Paper Tape Reel 13 inch;;;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0402DPNPO9BN100;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GP_NP0_16V-to-50V_18.pdf;;
CC0402DRNPO8BN100;;;General Purpose;CC NPO;General purpose NPO;0402 (1005);NPO;;25.0;10 pF;±0.5pF;;;0.55;;;;;;;;;;;;;Paper/PE Tape Reel 7 inch;;;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0402DRNPO8BN100;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GP_NP0_16V-to-50V_18.pdf;;
CC0402DRNPO9BN150;;;General Purpose;CC NPO;General purpose NPO;0402 (1005);NPO;;50.0;15 pF;±0.5pF;;;0.55;;;;;;;;;;;;;Paper/PE Tape Reel 7 inch;;;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0402DRNPO9BN150;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GP_NP0_16V-to-50V_18.pdf;;
CC0402FRNPO9BN430;0402_105_055_055_035_035.STEP;;General Purpose;CC NPO;General purpose NPO;0402 (1005);NPO;-55 to +125°C;50.0;43 pF;±1%;1.00 ±0.05;0.50 ±0.05;0.50 ±0.05;0.15~0.35;0.3;;;;0.10%;10.0 GΩ;200%;IEC-60384;Reflow;No;1 MHz, 1 Vrms;Paper/PE Tape Reel 7 inch;0;0.00140 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0402FRNPO9BN430;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GP_NP0_16V-to-50V_18.pdf;;
CC0402GRNPO9BN110;0402_105_055_055_035_035.STEP;;General Purpose;CC NPO;General purpose NPO;0402 (1005);NPO;-55 to +125°C;50.0;11 pF;±2%;1.00 ±0.05;0.50 ±0.05;0.50 ±0.05;0.15~0.35;0.3;;;;0.16%;10.0 GΩ;200%;IEC-60384;Reflow;No;1 MHz, 1 Vrms;Paper/PE Tape Reel 7 inch;0;0.00140 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0402GRNPO9BN110;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GP_NP0_16V-to-50V_18.pdf;;
CC0402JRNPO8BN561;0402_105_055_055_035_035.STEP;;General Purpose;CC NPO;General purpose NPO;0402 (1005);NPO;-55 to +125°C;25.0;560 pF;±5%;1.00 ±0.05;0.50 ±0.05;0.50 ±0.05;0.15~0.35;0.3;;;;0.10%;10.0 GΩ;200%;IEC-60384;Reflow;No;1 MHz, 1 Vrms;Paper/PE Tape Reel 7 inch;0;0.00140 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0402JRNPO8BN561;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GP_NP0_16V-to-50V_18.pdf;;
