Part Number;3D Model(STEP);Status;Application;Series;Series Description;Size;TCC;Temp. Range;Voltage (V);Capacitance;Tolerance;L (mm);W (mm);Thickness (max.)(mm);L2/L3;L4;A;B;P;D.F.(Max);I.R (Min);Endurance (% RV);Test Method;SolderingMethod;AEC-Q200;CapMeasurementCondition;Packing;SPQ (Pcs);UnitWeight(typ);Termination;spec sheet link;Datasheet;ESD_Level;ESD_Max_Voltage
CS0402BRNPO9BN2R7;0402_115_065_065_035_045.STEP;;Boardflex Sensitive;CS;Soft termination;0402 (1005);NPO;-55 to +125°C;50;2.7 pF;±0.1pF;1.00 ±0.15;0.50 ±0.15;0.50 ±0.15;0.10~0.35;0.3;;;;0.22%;10.0 GΩ;200%;IEC-60384;Reflow;No;1 MHz, 1 Vrms;Paper/PE Tape Reel 7 inch;10,000;0.00147 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CS0402BRNPO9BN2R7;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-ST_NPOX7R_16V-to-3KV_8.pdf;;
CS0402CRNPO9BN1R5;0402_115_065_065_035_045.STEP;;Boardflex Sensitive;CS;Soft termination;0402 (1005);NPO;-55 to +125°C;50;1.5 pF;±0.25pF;1.00 ±0.15;0.50 ±0.15;0.50 ±0.15;0.10~0.35;0.3;;;;0.23%;10.0 GΩ;200%;IEC-60384;Reflow;No;1 MHz, 1 Vrms;Paper/PE Tape Reel 7 inch;10,000;0.00147 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CS0402CRNPO9BN1R5;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-ST_NPOX7R_16V-to-3KV_8.pdf;;
CS0402CRNPO9BN1R8;0402_115_065_065_035_045.STEP;;Boardflex Sensitive;CS;Soft termination;0402 (1005);NPO;-55 to +125°C;50;1.8 pF;±0.25pF;1.00 ±0.15;0.50 ±0.15;0.50 ±0.15;0.10~0.35;0.3;;;;0.23%;10.0 GΩ;200%;IEC-60384;Reflow;No;1 MHz, 1 Vrms;Paper/PE Tape Reel 7 inch;10,000;0.00147 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CS0402CRNPO9BN1R8;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-ST_NPOX7R_16V-to-3KV_8.pdf;;
CS0402CRNPO9BN2R0;0402_115_065_065_035_045.STEP;;Boardflex Sensitive;CS;Soft termination;0402 (1005);NPO;-55 to +125°C;50;2.0 pF;±0.25pF;1.00 ±0.15;0.50 ±0.15;0.50 ±0.15;0.10~0.35;0.3;;;;0.23%;10.0 GΩ;200%;IEC-60384;Reflow;No;1 MHz, 1 Vrms;Paper/PE Tape Reel 7 inch;10,000;0.00147 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CS0402CRNPO9BN2R0;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-ST_NPOX7R_16V-to-3KV_8.pdf;;
CS0402CRNPO9BN2R2;0402_115_065_065_035_045.STEP;;Boardflex Sensitive;CS;Soft termination;0402 (1005);NPO;-55 to +125°C;50;2.2 pF;±0.25pF;1.00 ±0.15;0.50 ±0.15;0.50 ±0.15;0.10~0.35;0.3;;;;0.23%;10.0 GΩ;200%;IEC-60384;Reflow;No;1 MHz, 1 Vrms;Paper/PE Tape Reel 7 inch;10,000;0.00147 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CS0402CRNPO9BN2R2;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-ST_NPOX7R_16V-to-3KV_8.pdf;;
CS0402CRNPO9BN2R7;0402_115_065_065_035_045.STEP;;Boardflex Sensitive;CS;Soft termination;0402 (1005);NPO;-55 to +125°C;50;2.7 pF;±0.25pF;1.00 ±0.15;0.50 ±0.15;0.50 ±0.15;0.10~0.35;0.3;;;;0.22%;10.0 GΩ;200%;IEC-60384;Reflow;No;1 MHz, 1 Vrms;Paper/PE Tape Reel 7 inch;10,000;0.00147 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CS0402CRNPO9BN2R7;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-ST_NPOX7R_16V-to-3KV_8.pdf;;
CS0402CRNPO9BN3R3;0402_115_065_065_035_045.STEP;;Boardflex Sensitive;CS;Soft termination;0402 (1005);NPO;-55 to +125°C;50;3.3 pF;±0.25pF;1.00 ±0.15;0.50 ±0.15;0.50 ±0.15;0.10~0.35;0.3;;;;0.21%;10.0 GΩ;200%;IEC-60384;Reflow;No;1 MHz, 1 Vrms;Paper/PE Tape Reel 7 inch;10,000;0.00147 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CS0402CRNPO9BN3R3;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-ST_NPOX7R_16V-to-3KV_8.pdf;;
CS0402CRNPO9BN4R7;0402_115_065_065_035_045.STEP;;Boardflex Sensitive;CS;Soft termination;0402 (1005);NPO;-55 to +125°C;50;4.7 pF;±0.25pF;1.00 ±0.15;0.50 ±0.15;0.50 ±0.15;0.10~0.35;0.3;;;;0.20%;10.0 GΩ;200%;IEC-60384;Reflow;No;1 MHz, 1 Vrms;Paper/PE Tape Reel 7 inch;10,000;0.00147 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CS0402CRNPO9BN4R7;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-ST_NPOX7R_16V-to-3KV_8.pdf;;
CS0402CRNPO9BN5R6;0402_115_065_065_035_045.STEP;;Boardflex Sensitive;CS;Soft termination;0402 (1005);NPO;-55 to +125°C;50;5.6 pF;±0.25pF;1.00 ±0.15;0.50 ±0.15;0.50 ±0.15;0.10~0.35;0.3;;;;0.20%;10.0 GΩ;200%;IEC-60384;Reflow;No;1 MHz, 1 Vrms;Paper/PE Tape Reel 7 inch;10,000;0.00147 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CS0402CRNPO9BN5R6;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-ST_NPOX7R_16V-to-3KV_8.pdf;;
CS0402CRNPO9BN6R8;0402_115_065_065_035_045.STEP;;Boardflex Sensitive;CS;Soft termination;0402 (1005);NPO;-55 to +125°C;50;6.8 pF;±0.25pF;1.00 ±0.15;0.50 ±0.15;0.50 ±0.15;0.10~0.35;0.3;;;;0.19%;10.0 GΩ;200%;IEC-60384;Reflow;No;1 MHz, 1 Vrms;Paper/PE Tape Reel 7 inch;10,000;0.00147 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CS0402CRNPO9BN6R8;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-ST_NPOX7R_16V-to-3KV_8.pdf;;
