Part Number;3D Model(STEP);Status;Application;Series;Series Description;Size;TCC;Temp. Range;Voltage (V);Capacitance;Tolerance;L (mm);W (mm);Thickness (max.)(mm);L2/L3;L4;A;B;P;D.F.(Max);I.R (Min);Endurance (% RV);Test Method;SolderingMethod;AEC-Q200;CapMeasurementCondition;Packing;SPQ (Pcs);UnitWeight(typ);Termination;spec sheet link;Datasheet;ESD_Level;ESD_Max_Voltage
CL0204KRX5R6BB103;0204_060_110_040_025_010.STEP;;Low Inductance Cap.;CL;Low Inductance Cap.;0204 (0510);X5R;-55 to +85°C;10;10 nF;±10%;0.50 ±0.10;1.00 ±0.10;0.30 ±0.10;0.10~0.30;0.1;;;;5.00%;10.0 GΩ;200%;IEC-60384;Reflow/Wave;No;1 KHz, 1 Vrms;Paper/PE Tape Reel 7 inch;10,000;0.00140 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CL0204KRX5R6BB103;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-X5R_X7R_CL_6.3V-to-50V_2.pdf;;
CL0204KRX5R6BB104;0204_060_110_040_025_010.STEP;;Low Inductance Cap.;CL;Low Inductance Cap.;0204 (0510);X5R;-55 to +85°C;10;100 nF;±10%;0.50 ±0.10;1.00 ±0.10;0.30 ±0.10;0.10~0.30;0.1;;;;5.00%;10.0 GΩ;200%;IEC-60384;Reflow/Wave;No;1 KHz, 1 Vrms;Paper/PE Tape Reel 7 inch;10,000;0.00140 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CL0204KRX5R6BB104;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-X5R_X7R_CL_6.3V-to-50V_2.pdf;;
CL0204KRX5R6BB223;0204_060_110_040_025_010.STEP;;Low Inductance Cap.;CL;Low Inductance Cap.;0204 (0510);X5R;-55 to +85°C;10;22 nF;±10%;0.50 ±0.10;1.00 ±0.10;0.30 ±0.10;0.10~0.30;0.1;;;;5.00%;10.0 GΩ;200%;IEC-60384;Reflow/Wave;No;1 KHz, 1 Vrms;Paper/PE Tape Reel 7 inch;10,000;0.00140 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CL0204KRX5R6BB223;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-X5R_X7R_CL_6.3V-to-50V_2.pdf;;
CL0204KRX5R6BB473;0204_060_110_040_025_010.STEP;;Low Inductance Cap.;CL;Low Inductance Cap.;0204 (0510);X5R;-55 to +85°C;10;47 nF;±10%;0.50 ±0.10;1.00 ±0.10;0.30 ±0.10;0.10~0.30;0.1;;;;5.00%;10.0 GΩ;200%;IEC-60384;Reflow/Wave;No;1 KHz, 1 Vrms;Paper/PE Tape Reel 7 inch;10,000;0.00140 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CL0204KRX5R6BB473;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-X5R_X7R_CL_6.3V-to-50V_2.pdf;;
CL0306KPX7R6BB224;0306_095_180_060_030_035.STEP;;Low Inductance Cap.;CL;Low Inductance Cap.;0306 (0816);X7R;-55 to +125°C;10;220 nF;±10%;0.80 ±0.15;1.60 ±0.20;0.50 ±0.10;0.10~0.30;0.2;;;;5.00%;10.0 GΩ;200%;IEC-60384;Reflow/Wave;No;1 KHz, 1 Vrms;Paper/PE Tape Reel 13 inch;15,000;0.00560 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CL0306KPX7R6BB224;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-X5R_X7R_CL_6.3V-to-50V_2.pdf;;
CL0306KRX7R5BB224;0306_095_180_060_030_035.STEP;;Low Inductance Cap.;CL;Low Inductance Cap.;0306 (0816);X7R;-55 to +125°C;6.3;220 nF;±10%;0.80 ±0.15;1.60 ±0.20;0.50 ±0.10;0.10~0.30;0.2;;;;5.00%;10.0 GΩ;200%;IEC-60384;Reflow/Wave;No;1 KHz, 1 Vrms;Paper/PE Tape Reel 7 inch;4,000;0.00560 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CL0306KRX7R5BB224;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-X5R_X7R_CL_6.3V-to-50V_2.pdf;;
CL0306KRX7R6BB103;0306_095_180_060_030_035.STEP;;Low Inductance Cap.;CL;Low Inductance Cap.;0306 (0816);X7R;-55 to +125°C;10;10 nF;±10%;0.80 ±0.15;1.60 ±0.20;0.50 ±0.10;0.10~0.30;0.2;;;;5.00%;10.0 GΩ;200%;IEC-60384;Reflow/Wave;No;1 KHz, 1 Vrms;Paper/PE Tape Reel 7 inch;4,000;0.00560 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CL0306KRX7R6BB103;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-X5R_X7R_CL_6.3V-to-50V_2.pdf;;
CL0306KRX7R6BB104;0306_095_180_060_030_035.STEP;;Low Inductance Cap.;CL;Low Inductance Cap.;0306 (0816);X7R;-55 to +125°C;10;100 nF;±10%;0.80 ±0.15;1.60 ±0.20;0.50 ±0.10;0.10~0.30;0.2;;;;5.00%;10.0 GΩ;200%;IEC-60384;Reflow/Wave;No;1 KHz, 1 Vrms;Paper/PE Tape Reel 7 inch;4,000;0.00560 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CL0306KRX7R6BB104;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-X5R_X7R_CL_6.3V-to-50V_2.pdf;;
CL0306KRX7R6BB224;0306_095_180_060_030_035.STEP;;Low Inductance Cap.;CL;Low Inductance Cap.;0306 (0816);X7R;-55 to +125°C;10;220 nF;±10%;0.80 ±0.15;1.60 ±0.20;0.50 ±0.10;0.10~0.30;0.2;;;;5.00%;10.0 GΩ;200%;IEC-60384;Reflow/Wave;No;1 KHz, 1 Vrms;Paper/PE Tape Reel 7 inch;4,000;0.00560 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CL0306KRX7R6BB224;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-X5R_X7R_CL_6.3V-to-50V_2.pdf;;
CL0306KRX7R6BB473;0306_095_180_060_030_035.STEP;;Low Inductance Cap.;CL;Low Inductance Cap.;0306 (0816);X7R;-55 to +125°C;10;47 nF;±10%;0.80 ±0.15;1.60 ±0.20;0.50 ±0.10;0.10~0.30;0.2;;;;5.00%;10.0 GΩ;200%;IEC-60384;Reflow/Wave;No;1 KHz, 1 Vrms;Paper/PE Tape Reel 7 inch;4,000;0.00560 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CL0306KRX7R6BB473;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-X5R_X7R_CL_6.3V-to-50V_2.pdf;;
