Part Number;3D Model(STEP);Status;Application;Series;Series Description;Size;TCC;Temp. Range;Voltage (V);Capacitance;Tolerance;L (mm);W (mm);Thickness (max.)(mm);L2/L3;L4;A;B;P;D.F.(Max);I.R (Min);Endurance (% RV);Test Method;SolderingMethod;AEC-Q200;CapMeasurementCondition;Packing;SPQ (Pcs);UnitWeight(typ);Termination;spec sheet link;Datasheet;ESD_Level;ESD_Max_Voltage
CC0201JRX5R5BB104;0201_063_033_033_020_023.STEP;;General Purpose;CC X5R;General purpose X5R;0201 (0603);X5R;-55 to +85°C;6.3;100 nF;±5%;0.60 ±0.03;0.30 ±0.03;0.30 ±0.03;0.10~0.20;0.2;;;;5.00%;1.0 GΩ;150%;IEC-60384;Reflow;No;1 KHz, 1 Vrms;Paper/PE Tape Reel 7 inch;15,000;0.00030 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0201JRX5R5BB104;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_X5R_4V-to-50V_30.pdf;;
CC0201JRX5R5BB473;0201_063_033_033_020_023.STEP;;General Purpose;CC X5R;General purpose X5R;0201 (0603);X5R;-55 to +85°C;6.3;47 nF;±5%;0.60 ±0.03;0.30 ±0.03;0.30 ±0.03;0.10~0.20;0.2;;;;10.00%;10.0 GΩ;200%;IEC-60384;Reflow;No;1 KHz, 1 Vrms;Paper/PE Tape Reel 7 inch;0;0.00030 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0201JRX5R5BB473;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_X5R_4V-to-50V_30.pdf;;
CC0201JRX5R6BB104;0201_063_033_033_020_023.STEP;;General Purpose;CC X5R;General purpose X5R;0201 (0603);X5R;-55 to +85°C;10.0;100 nF;±5%;0.60 ±0.03;0.30 ±0.03;0.30 ±0.03;0.10~0.20;0.2;;;;10.00%;1.0 GΩ;150%;IEC-60384;Reflow;No;1 KHz, 1 Vrms;Paper/PE Tape Reel 7 inch;15,000;0.00030 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0201JRX5R6BB104;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_X5R_4V-to-50V_30.pdf;;
CC0201JRX5R6BB123;0201_063_033_033_020_023.STEP;;General Purpose;CC X5R;General purpose X5R;0201 (0603);X5R;-55 to +85°C;10.0;12 nF;±5%;0.60 ±0.03;0.30 ±0.03;0.30 ±0.03;0.10~0.20;0.2;;;;10.00%;10.0 GΩ;200%;IEC-60384;Reflow;No;1 KHz, 1 Vrms;Paper/PE Tape Reel 7 inch;15,000;0.00030 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0201JRX5R6BB123;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_X5R_4V-to-50V_30.pdf;;
CC0201KPX5R5BB104;0201_063_033_033_020_023.STEP;;General Purpose;CC X5R;General purpose X5R;0201 (0603);X5R;-55 to +85°C;6.3;100 nF;±10%;0.60 ±0.03;0.30 ±0.03;0.30 ±0.03;0.10~0.20;0.2;;;;5.00%;1.0 GΩ;150%;IEC-60384;Reflow;No;1 KHz, 1 Vrms;Paper/PE Tape Reel 13 inch;50,000;0.00030 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0201KPX5R5BB104;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_X5R_4V-to-50V_30.pdf;;
CC0201KPX5R5BB105;0201_065_035_035_020_025.STEP;;General Purpose;CC X5R;General purpose X5R;0201 (0603);X5R;-55 to +85°C;6.3;1 uF;±10%;0.6 ± 0.05;0.3 ± 0.05;0.3 ± 0.05;0.10~0.20;0.2;;;;10.00%;100 MΩ;100%;IEC-60384;Reflow;No;1 KHz, 1 Vrms;Paper/PE Tape Reel 13 inch;50,000;0.00030 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0201KPX5R5BB105;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_X5R_4V-to-50V_30.pdf;;
CC0201KPX5R5BB223;0201_063_033_033_020_023.STEP;;General Purpose;CC X5R;General purpose X5R;0201 (0603);X5R;-55 to +85°C;6.3;22 nF;±10%;0.60 ±0.03;0.30 ±0.03;0.30 ±0.03;0.10~0.20;0.2;;;;10.00%;10.0 GΩ;200%;IEC-60384;Reflow;No;1 KHz, 1 Vrms;Paper/PE Tape Reel 13 inch;50,000;0.00030 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0201KPX5R5BB223;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_X5R_4V-to-50V_30.pdf;;
CC0201KPX5R5BB224;0201_063_033_033_020_023.STEP;;General Purpose;CC X5R;General purpose X5R;0201 (0603);X5R;-55 to +85°C;6.3;220 nF;±10%;0.60 ±0.03;0.30 ±0.03;0.30 ±0.03;0.10~0.20;0.2;;;;10.00%;454 MΩ;150%;IEC-60384;Reflow;No;1 KHz, 1 Vrms;Paper/PE Tape Reel 13 inch;50,000;0.00030 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0201KPX5R5BB224;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_X5R_4V-to-50V_30.pdf;;
CC0201KPX5R5BB333;0201_063_033_033_020_023.STEP;;General Purpose;CC X5R;General purpose X5R;0201 (0603);X5R;-55 to +85°C;6.3;33 nF;±10%;0.60 ±0.03;0.30 ±0.03;0.30 ±0.03;0.10~0.20;0.2;;;;10.00%;10.0 GΩ;200%;IEC-60384;Reflow;No;1 KHz, 1 Vrms;Paper/PE Tape Reel 13 inch;50,000;0.00030 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0201KPX5R5BB333;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_X5R_4V-to-50V_30.pdf;;
CC0201KPX5R5BB473;0201_063_033_033_020_023.STEP;;General Purpose;CC X5R;General purpose X5R;0201 (0603);X5R;-55 to +85°C;6.3;47 nF;±10%;0.60 ±0.03;0.30 ±0.03;0.30 ±0.03;0.10~0.20;0.2;;;;10.00%;10.0 GΩ;200%;IEC-60384;Reflow;No;1 KHz, 1 Vrms;Paper/PE Tape Reel 13 inch;50,000;0.00030 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0201KPX5R5BB473;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_X5R_4V-to-50V_30.pdf;;
CC0201KPX5R6BB103;0201_063_033_033_020_023.STEP;;General Purpose;CC X5R;General purpose X5R;0201 (0603);X5R;-55 to +85°C;10.0;10 nF;±10%;0.60 ±0.03;0.30 ±0.03;0.30 ±0.03;0.10~0.20;0.2;;;;5.00%;10.0 GΩ;200%;IEC-60384;Reflow;No;1 KHz, 1 Vrms;Paper/PE Tape Reel 13 inch;50,000;0.00030 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0201KPX5R6BB103;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_X5R_4V-to-50V_30.pdf;;
CC0201KPX5R6BB104;0201_063_033_033_020_023.STEP;;General Purpose;CC X5R;General purpose X5R;0201 (0603);X5R;-55 to +85°C;10.0;100 nF;±10%;0.60 ±0.03;0.30 ±0.03;0.30 ±0.03;0.10~0.20;0.2;;;;10.00%;1.0 GΩ;150%;IEC-60384;Reflow;No;1 KHz, 1 Vrms;Paper/PE Tape Reel 13 inch;50,000;0.00030 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0201KPX5R6BB104;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_X5R_4V-to-50V_30.pdf;5C;16,000 V (AD) to < 25,000 V (AD)
