Part Number;3D Model(STEP);Status;Application;Series;Series Description;Size;TCC;Temp. Range;Voltage (V);Capacitance;Tolerance;L (mm);W (mm);Thickness (max.)(mm);L2/L3;L4;A;B;P;D.F.(Max);I.R (Min);Endurance (% RV);Test Method;SolderingMethod;AEC-Q200;CapMeasurementCondition;Packing;SPQ (Pcs);UnitWeight(typ);Termination;spec sheet link;Datasheet;ESD_Level;ESD_Max_Voltage
CQ0201BRNPO9BN2R0;0201_063_033_033_020_023.STEP;;HighFrequency;CQ;High frequency;0201 (0603);NPO;-55 to +125°C;50;2.0 pF;±0.1pF;0.60 ±0.03;0.30 ±0.03;0.30 ±0.03;0.10~0.20;0.2;;;;0.23%;10.0 GΩ;200%;IEC-60384;Reflow;No;1 MHz, 1 Vrms;Paper/PE Tape Reel 7 inch;15,000;0.00030 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CQ0201BRNPO9BN2R0;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-High_Q_NP0_16V-to-500V_17.pdf;;
CQ0201BRNPO9BN2R1;0201_063_033_033_020_023.STEP;;HighFrequency;CQ;High frequency;0201 (0603);NPO;-55 to +125°C;50;2.1 pF;±0.1pF;0.60 ±0.03;0.30 ±0.03;0.30 ±0.03;0.10~0.20;0.2;;;;0.23%;10.0 GΩ;200%;IEC-60384;Reflow;No;1 MHz, 1 Vrms;Paper/PE Tape Reel 7 inch;15,000;0.00030 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CQ0201BRNPO9BN2R1;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-High_Q_NP0_16V-to-500V_17.pdf;;
CQ0201BRNPO9BN2R2;0201_063_033_033_020_023.STEP;;HighFrequency;CQ;High frequency;0201 (0603);NPO;-55 to +125°C;50;2.2 pF;±0.1pF;0.60 ±0.03;0.30 ±0.03;0.30 ±0.03;0.10~0.20;0.2;;;;0.23%;10.0 GΩ;200%;IEC-60384;Reflow;No;1 MHz, 1 Vrms;Paper/PE Tape Reel 7 inch;15,000;0.00030 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CQ0201BRNPO9BN2R2;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-High_Q_NP0_16V-to-500V_17.pdf;;
CQ0201BRNPO9BN2R3;0201_063_033_033_020_023.STEP;;HighFrequency;CQ;High frequency;0201 (0603);NPO;-55 to +125°C;50;2.3 pF;±0.1pF;0.60 ±0.03;0.30 ±0.03;0.30 ±0.03;0.10~0.20;0.2;;;;0.22%;10.0 GΩ;200%;IEC-60384;Reflow;No;1 MHz, 1 Vrms;Paper/PE Tape Reel 7 inch;15,000;0.00030 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CQ0201BRNPO9BN2R3;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-High_Q_NP0_16V-to-500V_17.pdf;;
CQ0201BRNPO9BN2R4;0201_063_033_033_020_023.STEP;;HighFrequency;CQ;High frequency;0201 (0603);NPO;-55 to +125°C;50;2.4 pF;±0.1pF;0.60 ±0.03;0.30 ±0.03;0.30 ±0.03;0.10~0.20;0.2;;;;0.22%;10.0 GΩ;200%;IEC-60384;Reflow;No;1 MHz, 1 Vrms;Paper/PE Tape Reel 7 inch;15,000;0.00030 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CQ0201BRNPO9BN2R4;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-High_Q_NP0_16V-to-500V_17.pdf;;
CQ0201BRNPO9BN2R5;0201_063_033_033_020_023.STEP;;HighFrequency;CQ;High frequency;0201 (0603);NPO;-55 to +125°C;50;2.5 pF;±0.1pF;0.60 ±0.03;0.30 ±0.03;0.30 ±0.03;0.10~0.20;0.2;;;;0.22%;10.0 GΩ;200%;IEC-60384;Reflow;No;1 MHz, 1 Vrms;Paper/PE Tape Reel 7 inch;15,000;0.00030 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CQ0201BRNPO9BN2R5;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-High_Q_NP0_16V-to-500V_17.pdf;;
CQ0201BRNPO9BN2R6;0201_063_033_033_020_023.STEP;;HighFrequency;CQ;High frequency;0201 (0603);NPO;-55 to +125°C;50;2.6 pF;±0.1pF;0.60 ±0.03;0.30 ±0.03;0.30 ±0.03;0.10~0.20;0.2;;;;0.22%;10.0 GΩ;200%;IEC-60384;Reflow;No;1 MHz, 1 Vrms;Paper/PE Tape Reel 7 inch;15,000;0.00030 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CQ0201BRNPO9BN2R6;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-High_Q_NP0_16V-to-500V_17.pdf;;
CQ0201BRNPO9BN2R7;0201_063_033_033_020_023.STEP;;HighFrequency;CQ;High frequency;0201 (0603);NPO;-55 to +125°C;50;2.7 pF;±0.1pF;0.60 ±0.03;0.30 ±0.03;0.30 ±0.03;0.10~0.20;0.2;;;;0.22%;10.0 GΩ;200%;IEC-60384;Reflow;No;1 MHz, 1 Vrms;Paper/PE Tape Reel 7 inch;15,000;0.00030 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CQ0201BRNPO9BN2R7;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-High_Q_NP0_16V-to-500V_17.pdf;;
CQ0201BRNPO9BN2R8;0201_063_033_033_020_023.STEP;;HighFrequency;CQ;High frequency;0201 (0603);NPO;-55 to +125°C;50;2.8 pF;±0.1pF;0.60 ±0.03;0.30 ±0.03;0.30 ±0.03;0.10~0.20;0.2;;;;0.22%;10.0 GΩ;200%;IEC-60384;Reflow;No;1 MHz, 1 Vrms;Paper/PE Tape Reel 7 inch;15,000;0.00030 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CQ0201BRNPO9BN2R8;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-High_Q_NP0_16V-to-500V_17.pdf;;
CQ0201BRNPO9BN2R9;0201_063_033_033_020_023.STEP;;HighFrequency;CQ;High frequency;0201 (0603);NPO;-55 to +125°C;50;2.9 pF;±0.1pF;0.60 ±0.03;0.30 ±0.03;0.30 ±0.03;0.10~0.20;0.2;;;;0.22%;10.0 GΩ;200%;IEC-60384;Reflow;No;1 MHz, 1 Vrms;Paper/PE Tape Reel 7 inch;15,000;0.00030 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CQ0201BRNPO9BN2R9;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-High_Q_NP0_16V-to-500V_17.pdf;;
