Part Number;3D Model(STEP);Status;Application;Series;Series Description;Size;TCC;Temp. Range;Voltage (V);Capacitance;Tolerance;L (mm);W (mm);Thickness (max.)(mm);L2/L3;L4;A;B;P;D.F.(Max);I.R (Min);Endurance (% RV);Test Method;SolderingMethod;AEC-Q200;CapMeasurementCondition;Packing;SPQ (Pcs);UnitWeight(typ);Termination;spec sheet link;Datasheet;ESD_Level;ESD_Max_Voltage
CC0100ARNPO7BN3R6;01005_042_022_022_014_014.STEP;;General Purpose;CC 01005;Miniaturization;01005 (0402);NPO;-55 to +125°C;16.0;3.6 pF;±0.05pF;0.40 ±0.02;0.20 ±0.02;0.20 ±0.02;0.07~0.14;0.13;;;;0.21%;10.0 GΩ;200%;IEC-60384;Reflow;No;1 MHz, 1 Vrms;Paper/PE Tape Reel 7 inch;20,000;0.00008 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0100ARNPO7BN3R6;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-NP0X5R_01005_4V-to-25V_V12.pdf;;
CC0100ARNPO7BNR30;01005_042_022_022_014_014.STEP;;General Purpose;CC 01005;Miniaturization;01005 (0402);NPO;-55 to +125°C;16.0;0.3 pF;±0.05pF;0.40 ±0.02;0.20 ±0.02;0.20 ±0.02;0.07~0.14;0.13;;;;0.25%;10.0 GΩ;200%;IEC-60384;Reflow;No;1 MHz, 1 Vrms;Paper/PE Tape Reel 7 inch;20,000;0.00008 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0100ARNPO7BNR30;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-NP0X5R_01005_4V-to-25V_V12.pdf;;
CC0100ARNPO8BN1R0;01005_042_022_022_014_014.STEP;;General Purpose;CC 01005;Miniaturization;01005 (0402);NPO;-55 to +125°C;25.0;1.0 pF;±0.05pF;0.40 ±0.02;0.20 ±0.02;0.20 ±0.02;0.07~0.14;0.13;;;;0.24%;10.0 GΩ;200%;IEC-60384;Reflow;No;1 MHz, 1 Vrms;Paper/PE Tape Reel 7 inch;20,000;0.00008 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0100ARNPO8BN1R0;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-NP0X5R_01005_4V-to-25V_V12.pdf;;
CC0100ARNPO8BN1R1;01005_042_022_022_014_014.STEP;;General Purpose;CC 01005;Miniaturization;01005 (0402);NPO;-55 to +125°C;25.0;1.1 pF;±0.05pF;0.40 ±0.02;0.20 ±0.02;0.20 ±0.02;0.07~0.14;0.13;;;;0.24%;10.0 GΩ;200%;IEC-60384;Reflow;No;1 MHz, 1 Vrms;Paper/PE Tape Reel 7 inch;20,000;0.00008 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0100ARNPO8BN1R1;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-NP0X5R_01005_4V-to-25V_V12.pdf;;
CC0100ARNPO8BN1R2;01005_042_022_022_014_014.STEP;;General Purpose;CC 01005;Miniaturization;01005 (0402);NPO;-55 to +125°C;25.0;1.2 pF;±0.05pF;0.40 ±0.02;0.20 ±0.02;0.20 ±0.02;0.07~0.14;0.13;;;;0.24%;10.0 GΩ;200%;IEC-60384;Reflow;No;1 MHz, 1 Vrms;Paper/PE Tape Reel 7 inch;20,000;0.00008 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0100ARNPO8BN1R2;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-NP0X5R_01005_4V-to-25V_V12.pdf;;
CC0100ARNPO8BN1R5;01005_042_022_022_014_014.STEP;;General Purpose;CC 01005;Miniaturization;01005 (0402);NPO;-55 to +125°C;25.0;1.5 pF;±0.05pF;0.40 ±0.02;0.20 ±0.02;0.20 ±0.02;0.07~0.14;0.13;;;;0.23%;10.0 GΩ;200%;IEC-60384;Reflow;No;1 MHz, 1 Vrms;Paper/PE Tape Reel 7 inch;20,000;0.00008 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0100ARNPO8BN1R5;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-NP0X5R_01005_4V-to-25V_V12.pdf;;
CC0100ARNPO8BN2R2;01005_042_022_022_014_014.STEP;;General Purpose;CC 01005;Miniaturization;01005 (0402);NPO;-55 to +125°C;25.0;2.2 pF;±0.05pF;0.40 ±0.02;0.20 ±0.02;0.20 ±0.02;0.07~0.14;0.13;;;;0.23%;10.0 GΩ;200%;IEC-60384;Reflow;No;1 MHz, 1 Vrms;Paper/PE Tape Reel 7 inch;20,000;0.00008 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0100ARNPO8BN2R2;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-NP0X5R_01005_4V-to-25V_V12.pdf;;
CC0100ARNPO8BN2R7;01005_042_022_022_014_014.STEP;;General Purpose;CC 01005;Miniaturization;01005 (0402);NPO;-55 to +125°C;25.0;2.7 pF;±0.05pF;0.40 ±0.02;0.20 ±0.02;0.20 ±0.02;0.07~0.14;0.13;;;;0.22%;10.0 GΩ;200%;IEC-60384;Reflow;No;1 MHz, 1 Vrms;Paper/PE Tape Reel 7 inch;20,000;0.00008 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0100ARNPO8BN2R7;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-NP0X5R_01005_4V-to-25V_V12.pdf;;
CC0100ARNPO8BN3R6;01005_042_022_022_014_014.STEP;;General Purpose;CC 01005;Miniaturization;01005 (0402);NPO;-55 to +125°C;25.0;3.6 pF;±0.05pF;0.40 ±0.02;0.20 ±0.02;0.20 ±0.02;0.07~0.14;0.13;;;;0.21%;10.0 GΩ;200%;IEC-60384;Reflow;No;1 MHz, 1 Vrms;Paper/PE Tape Reel 7 inch;20,000;0.00008 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0100ARNPO8BN3R6;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-NP0X5R_01005_4V-to-25V_V12.pdf;;
CC0100ARNPO8BN4R7;01005_042_022_022_014_014.STEP;;General Purpose;CC 01005;Miniaturization;01005 (0402);NPO;-55 to +125°C;25.0;4.7 pF;±0.05pF;0.40 ±0.02;0.20 ±0.02;0.20 ±0.02;0.07~0.14;0.13;;;;0.20%;10.0 GΩ;200%;IEC-60384;Reflow;No;1 MHz, 1 Vrms;Paper/PE Tape Reel 7 inch;20,000;0.00008 g;Ni-Sn;https://www.yageo.com/en/Chart/Download/pdf/CC0100ARNPO8BN4R7;https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-NP0X5R_01005_4V-to-25V_V12.pdf;;
