Part Number;Series;Series Description;Size;Packing;Packing Description;Resistance;TCR;Tolerance;Power(W);Datasheet
AF102MJR-0715RL;AF_Array;Anti-Sulfurated Chip Resistor;0201 x 2 (0202);Paper tape;07 inch Dia. Reel;15.0;Based on Spec;±5%;1/32 (0.03);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/Datasheet_AF102M_AF104M_0_Flat Type.pdf
AF102MJR-0722RL;AF_Array;Anti-Sulfurated Chip Resistor;0201 x 2 (0202);Paper tape;07 inch Dia. Reel;22.0;Based on Spec;±5%;1/32 (0.03);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/Datasheet_AF102M_AF104M_0_Flat Type.pdf
AF102MJR-0724RL;AF_Array;Anti-Sulfurated Chip Resistor;0201 x 2 (0202);Paper tape;07 inch Dia. Reel;24.0;Based on Spec;±5%;1/32 (0.03);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/Datasheet_AF102M_AF104M_0_Flat Type.pdf
AF102MJR-0730RL;AF_Array;Anti-Sulfurated Chip Resistor;0201 x 2 (0202);Paper tape;07 inch Dia. Reel;30.0;Based on Spec;±5%;1/32 (0.03);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/Datasheet_AF102M_AF104M_0_Flat Type.pdf
AF102MJR-0733RL;AF_Array;Anti-Sulfurated Chip Resistor;0201 x 2 (0202);Paper tape;07 inch Dia. Reel;33.0;Based on Spec;±5%;1/32 (0.03);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/Datasheet_AF102M_AF104M_0_Flat Type.pdf
AF102MJR-0739RL;AF_Array;Anti-Sulfurated Chip Resistor;0201 x 2 (0202);Paper tape;07 inch Dia. Reel;39.0;Based on Spec;±5%;1/32 (0.03);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/Datasheet_AF102M_AF104M_0_Flat Type.pdf
AF102MJR-0743RL;AF_Array;Anti-Sulfurated Chip Resistor;0201 x 2 (0202);Paper tape;07 inch Dia. Reel;43.0;Based on Spec;±5%;1/32 (0.03);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/Datasheet_AF102M_AF104M_0_Flat Type.pdf
AF102MJR-0747RL;AF_Array;Anti-Sulfurated Chip Resistor;0201 x 2 (0202);Paper tape;07 inch Dia. Reel;47.0;Based on Spec;±5%;1/32 (0.03);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/Datasheet_AF102M_AF104M_0_Flat Type.pdf
AF104MJR-0733RL;AF_Array;Anti-Sulfurated Chip Resistor;0201 x 4 (0204);Paper tape;07 inch Dia. Reel;33.0;Based on Spec;±5%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/Datasheet_AF102M_AF104M_0_Flat Type.pdf
AF104MJR-0736RL;AF_Array;Anti-Sulfurated Chip Resistor;0201 x 2 (0202);Paper tape;07 inch Dia. Reel;36.0;Based on Spec;±5%;1/32 (0.03);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/Datasheet_AF102M_AF104M_0_Flat Type.pdf
AF104MJR-0739RL;AF_Array;Anti-Sulfurated Chip Resistor;0201 x 4 (0204);Paper tape;07 inch Dia. Reel;39.0;Based on Spec;±5%;1/20 (0.05);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/Datasheet_AF102M_AF104M_0_Flat Type.pdf
