Part Number;Series;Series Description;Size;Packing;Packing Description;Resistance;TCR;Tolerance;Power(W);Datasheet
AA0201FR-07100KL;AA;Automotive Grade Anti-Sulfurated Chip Resistor;0201 (0603);Paper tape;07 inch Dia. Reel;100000.0;Based on Spec;±1%;1/20 (0.05);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AA_51_RoHS_L_3.pdf
AA0201FR-07100RL;AA;Automotive Grade Anti-Sulfurated Chip Resistor;0201 (0603);Paper tape;07 inch Dia. Reel;100.0;Based on Spec;±1%;1/20 (0.05);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AA_51_RoHS_L_3.pdf
AA0201FR-07105KL;AA;Automotive Grade Anti-Sulfurated Chip Resistor;0201 (0603);Paper tape;07 inch Dia. Reel;105000.0;Based on Spec;±1%;1/20 (0.05);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AA_51_RoHS_L_3.pdf
AA0201FR-07105RL;AA;Automotive Grade Anti-Sulfurated Chip Resistor;0201 (0603);Paper tape;07 inch Dia. Reel;105.0;Based on Spec;±1%;1/20 (0.05);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AA_51_RoHS_L_3.pdf
AA0201FR-0710KL;AA;Automotive Grade Anti-Sulfurated Chip Resistor;0201 (0603);Paper tape;07 inch Dia. Reel;10000.0;Based on Spec;±1%;1/20 (0.05);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AA_51_RoHS_L_3.pdf
AA0201FR-0710RL;AA;Automotive Grade Anti-Sulfurated Chip Resistor;0201 (0603);Paper tape;07 inch Dia. Reel;10.0;Based on Spec;±1%;1/20 (0.05);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AA_51_RoHS_L_3.pdf
AA0201FR-07110KL;AA;Automotive Grade Anti-Sulfurated Chip Resistor;0201 (0603);Paper tape;07 inch Dia. Reel;110000.0;Based on Spec;±1%;1/20 (0.05);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AA_51_RoHS_L_3.pdf
AA0201FR-07113RL;AA;Automotive Grade Anti-Sulfurated Chip Resistor;0201 (0603);Paper tape;07 inch Dia. Reel;113.0;Based on Spec;±1%;1/20 (0.05);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AA_51_RoHS_L_3.pdf
AA0201FR-0711K8L;AA;Automotive Grade Anti-Sulfurated Chip Resistor;0201 (0603);Paper tape;07 inch Dia. Reel;11800.0;Based on Spec;±1%;1/20 (0.05);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AA_51_RoHS_L_3.pdf
AA0201FR-0711KL;AA;Automotive Grade Anti-Sulfurated Chip Resistor;0201 (0603);Paper tape;07 inch Dia. Reel;11000.0;Based on Spec;±1%;1/20 (0.05);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AA_51_RoHS_L_3.pdf
AA0201FR-07121KL;AA;Automotive Grade Anti-Sulfurated Chip Resistor;0201 (0603);Paper tape;07 inch Dia. Reel;121000.0;Based on Spec;±1%;1/20 (0.05);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AA_51_RoHS_L_3.pdf
AA0201FR-07124KL;AA;Automotive Grade Anti-Sulfurated Chip Resistor;0201 (0603);Paper tape;07 inch Dia. Reel;124000.0;Based on Spec;±1%;1/20 (0.05);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AA_51_RoHS_L_3.pdf
