Part Number;Series;Series Description;Size;Packing;Packing Description;Resistance;TCR;Tolerance;Power(W);Datasheet
AC0612DR-07100KL;AC Wide Terminal;Automotive Grade Anti-Sulfurated Chip Resistor;0612 (1632);Paper tape;07 inch Dia. reel;100000.0;Based on Spec;±0.5%;3/4 (0.75);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AC_wide terminal_51_RoHS_L_3.pdf
AC0612DR-07100RL;AC Wide Terminal;Automotive Grade Anti-Sulfurated Chip Resistor;0612 (1632);Paper tape;07 inch Dia. reel;100.0;Based on Spec;±0.5%;3/4 (0.75);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AC_wide terminal_51_RoHS_L_3.pdf
AC0612DR-07102KL;AC Wide Terminal;Automotive Grade Anti-Sulfurated Chip Resistor;0612 (1632);Paper tape;07 inch Dia. reel;102000.0;Based on Spec;±0.5%;3/4 (0.75);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AC_wide terminal_51_RoHS_L_3.pdf
AC0612DR-07102RL;AC Wide Terminal;Automotive Grade Anti-Sulfurated Chip Resistor;0612 (1632);Paper tape;07 inch Dia. reel;102.0;Based on Spec;±0.5%;3/4 (0.75);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AC_wide terminal_51_RoHS_L_3.pdf
AC0612DR-07105KL;AC Wide Terminal;Automotive Grade Anti-Sulfurated Chip Resistor;0612 (1632);Paper tape;07 inch Dia. reel;105000.0;Based on Spec;±0.5%;3/4 (0.75);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AC_wide terminal_51_RoHS_L_3.pdf
AC0612DR-07105RL;AC Wide Terminal;Automotive Grade Anti-Sulfurated Chip Resistor;0612 (1632);Paper tape;07 inch Dia. reel;105.0;Based on Spec;±0.5%;3/4 (0.75);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AC_wide terminal_51_RoHS_L_3.pdf
AC0612DR-07107KL;AC Wide Terminal;Automotive Grade Anti-Sulfurated Chip Resistor;0612 (1632);Paper tape;07 inch Dia. reel;107000.0;Based on Spec;±0.5%;3/4 (0.75);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AC_wide terminal_51_RoHS_L_3.pdf
AC0612DR-07107RL;AC Wide Terminal;Automotive Grade Anti-Sulfurated Chip Resistor;0612 (1632);Paper tape;07 inch Dia. reel;107.0;Based on Spec;±0.5%;3/4 (0.75);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AC_wide terminal_51_RoHS_L_3.pdf
AC0612DR-0710K2L;AC Wide Terminal;Automotive Grade Anti-Sulfurated Chip Resistor;0612 (1632);Paper tape;07 inch Dia. reel;10200.0;Based on Spec;±0.5%;3/4 (0.75);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AC_wide terminal_51_RoHS_L_3.pdf
AC0612DR-0710K5L;AC Wide Terminal;Automotive Grade Anti-Sulfurated Chip Resistor;0612 (1632);Paper tape;07 inch Dia. reel;10500.0;Based on Spec;±0.5%;3/4 (0.75);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AC_wide terminal_51_RoHS_L_3.pdf
