Part Number;Series;Series Description;Size;Packing;Packing Description;Resistance;TCR;Tolerance;Power(W);Datasheet
AF122-FR-07100KL;AF_Array;Anti-Sulfurated Chip Resistor;0402 x 2 (0404);Paper tape;07 inch Dia. reel;100000.0;Based on Spec;±1%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AF122_124_162_164_51_RoHS_L_6.pdf
AF122-FR-07100RL;AF_Array;Anti-Sulfurated Chip Resistor;0402 x 2 (0404);Paper tape;07 inch Dia. reel;100.0;Based on Spec;±1%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AF122_124_162_164_51_RoHS_L_6.pdf
AF122-FR-07102KL;AF_Array;Anti-Sulfurated Chip Resistor;0402 x 2 (0404);Paper tape;07 inch Dia. reel;102000.0;Based on Spec;±1%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AF122_124_162_164_51_RoHS_L_6.pdf
AF122-FR-07102RL;AF_Array;Anti-Sulfurated Chip Resistor;0402 x 2 (0404);Paper tape;07 inch Dia. reel;102.0;Based on Spec;±1%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AF122_124_162_164_51_RoHS_L_6.pdf
AF122-FR-07105KL;AF_Array;Anti-Sulfurated Chip Resistor;0402 x 2 (0404);Paper tape;07 inch Dia. reel;105000.0;Based on Spec;±1%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AF122_124_162_164_51_RoHS_L_6.pdf
AF122-FR-07105RL;AF_Array;Anti-Sulfurated Chip Resistor;0402 x 2 (0404);Paper tape;07 inch Dia. reel;105.0;Based on Spec;±1%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AF122_124_162_164_51_RoHS_L_6.pdf
AF122-FR-07107KL;AF_Array;Anti-Sulfurated Chip Resistor;0402 x 2 (0404);Paper tape;07 inch Dia. reel;107000.0;Based on Spec;±1%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AF122_124_162_164_51_RoHS_L_6.pdf
AF122-FR-07107RL;AF_Array;Anti-Sulfurated Chip Resistor;0402 x 2 (0404);Paper tape;07 inch Dia. reel;107.0;Based on Spec;±1%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AF122_124_162_164_51_RoHS_L_6.pdf
AF122-FR-0710K2L;AF_Array;Anti-Sulfurated Chip Resistor;0402 x 2 (0404);Paper tape;07 inch Dia. reel;10200.0;Based on Spec;±1%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AF122_124_162_164_51_RoHS_L_6.pdf
AF122-FR-0710K5L;AF_Array;Anti-Sulfurated Chip Resistor;0402 x 2 (0404);Paper tape;07 inch Dia. reel;10500.0;Based on Spec;±1%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AF122_124_162_164_51_RoHS_L_6.pdf
