Part Number;Series;Series Description;Size;Packing;Packing Description;Resistance;TCR;Tolerance;Power(W);Datasheet
AF0100FR-0739RL;AF;Anti-Sulfurated Chip Resistor;0100 (0402);Paper tape;07 inch Dia. Reel;39.0;Based on Spec;±1%;1/32(0.0313);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AF_51_RoHS_L_9.pdf
AF0100FR-0740R2L;AF;Anti-Sulfurated Chip Resistor;0100 (0402);Paper tape;07 inch Dia. Reel;40.2;Based on Spec;±1%;1/32(0.0313);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AF_51_RoHS_L_9.pdf
AF0100FR-0743RL;AF;Anti-Sulfurated Chip Resistor;0100(0402);Paper tape;07 inch Dia. Reel;43.0;Based on Spec;±1%;1/32(0.0313);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AF_51_RoHS_L_9.pdf
AF0100FR-0745R3L;AF;Anti-Sulfurated Chip Resistor;0100 (0402);Paper tape;07 inch Dia. Reel;45.3;Based on Spec;±1%;1/32(0.0313);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AF_51_RoHS_L_9.pdf
AF0100FR-07464KL;AF;Anti-Sulfurated Chip Resistor;0100 (0402);Paper tape;07 inch Dia. Reel;464000.0;Based on Spec;±1%;1/32(0.0313);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AF_51_RoHS_L_9.pdf
AF0100FR-0746R4L;AF;Anti-Sulfurated Chip Resistor;0100 (0402);Paper tape;07 inch Dia. Reel;46.4;Based on Spec;±1%;1/32(0.0313);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AF_51_RoHS_L_9.pdf
AF0100FR-07499KL;AF;Anti-Sulfurated Chip Resistor;0100 (0402);Paper tape;07 inch Dia. Reel;499000.0;Based on Spec;±1%;1/32(0.0313);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AF_51_RoHS_L_9.pdf
AF0100JR-070RL;AF;Anti-Sulfurated Chip Resistor;0100 (0402);Paper tape;07 inch Dia. Reel;0.0;Based on Spec;±5%;1/32(0.0313);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AF_51_RoHS_L_9.pdf
AF0100JR-0739RL;AF;Anti-Sulfurated Chip Resistor;0100 (0402);Paper tape;07 inch Dia. Reel;39.0;Based on Spec;±5%;1/32(0.0313);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AF_51_RoHS_L_9.pdf
AF0100JR-0747KL;AF;Anti-Sulfurated Chip Resistor;0100 (0402);Paper tape;07 inch Dia. Reel;47000.0;Based on Spec;±5%;1/32(0.0313);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AF_51_RoHS_L_9.pdf
AF0201DR-07100KL;AF;Anti-Sulfurated Chip Resistor;0201 (0603);Paper tape;07 inch Dia. reel;100000.0;Based on Spec;±0.5%;1/20 (0.05);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AF_51_RoHS_L_9.pdf
AF0201DR-0710K5L;AF;Anti-Sulfurated Chip Resistor;0201 (0603);Paper tape;07 inch Dia. Reel;10500.0;Based on Spec;±0.5%;1/20 (0.05);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AF_51_RoHS_L_9.pdf
AF0201DR-0710KL;AF;Anti-Sulfurated Chip Resistor;0201 (0603);Paper tape;07 inch Dia. Reel;10000.0;Based on Spec;±0.5%;1/20 (0.05);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AF_51_RoHS_L_9.pdf
AF0201DR-07120KL;AF;Anti-Sulfurated Chip Resistor;0201 (0603);Paper tape;07 inch Dia. Reel;120000.0;Based on Spec;±0.5%;1/20 (0.05);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AF_51_RoHS_L_9.pdf
AF0201DR-0712K7L;AF;Anti-Sulfurated Chip Resistor;0201 (0603);Paper tape;07 inch Dia. Reel;12700.0;Based on Spec;±0.5%;1/20 (0.05);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AF_51_RoHS_L_9.pdf
AF0201DR-07132KL;AF;Anti-Sulfurated Chip Resistor;0201 (0603);Paper tape;07 inch Dia. Reel;132000.0;Based on Spec;±0.5%;1/20 (0.05);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AF_51_RoHS_L_9.pdf
AF0201DR-07133KL;AF;Anti-Sulfurated Chip Resistor;0201 (0603);Paper tape;07 inch Dia. Reel;133000.0;Based on Spec;±0.5%;1/20 (0.05);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AF_51_RoHS_L_9.pdf
AF0201DR-0713K7L;AF;Anti-Sulfurated Chip Resistor;0201 (0603);Paper tape;07 inch Dia. Reel;13700.0;Based on Spec;±0.5%;1/20 (0.05);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AF_51_RoHS_L_9.pdf
AF0201DR-07150KL;AF;Anti-Sulfurated Chip Resistor;0201 (0603);Paper tape;07 inch Dia. Reel;150000.0;Based on Spec;±0.5%;1/20 (0.05);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AF_51_RoHS_L_9.pdf
AF0201DR-07154KL;AF;Anti-Sulfurated Chip Resistor;0201 (0603);Paper tape;07 inch Dia. Reel;154000.0;Based on Spec;±0.5%;1/20 (0.05);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AF_51_RoHS_L_9.pdf
AF0201DR-0715KL;AF;Anti-Sulfurated Chip Resistor;0201 (0603);Paper tape;07 inch Dia. Reel;15000.0;Based on Spec;±0.5%;1/20 (0.05);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AF_51_RoHS_L_9.pdf
AF0201DR-0719K6L;AF;Anti-Sulfurated Chip Resistor;0201 (0603);Paper tape;07 inch Dia. Reel;19600.0;Based on Spec;±0.5%;1/20 (0.05);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AF_51_RoHS_L_9.pdf
AF0201DR-0720KL;AF;Anti-Sulfurated Chip Resistor;0201 (0603);Paper tape;07 inch Dia. Reel;20000.0;Based on Spec;±0.5%;1/20 (0.05);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AF_51_RoHS_L_9.pdf
AF0201DR-07221KL;AF;Anti-Sulfurated Chip Resistor;0201 (0603);Paper tape;07 inch Dia. reel;221000.0;Based on Spec;±0.5%;1/20 (0.05);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AF_51_RoHS_L_9.pdf
AF0201DR-0722K6L;AF;Anti-Sulfurated Chip Resistor;0201 (0603);Paper tape;07 inch Dia. Reel;22600.0;Based on Spec;±0.5%;1/20 (0.05);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AF_51_RoHS_L_9.pdf
AF0201DR-07237KL;AF;Anti-Sulfurated Chip Resistor;0201 (0603);Paper tape;07 inch Dia. Reel;237000.0;Based on Spec;±0.5%;1/20 (0.05);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AF_51_RoHS_L_9.pdf
AF0201DR-0724K9L;AF;Anti-Sulfurated Chip Resistor;0201 (0603);Paper tape;07 inch Dia. Reel;24900.0;Based on Spec;±0.5%;1/20 (0.05);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AF_51_RoHS_L_9.pdf
AF0201DR-07255KL;AF;Anti-Sulfurated Chip Resistor;0201 (0603);Paper tape;07 inch Dia. Reel;255000.0;Based on Spec;±0.5%;1/20 (0.05);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AF_51_RoHS_L_9.pdf
AF0201DR-07294KL;AF;Anti-Sulfurated Chip Resistor;0201 (0603);Paper tape;07 inch Dia. Reel;294000.0;Based on Spec;±0.5%;1/20 (0.05);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AF_51_RoHS_L_9.pdf
