Part Number;Series;Series Description;Size;Packing;Packing Description;Resistance;TCR;Tolerance;Power(W);Datasheet
AH0603FR-07100KL;AH;High Voltage, Anti-FOS Chip Resistor;0603 (1608);Paper tape;07 inch Dia. Reel;100000.0;Based on Spec;±1%;1/10 (0.1);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AH_51_RoHS_L_2.pdf
AH0603FR-0710KL;AH;High Voltage, Anti-FOS Chip Resistor;0603 (1608);Paper tape;07 inch Dia. Reel;10000.0;Based on Spec;±1%;1/10 (0.1);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AH_51_RoHS_L_2.pdf
AH0603FR-07120KL;AH;High Voltage, Anti-FOS Chip Resistor;0603 (1608);Paper tape;07 inch Dia. Reel;120000.0;Based on Spec;±1%;1/10 (0.1);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AH_51_RoHS_L_2.pdf
AH0603FR-07130KL;AH;High Voltage, Anti-FOS Chip Resistor;0603 (1608);Paper tape;07 inch Dia. Reel;130000.0;Based on Spec;±1%;1/10 (0.1);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AH_51_RoHS_L_2.pdf
AH0603FR-07150KL;AH;High Voltage, Anti-FOS Chip Resistor;0603 (1608);Paper tape;07 inch Dia. Reel;150000.0;Based on Spec;±1%;1/10 (0.1);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AH_51_RoHS_L_2.pdf
AH0603FR-07158KL;AH;High Voltage, Anti-FOS Chip Resistor;0603 (1608);Paper tape;07 inch Dia. Reel;158000.0;Based on Spec;±1%;1/10 (0.1);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AH_51_RoHS_L_2.pdf
AH0603FR-071ML;AH;High Voltage, Anti-FOS Chip Resistor;0603 (1608);Paper tape;07 inch Dia. Reel;1000000.0;Based on Spec;±1%;1/10 (0.1);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AH_51_RoHS_L_2.pdf
AH0603FR-07200KL;AH;High Voltage, Anti-FOS Chip Resistor;0603 (1608);Paper tape;07 inch Dia. Reel;200000.0;Based on Spec;±1%;1/10 (0.1);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AH_51_RoHS_L_2.pdf
AH0603FR-07220KL;AH;High Voltage, Anti-FOS Chip Resistor;0603 (1608);Paper tape;07 inch Dia. Reel;220000.0;Based on Spec;±1%;1/10 (0.1);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AH_51_RoHS_L_2.pdf
AH0603FR-07243KL;AH;High Voltage, Anti-FOS Chip Resistor;0603 (1608);Paper tape;07 inch Dia. Reel;243000.0;Based on Spec;±1%;1/10 (0.1);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AH_51_RoHS_L_2.pdf
AH0603FR-07261KL;AH;High Voltage, Anti-FOS Chip Resistor;0603 (1608);Paper tape;07 inch Dia. Reel;261000.0;Based on Spec;±1%;1/10 (0.1);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AH_51_RoHS_L_2.pdf
AH0603FR-07332KL;AH;High Voltage, Anti-FOS Chip Resistor;0603 (1608);Paper tape;07 inch Dia. Reel;332000.0;Based on Spec;±1%;1/10 (0.1);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AH_51_RoHS_L_2.pdf
AH0603FR-0739KL;AH;High Voltage, Anti-FOS Chip Resistor;0603 (1608);Paper tape;07 inch Dia. Reel;39000.0;Based on Spec;±1%;1/10 (0.1);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AH_51_RoHS_L_2.pdf
AH0603FR-0740K2L;AH;High Voltage, Anti-FOS Chip Resistor;0603 (1608);Paper tape;07 inch Dia. Reel;40200.0;Based on Spec;±1%;1/10 (0.1);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AH_51_RoHS_L_2.pdf
AH0603FR-07432KL;AH;High Voltage, Anti-FOS Chip Resistor;0603 (1608);Paper tape;07 inch Dia. Reel;432000.0;Based on Spec;±1%;1/10 (0.1);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AH_51_RoHS_L_2.pdf
AH0603FR-07475KL;AH;High Voltage, Anti-FOS Chip Resistor;0603 (1608);Paper tape;07 inch Dia. Reel;475000.0;Based on Spec;±1%;1/10 (0.1);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AH_51_RoHS_L_2.pdf
AH0603FR-0747KL;AH;High Voltage, Anti-FOS Chip Resistor;0603 (1608);Paper tape;07 inch Dia. Reel;47000.0;Based on Spec;±1%;1/10 (0.1);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AH_51_RoHS_L_2.pdf
AH0603FR-0749K9L;AH;High Voltage, Anti-FOS Chip Resistor;0603 (1608);Paper tape;07 inch Dia. Reel;49900.0;Based on Spec;±1%;1/10 (0.1);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AH_51_RoHS_L_2.pdf
AH0603FR-07511KL;AH;High Voltage, Anti-FOS Chip Resistor;0603 (1608);Paper tape;07 inch Dia. Reel;511000.0;Based on Spec;±1%;1/10 (0.1);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AH_51_RoHS_L_2.pdf
AH0603FR-07549KL;AH;High Voltage, Anti-FOS Chip Resistor;0603 (1608);Paper tape;07 inch Dia. Reel;549000.0;Based on Spec;±1%;1/10 (0.1);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AH_51_RoHS_L_2.pdf
AH0603FR-0771K5L;AH;High Voltage, Anti-FOS Chip Resistor;0603 (1608);Paper tape;07 inch Dia. Reel;71500.0;Based on Spec;±1%;1/10 (0.1);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AH_51_RoHS_L_2.pdf
AH0603FR-07909KL;AH;High Voltage, Anti-FOS Chip Resistor;0603 (1608);Paper tape;07 inch Dia. Reel;909000.0;Based on Spec;±1%;1/10 (0.1);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AH_51_RoHS_L_2.pdf
AH0603FR-07910KL;AH;High Voltage, Anti-FOS Chip Resistor;0603 (1608);Paper tape;07 inch Dia. Reel;910000.0;Based on Spec;±1%;1/10 (0.1);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AH_51_RoHS_L_2.pdf
AH0603JR-0710KL;AH;High Voltage, Anti-FOS Chip Resistor;0603 (1608);Paper tape;07 inch Dia. Reel;10000.0;Based on Spec;±5%;1/10 (0.1);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AH_51_RoHS_L_2.pdf
AH0805FR-07100KL;AH;High Voltage, Anti-FOS Chip Resistor;0805 (2012);Paper tape;07 inch Dia. Reel;100000.0;Based on Spec;±1%;1/8 (0.125);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AH_51_RoHS_L_2.pdf
AH0805FR-07105KL;AH;High Voltage, Anti-FOS Chip Resistor;0805 (2012);Paper tape;07 inch Dia. Reel;105000.0;Based on Spec;±1%;1/8 (0.125);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AH_51_RoHS_L_2.pdf
AH0805FR-0710KL;AH;High Voltage, Anti-FOS Chip Resistor;0805 (2012);Paper tape;07 inch Dia. Reel;10000.0;Based on Spec;±1%;1/8 (0.125);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AH_51_RoHS_L_2.pdf
AH0805FR-0710ML;AH;High Voltage, Anti-FOS Chip Resistor;0805 (2012);Paper tape;07 inch Dia. Reel;10000000.0;Based on Spec;±1%;1/8 (0.125);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AH_51_RoHS_L_2.pdf
AH0805FR-07120KL;AH;High Voltage, Anti-FOS Chip Resistor;0805 (2012);Paper tape;07 inch Dia. Reel;120000.0;Based on Spec;±1%;1/8 (0.125);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AH_51_RoHS_L_2.pdf
AH0805FR-07140KL;AH;High Voltage, Anti-FOS Chip Resistor;0805 (2012);Paper tape;07 inch Dia. Reel;140000.0;Based on Spec;±1%;1/8 (0.125);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AH_51_RoHS_L_2.pdf
AH0805FR-07150KL;AH;High Voltage, Anti-FOS Chip Resistor;0805 (2012);Paper tape;07 inch Dia. Reel;150000.0;Based on Spec;±1%;1/8 (0.125);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AH_51_RoHS_L_2.pdf
AH0805FR-07158KL;AH;High Voltage, Anti-FOS Chip Resistor;0805 (2012);Paper tape;07 inch Dia. Reel;158000.0;Based on Spec;±1%;1/8 (0.125);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AH_51_RoHS_L_2.pdf
AH0805FR-0715ML;AH;High Voltage, Anti-FOS Chip Resistor;0805 (2012);Paper tape;07 inch Dia. Reel;15000000.0;Based on Spec;±1%;1/8 (0.125);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AH_51_RoHS_L_2.pdf
AH0805FR-07160KL;AH;High Voltage, Anti-FOS Chip Resistor;0805 (2012);Paper tape;07 inch Dia. Reel;160000.0;Based on Spec;±1%;1/8 (0.125);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AH_51_RoHS_L_2.pdf
AH0805FR-07165KL;AH;High Voltage, Anti-FOS Chip Resistor;0805 (2012);Paper tape;07 inch Dia. Reel;165000.0;Based on Spec;±1%;1/8 (0.125);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AH_51_RoHS_L_2.pdf
AH0805FR-07174KL;AH;High Voltage, Anti-FOS Chip Resistor;0805 (2012);Paper tape;07 inch Dia. Reel;174000.0;Based on Spec;±1%;1/8 (0.125);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AH_51_RoHS_L_2.pdf
AH0805FR-07180KL;AH;High Voltage, Anti-FOS Chip Resistor;0805 (2012);Paper tape;07 inch Dia. Reel;180000.0;Based on Spec;±1%;1/8 (0.125);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AH_51_RoHS_L_2.pdf
AH0805FR-0718KL;AH;High Voltage, Anti-FOS Chip Resistor;0805 (2012);Paper tape;07 inch Dia. Reel;18000.0;Based on Spec;±1%;1/8 (0.125);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AH_51_RoHS_L_2.pdf
AH0805FR-071M1L;AH;High Voltage, Anti-FOS Chip Resistor;0805 (2012);Paper tape;07 inch Dia. Reel;1100000.0;Based on Spec;±1%;1/8 (0.125);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AH_51_RoHS_L_2.pdf
AH0805FR-071M2L;AH;High Voltage, Anti-FOS Chip Resistor;0805 (2012);Paper tape;07 inch Dia. Reel;1200000.0;Based on Spec;±1%;1/8 (0.125);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AH_51_RoHS_L_2.pdf
AH0805FR-071M3L;AH;High Voltage, Anti-FOS Chip Resistor;0805 (2012);Paper tape;07 inch Dia. Reel;1300000.0;Based on Spec;±1%;1/8 (0.125);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AH_51_RoHS_L_2.pdf
AH0805FR-071M5L;AH;High Voltage, Anti-FOS Chip Resistor;0805 (2012);Paper tape;07 inch Dia. Reel;1500000.0;Based on Spec;±1%;1/8 (0.125);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AH_51_RoHS_L_2.pdf
AH0805FR-071M62L;AH;High Voltage, Anti-FOS Chip Resistor;0805 (2012);Paper tape;07 inch Dia. Reel;1620000.0;Based on Spec;±1%;1/8 (0.125);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AH_51_RoHS_L_2.pdf
AH0805FR-071M6L;AH;High Voltage, Anti-FOS Chip Resistor;0805 (2012);Paper tape;07 inch Dia. Reel;1600000.0;Based on Spec;±1%;1/8 (0.125);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AH_51_RoHS_L_2.pdf
AH0805FR-071M8L;AH;High Voltage, Anti-FOS Chip Resistor;0805 (2012);Paper tape;07 inch Dia. Reel;1800000.0;Based on Spec;±1%;1/8 (0.125);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AH_51_RoHS_L_2.pdf
AH0805FR-071ML;AH;High Voltage, Anti-FOS Chip Resistor;0805 (2012);Paper tape;07 inch Dia. Reel;1000000.0;Based on Spec;±1%;1/8 (0.125);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AH_51_RoHS_L_2.pdf
AH0805FR-07200KL;AH;High Voltage, Anti-FOS Chip Resistor;0805 (2012);Paper tape;07 inch Dia. Reel;200000.0;Based on Spec;±1%;1/8 (0.125);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AH_51_RoHS_L_2.pdf
AH0805FR-07215KL;AH;High Voltage, Anti-FOS Chip Resistor;0805 (2012);Paper tape;07 inch Dia. Reel;215000.0;Based on Spec;±1%;1/8 (0.125);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AH_51_RoHS_L_2.pdf
AH0805FR-07220KL;AH;High Voltage, Anti-FOS Chip Resistor;0805 (2012);Paper tape;07 inch Dia. Reel;220000.0;Based on Spec;±1%;1/8 (0.125);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AH_51_RoHS_L_2.pdf
AH0805FR-0722KL;AH;High Voltage, Anti-FOS Chip Resistor;0805 (2012);Paper tape;07 inch Dia. Reel;22000.0;Based on Spec;±1%;1/8 (0.125);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AH_51_RoHS_L_2.pdf
AH0805FR-07243KL;AH;High Voltage, Anti-FOS Chip Resistor;0805 (2012);Paper tape;07 inch Dia. Reel;243000.0;Based on Spec;±1%;1/8 (0.125);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AH_51_RoHS_L_2.pdf
AH0805FR-07249KL;AH;High Voltage, Anti-FOS Chip Resistor;0805 (2012);Paper tape;07 inch Dia. Reel;249000.0;Based on Spec;±1%;1/8 (0.125);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AH_51_RoHS_L_2.pdf
AH0805FR-0724K3L;AH;High Voltage, Anti-FOS Chip Resistor;0805 (2012);Paper tape;07 inch Dia. Reel;24300.0;Based on Spec;±1%;1/8 (0.125);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AH_51_RoHS_L_2.pdf
AH0805FR-07255KL;AH;High Voltage, Anti-FOS Chip Resistor;0805 (2012);Paper tape;07 inch Dia. Reel;255000.0;Based on Spec;±1%;1/8 (0.125);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AH_51_RoHS_L_2.pdf
AH0805FR-07270KL;AH;High Voltage, Anti-FOS Chip Resistor;0805 (2012);Paper tape;07 inch Dia. Reel;270000.0;Based on Spec;±1%;1/8 (0.125);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AH_51_RoHS_L_2.pdf
AH0805FR-07274KL;AH;High Voltage, Anti-FOS Chip Resistor;0805 (2012);Paper tape;07 inch Dia. Reel;274000.0;Based on Spec;±1%;1/8 (0.125);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AH_51_RoHS_L_2.pdf
AH0805FR-072K4L;AH;High Voltage, Anti-FOS Chip Resistor;0805 (2012);Paper tape;07 inch Dia. Reel;2400.0;Based on Spec;±1%;1/8 (0.125);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AH_51_RoHS_L_2.pdf
AH0805FR-072M2L;AH;High Voltage, Anti-FOS Chip Resistor;0805 (2012);Paper tape;07 inch Dia. Reel;2200000.0;Based on Spec;±1%;1/8 (0.125);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AH_51_RoHS_L_2.pdf
AH0805FR-072M7L;AH;High Voltage, Anti-FOS Chip Resistor;0805 (2012);Paper tape;07 inch Dia. Reel;2700000.0;Based on Spec;±1%;1/8 (0.125);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AH_51_RoHS_L_2.pdf
AH0805FR-072ML;AH;High Voltage, Anti-FOS Chip Resistor;0805 (2012);Paper tape;07 inch Dia. Reel;2000000.0;Based on Spec;±1%;1/8 (0.125);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AH_51_RoHS_L_2.pdf
AH0805FR-07300KL;AH;High Voltage, Anti-FOS Chip Resistor;0805 (2012);Paper tape;07 inch Dia. Reel;300000.0;Based on Spec;±1%;1/8 (0.125);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AH_51_RoHS_L_2.pdf
AH0805FR-07316KL;AH;High Voltage, Anti-FOS Chip Resistor;0805 (2012);Paper tape;07 inch Dia. Reel;316000.0;Based on Spec;±1%;1/8 (0.125);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AH_51_RoHS_L_2.pdf
AH0805FR-07330KL;AH;High Voltage, Anti-FOS Chip Resistor;0805 (2012);Paper tape;07 inch Dia. Reel;330000.0;Based on Spec;±1%;1/8 (0.125);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AH_51_RoHS_L_2.pdf
AH0805FR-07332KL;AH;High Voltage, Anti-FOS Chip Resistor;0805 (2012);Paper tape;07 inch Dia. Reel;332000.0;Based on Spec;±1%;1/8 (0.125);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AH_51_RoHS_L_2.pdf
AH0805FR-07340KL;AH;High Voltage, Anti-FOS Chip Resistor;0805 (2012);Paper tape;07 inch Dia. Reel;340000.0;Based on Spec;±1%;1/8 (0.125);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AH_51_RoHS_L_2.pdf
