Part Number;Series;Series Description;Size;Packing;Packing Description;Resistance;TCR;Tolerance;Power(W);Datasheet
AR0402FR-07100KL;AR;NiAu Termination Chip Resistor;0402 (1005);Paper tape;07 inch Dia. reel;100000.0;Based on Spec;±1%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AR_51_RoHS_L_7.pdf
AR0402FR-07100RL;AR;NiAu Termination Chip Resistor;0402 (1005);Paper tape;07 inch Dia. reel;100.0;Based on Spec;±1%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AR_51_RoHS_L_7.pdf
AR0402FR-07102KL;AR;NiAu Termination Chip Resistor;0402 (1005);Paper tape;07 inch Dia. reel;102000.0;Based on Spec;±1%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AR_51_RoHS_L_7.pdf
AR0402FR-07102RL;AR;NiAu Termination Chip Resistor;0402 (1005);Paper tape;07 inch Dia. reel;102.0;Based on Spec;±1%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AR_51_RoHS_L_7.pdf
AR0402FR-07105KL;AR;NiAu Termination Chip Resistor;0402 (1005);Paper tape;07 inch Dia. reel;105000.0;Based on Spec;±1%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AR_51_RoHS_L_7.pdf
AR0402FR-07105RL;AR;NiAu Termination Chip Resistor;0402 (1005);Paper tape;07 inch Dia. reel;105.0;Based on Spec;±1%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AR_51_RoHS_L_7.pdf
AR0402FR-07107KL;AR;NiAu Termination Chip Resistor;0402 (1005);Paper tape;07 inch Dia. reel;107000.0;Based on Spec;±1%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AR_51_RoHS_L_7.pdf
AR0402FR-07107RL;AR;NiAu Termination Chip Resistor;0402 (1005);Paper tape;07 inch Dia. reel;107.0;Based on Spec;±1%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AR_51_RoHS_L_7.pdf
AR0402FR-0710K2L;AR;NiAu Termination Chip Resistor;0402 (1005);Paper tape;07 inch Dia. reel;10200.0;Based on Spec;±1%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AR_51_RoHS_L_7.pdf
AR0402FR-0710K5L;AR;NiAu Termination Chip Resistor;0402 (1005);Paper tape;07 inch Dia. reel;10500.0;Based on Spec;±1%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AR_51_RoHS_L_7.pdf
