Part Number;Series;Series Description;Size;Packing;Packing Description;Resistance;TCR;Tolerance;Power(W);Datasheet
AS0603FR-07100RL;AS;Anti-surge and Anti-sulfuration Chip Resistor;0603 (1608);Paper tape;07 inch Dia. Reel;100.0;Based on Spec;±1%;1/10 (0.1);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AS_RoHS_L_2.pdf
AS0603FR-0710RL;AS;Anti-surge and Anti-sulfuration Chip Resistor;0603 (1608);Paper tape;07 inch Dia. Reel;10.0;Based on Spec;±1%;1/10 (0.1);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AS_RoHS_L_2.pdf
AS0603FR-07200RL;AS;Anti-surge and Anti-sulfuration Chip Resistor;0603 (1608);Paper tape;07 inch Dia. Reel;200.0;Based on Spec;±1%;1/10 (0.1);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AS_RoHS_L_2.pdf
AS0603FR-072R2L;AS;Anti-surge and Anti-sulfuration Chip Resistor;0603 (1608);Paper tape;07 inch Dia. Reel;2.2;Based on Spec;±1%;1/10 (0.1);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AS_RoHS_L_2.pdf
AS0603FR-07330RL;AS;Anti-surge and Anti-sulfuration Chip Resistor;0603 (1608);Paper tape;07 inch Dia. Reel;330.0;Based on Spec;±1%;1/10 (0.1);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AS_RoHS_L_2.pdf
AS0603FR-0775RL;AS;Anti-surge and Anti-sulfuration Chip Resistor;0603 (1608);Paper tape;07 inch Dia. Reel;75.0;Based on Spec;±1%;1/10 (0.1);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AS_RoHS_L_2.pdf
AS0603FR-7W3R3L;AS;Anti-surge and Anti-sulfuration Chip Resistor;0603 (1608);Paper tape;07 inch Dia. Reel;3.3;Based on Spec;±1%;1/5 (0.2);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AS_RoHS_L_2.pdf
AS0603JR-07100KL;AS;Anti-surge and Anti-sulfuration Chip Resistor;0603 (1608);Paper tape;07 inch Dia. Reel;100000.0;Based on Spec;±5%;1/10 (0.1);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AS_RoHS_L_2.pdf
AS0603JR-07100RL;AS;Anti-surge and Anti-sulfuration Chip Resistor;0603 (1608);Paper tape;07 inch Dia. Reel;100.0;Based on Spec;±5%;1/10 (0.1);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AS_RoHS_L_2.pdf
AS0603JR-0710RL;AS;Anti-surge and Anti-sulfuration Chip Resistor;0603 (1608);Paper tape;07 inch Dia. Reel;10.0;Based on Spec;±5%;1/10 (0.1);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AS_RoHS_L_2.pdf
AS0603JR-07110RL;AS;Anti-surge and Anti-sulfuration Chip Resistor;0603 (1608);Paper tape;07 inch Dia. Reel;110.0;Based on Spec;±5%;1/10 (0.1);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AS_RoHS_L_2.pdf
