Part Number;Series;Series Description;Size;Packing;Packing Description;Resistance;TCR;Tolerance;Power(W);Datasheet
ATV321BR-073DBL;ATV;RF Attenuator;0404 (1010);Paper tape;07 inch Dia. Reel;;;;;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-ATV321_PbFree_L_0.pdf
ATV321BR-075DBL;ATV;RF Attenuator;0404 (1010);Paper tape;07 inch Dia. Reel;;;;;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-ATV321_PbFree_L_0.pdf
ATV321CR-0710L;ATV;RF Attenuator;0404 (1010);Paper tape;07 inch Dia. reel;10.0;Based on Spec;±0.3;40mW;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-ATV321_PbFree_L_0.pdf
ATV321CR-071L;ATV;RF Attenuator;0404 (1010);Paper tape;07 inch Dia. reel;1.0;Based on Spec;±0.3;40mW;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-ATV321_PbFree_L_0.pdf
ATV321CR-072L;ATV;RF Attenuator;0404 (1010);Paper tape;07 inch Dia. reel;2.0;Based on Spec;±0.3;40mW;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-ATV321_PbFree_L_0.pdf
ATV321CR-073L;ATV;RF Attenuator;0404 (1010);Paper tape;07 inch Dia. reel;3.0;Based on Spec;±0.3;40mW;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-ATV321_PbFree_L_0.pdf
ATV321CR-074L;ATV;RF Attenuator;0404 (1010);Paper tape;07 inch Dia. reel;4.0;Based on Spec;±0.3;40mW;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-ATV321_PbFree_L_0.pdf
ATV321CR-075L;ATV;RF Attenuator;0404 (1010);Paper tape;07 inch Dia. reel;5.0;Based on Spec;±0.3;40mW;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-ATV321_PbFree_L_0.pdf
ATV321CR-076L;ATV;RF Attenuator;0404 (1010);Paper tape;07 inch Dia. reel;6.0;Based on Spec;±0.3;40mW;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-ATV321_PbFree_L_0.pdf
ATV321CR-077L;ATV;RF Attenuator;0404 (1010);Paper tape;07 inch Dia. reel;7.0;Based on Spec;±0.3;40mW;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-ATV321_PbFree_L_0.pdf
ATV321CR-078L;ATV;RF Attenuator;0404 (1010);Paper tape;07 inch Dia. reel;8.0;Based on Spec;±0.3;40mW;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-ATV321_PbFree_L_0.pdf
ATV321DR-0710L;ATV;RF Attenuator;0404 (1010);Paper tape;07 inch Dia. reel;10.0;Based on Spec;±0.5;40mW;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-ATV321_PbFree_L_0.pdf
ATV321DR-0715L;ATV;RF Attenuator;0404 (1010);Paper tape;07 inch Dia. reel;15.0;Based on Spec;±0.5;40mW;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-ATV321_PbFree_L_0.pdf
ATV321DR-076L;ATV;RF Attenuator;0404 (1010);Paper tape;07 inch Dia. reel;6.0;Based on Spec;±0.5;40mW;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-ATV321_PbFree_L_0.pdf
ATV321DR-077L;ATV;RF Attenuator;0404 (1010);Paper tape;07 inch Dia. reel;7.0;Based on Spec;±0.5;40mW;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-ATV321_PbFree_L_0.pdf
ATV321DR-078L;ATV;RF Attenuator;0404 (1010);Paper tape;07 inch Dia. reel;8.0;Based on Spec;±0.5;40mW;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-ATV321_PbFree_L_0.pdf
ATV321DR-079L;ATV;RF Attenuator;0404 (1010);Paper tape;07 inch Dia. reel;9.0;Based on Spec;±0.5;40mW;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-ATV321_PbFree_L_0.pdf
ATV321GR-0720L;ATV;RF Attenuator;0404 (1010);Paper tape;07 inch Dia. reel;20.0;Based on Spec;±2;40mW;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-ATV321_PbFree_L_0.pdf
