Part Number;Series;Series Description;Size;Packing;Packing Description;Resistance;TCR;Tolerance;Power(W);Datasheet
AT0402-R-SB001L;AT;Automotive Grade Thin Film Chip Resistor;;;;;;;;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AT_51_RoHS_L_6.pdf
AT0402BRB07100RL;AT;Automotive Grade Thin Film Chip Resistor;0402 (1005);Paper tape;07 inch Dia. reel;100.0;;±0.1%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AT_51_RoHS_L_6.pdf
AT0402BRB07102RL;AT;Automotive Grade Thin Film Chip Resistor;0402 (1005);Paper tape;07 inch Dia. reel;102.0;;±0.1%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AT_51_RoHS_L_6.pdf
AT0402BRB07105RL;AT;Automotive Grade Thin Film Chip Resistor;0402 (1005);Paper tape;07 inch Dia. reel;105.0;;±0.1%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AT_51_RoHS_L_6.pdf
AT0402BRB07107RL;AT;Automotive Grade Thin Film Chip Resistor;0402 (1005);Paper tape;07 inch Dia. reel;107.0;;±0.1%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AT_51_RoHS_L_6.pdf
AT0402BRB0710K2L;AT;Automotive Grade Thin Film Chip Resistor;0402 (1005);Paper tape;07 inch Dia. reel;10200.0;;±0.1%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AT_51_RoHS_L_6.pdf
AT0402BRB0710K5L;AT;Automotive Grade Thin Film Chip Resistor;0402 (1005);Paper tape;07 inch Dia. reel;10500.0;;±0.1%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AT_51_RoHS_L_6.pdf
AT0402BRB0710K7L;AT;Automotive Grade Thin Film Chip Resistor;0402 (1005);Paper tape;07 inch Dia. reel;10700.0;;±0.1%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AT_51_RoHS_L_6.pdf
AT0402BRB0710KL;AT;Automotive Grade Thin Film Chip Resistor;0402 (1005);Paper tape;07 inch Dia. reel;10000.0;;±0.1%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AT_51_RoHS_L_6.pdf
AT0402BRB07110RL;AT;Automotive Grade Thin Film Chip Resistor;0402 (1005);Paper tape;07 inch Dia. reel;110.0;;±0.1%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AT_51_RoHS_L_6.pdf
AT0402BRB07113RL;AT;Automotive Grade Thin Film Chip Resistor;0402 (1005);Paper tape;07 inch Dia. reel;113.0;;±0.1%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AT_51_RoHS_L_6.pdf
AT0402BRB07115RL;AT;Automotive Grade Thin Film Chip Resistor;0402 (1005);Paper tape;07 inch Dia. reel;115.0;;±0.1%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AT_51_RoHS_L_6.pdf
AT0402BRB07118RL;AT;Automotive Grade Thin Film Chip Resistor;0402 (1005);Paper tape;07 inch Dia. reel;118.0;;±0.1%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AT_51_RoHS_L_6.pdf
AT0402BRB07120RL;AT;Automotive Grade Thin Film Chip Resistor;0402 (1005);Paper tape;07 inch Dia. reel;120.0;;±0.1%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AT_51_RoHS_L_6.pdf
AT0402BRB07121RL;AT;Automotive Grade Thin Film Chip Resistor;0402 (1005);Paper tape;07 inch Dia. reel;121.0;;±0.1%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AT_51_RoHS_L_6.pdf
