Part Number;Series;Series Description;Size;Packing;Packing Description;Resistance;TCR;Tolerance;Power(W);Datasheet
HV2010DK-07510KL;HV;High Voltage Chip Resistor;2010 (5025);Embossed plastic tape;07 inch Dia. Reel;510000.0;Based on Spec;±0.5%;3/4 (0.75);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-HV_51_RoHS_L_1.pdf
HV2010FK-07100KL;HV;High Voltage Chip Resistor;2010 (5025);Embossed plastic tape;07 inch Dia. Reel;100000.0;Based on Spec;±1%;3/4 (0.75);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-HV_51_RoHS_L_1.pdf
HV2010FK-071ML;HV;High Voltage Chip Resistor;2010 (5025);Embossed plastic tape;07 inch Dia. Reel;1000000.0;Based on Spec;±1%;3/4 (0.75);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-HV_51_RoHS_L_1.pdf
HV2010FK-072ML;HV;High Voltage Chip Resistor;2010 (5025);Embossed plastic tape;07 inch Dia. Reel;2000000.0;Based on Spec;±1%;3/4 (0.75);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-HV_51_RoHS_L_1.pdf
HV2010FK-073M32L;HV;High Voltage Chip Resistor;2010 (5025);Embossed plastic tape;07 inch Dia. Reel;3320000.0;Based on Spec;±1%;3/4 (0.75);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-HV_51_RoHS_L_1.pdf
HV2010FK-0747RL;HV;High Voltage Chip Resistor;2010 (5025);Embossed plastic tape;07 inch Dia. Reel;47.0;Based on Spec;±1%;3/4 (0.75);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-HV_51_RoHS_L_1.pdf
HV2010FK-075M1L;HV;High Voltage Chip Resistor;2010 (5025);Embossed plastic tape;07 inch Dia. Reel;5100000.0;Based on Spec;±1%;3/4 (0.75);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-HV_51_RoHS_L_1.pdf
HV2010FK-07750KL;HV;High Voltage Chip Resistor;2010 (5025);Embossed plastic tape;07 inch Dia. Reel;750000.0;Based on Spec;±1%;3/4 (0.75);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-HV_51_RoHS_L_1.pdf
HV2010JK-0710ML;HV;High Voltage Chip Resistor;2010 (5025);Embossed plastic tape;07 inch Dia. Reel;10000000.0;Based on Spec;±5%;3/4 (0.75);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-HV_51_RoHS_L_1.pdf
HV2010JK-0712ML;HV;High Voltage Chip Resistor;2010 (5025);Embossed plastic tape;07 inch Dia. Reel;12000000.0;Based on Spec;±5%;3/4 (0.75);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-HV_51_RoHS_L_1.pdf
