Part Number;Series;Series Description;Size;Packing;Packing Description;Resistance;TCR;Tolerance;Power(W);Datasheet
NT0402BRD07100RL;NT;;0402;Paper tape;07 inch Dia. Reel;100.0;±25ppm/°C;±0.1%;1/20;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-NT_51_RoHS_L_0.pdf
NT0402BRD0710KL;NT;;0402;Paper tape;07 inch Dia. Reel;10000.0;±25ppm/°C;±0.1%;1/20;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-NT_51_RoHS_L_0.pdf
NT0402BRD071KL;NT;;0402;Paper tape;07 inch Dia. Reel;1000.0;±25ppm/°C;±0.1%;1/20;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-NT_51_RoHS_L_0.pdf
NT0402BRD0736K5L;NT;;0402;Paper tape;07 inch Dia. Reel;36500.0;±25ppm/°C;±0.1%;1/20;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-NT_51_RoHS_L_0.pdf
NT0402BRD073K32L;NT;;0402;Paper tape;07 inch Dia. Reel;3320.0;±25ppm/°C;±0.1%;1/20;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-NT_51_RoHS_L_0.pdf
NT0402BRD074K7L;NT;;0402;Paper tape;07 inch Dia. Reel;4700.0;±25ppm/°C;±0.1%;1/20;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-NT_51_RoHS_L_0.pdf
NT0402BRD078K25L;NT;;0402;Paper tape;07 inch Dia. Reel;8250.0;±25ppm/°C;±0.1%;1/20;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-NT_51_RoHS_L_0.pdf
NT0402BRE071KL;NT;;0402;Paper tape;07 inch Dia. Reel;1000.0;±50ppm/°C;±0.1%;1/20;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-NT_51_RoHS_L_0.pdf
NT0402BRE072K49L;NT;;0402;Paper tape;07 inch Dia. Reel;2490.0;±50ppm/°C;±0.1%;1/20;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-NT_51_RoHS_L_0.pdf
NT0402BRF074K87L;NT;;0402;Paper tape;07 inch Dia. Reel;4870.0;±100ppm/°C;±0.1%;1/20;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-NT_51_RoHS_L_0.pdf
