Part Number;Series;Series Description;Size;Packing;Packing Description;Resistance;TCR;Tolerance;Power(W);Datasheet
PA0100FRI070R01L;PA;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;0100 (0402);Paper tape;07 inch Dia. reel;0.01;±300ppm/°C;±1%;1/32(0.0313);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PA0100_2512_51_RoHS_3.pdf
PA0100FRI070R02L;PA;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;0100 (0402);Paper tape;07 inch Dia. reel;0.02;±300ppm/°C;±1%;1/32(0.0313);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PA0100_2512_51_RoHS_3.pdf
PA0100FRI7W0R01L;PA;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;0100 (0402);Paper tape;07 inch Dia. Reel;0.01;±300ppm/°C;±1%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PA0100_2512_51_RoHS_3.pdf
PA0100FRI7W0R02L;PA;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;0100 (0402);Paper tape;07 inch Dia. Reel;0.02;±300ppm/°C;±1%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PA0100_2512_51_RoHS_3.pdf
PA0201FRF7W0R02L;PA;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;0201 (0603);Paper tape;07 inch Dia. Reel;0.02;±100ppm/°C;±1%;1/10 (0.1);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PA0100_2512_51_RoHS_3.pdf
PA0201FRL070R01L;PA;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;0201 (0603);Paper tape;07 inch Dia. Reel;0.01;±150ppm/°C;±1%;1/20 (0.05);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PA0100_2512_51_RoHS_3.pdf
PA0201FRL0L0R005L;PA;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;0201 (0603);Paper tape;07 inch Dia. Reel;0.005;±150ppm/°C;±1%;3;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PA0100_2512_51_RoHS_3.pdf
PA0201FRL0L0R01L;PA;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;0201 (0603);Paper tape;07 inch Dia. Reel;0.01;±150ppm/°C;±1%;1;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PA0100_2512_51_RoHS_3.pdf
PA0201FRL470R005L;PA;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;0201 (0603);Paper tape;07 inch Dia. reel;0.005;±150ppm/°C;±1%;1/5 (0.2);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PA0100_2512_51_RoHS_3.pdf
PA0201FRL470R01L;PA;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;0201 (0603);Paper tape;07 inch Dia. reel;0.01;±150ppm/°C;±1%;1/5 (0.2);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PA0100_2512_51_RoHS_3.pdf
PA0201FRL470R02L;PA;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;0201 (0603);Paper tape;07 inch Dia. Reel;0.02;±150ppm/°C;±1%;1/5 (0.2);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PA0100_2512_51_RoHS_3.pdf
PA0201FRL7W0R005L;PA;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;0201 (0603);Paper tape;07 inch Dia. Reel;0.005;±150ppm/°C;±1%;1/10 (0.1);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PA0100_2512_51_RoHS_3.pdf
PA0201FRL7W0R01L;PA;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;0201 (0603);Paper tape;07 inch Dia. Reel;0.01;±150ppm/°C;±1%;1/10 (0.1);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PA0100_2512_51_RoHS_3.pdf
PA0402FRF4P0R01L;PA;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;0402 (1005);Paper tape;07 inch Dia. Reel;0.01;±100ppm/°C;±1%;3;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PA0100_2512_51_RoHS_3.pdf
PA0402FRF5P0R005L;PA;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;0402 (1005);Paper tape;07 inch Dia. Reel;0.005;±100ppm/°C;±1%;2;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PA0100_2512_51_RoHS_3.pdf
PA0402FRF5P0R02L;PA;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;0402 (1005);Paper tape;07 inch Dia. Reel;0.02;±100ppm/°C;±1%;3;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PA0100_2512_51_RoHS_3.pdf
PA0402FRF5P2U5L;PA;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;0402 (1005);Paper tape;07 inch Dia. Reel;0.0025;±100ppm/°C;±1%;2;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PA0100_2512_51_RoHS_3.pdf
PA0402FRI472U5L;PA;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;0402 (1005);Paper tape;07 inch Dia. Reel;0.0025;±300ppm/°C;±1%;1/4(0.25);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PA0100_2512_51_RoHS_3.pdf
PA0402FRJ472U5L;PA;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;0402 (1005);Paper tape;07 inch Dia. Reel;0.0025;±350ppm/°C;±1%;1/4 (0.25);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PA0100_2512_51_RoHS_3.pdf
PA0402FRL070R01L;PA;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;0402 (1005);Paper tape;07 inch Dia. Reel;0.01;±150ppm/°C;±1%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PA0100_2512_51_RoHS_3.pdf
PA0402FRL070R02L;PA;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;0402 (1005);Paper tape;07 inch Dia. Reel;0.02;±150ppm/°C;±1%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PA0100_2512_51_RoHS_3.pdf
PA0402FRL470R005L;PA;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;0402 (1005);Paper tape;07 inch Dia. Reel;0.005;±150ppm/°C;±1%;1/4 (0.25);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PA0100_2512_51_RoHS_3.pdf
PA0402FRL470R009L;PA;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;0402 (1005);Paper tape;07 inch Dia. Reel;0.009;±150ppm/°C;±1%;1/4 (0.25);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PA0100_2512_51_RoHS_3.pdf
PA0402FRL470R015L;PA;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;0402 (1005);Paper tape;07 inch Dia. Reel;0.015;±150ppm/°C;±1%;1/4 (0.25);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PA0100_2512_51_RoHS_3.pdf
PA0402FRL470R01L;PA;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;0402 (1005);Paper tape;07 inch Dia. Reel;0.01;±150ppm/°C;±1%;1/4 (0.25);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PA0100_2512_51_RoHS_3.pdf
PA0402FRL470R02L;PA;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;0402 (1005);Paper tape;07 inch Dia. Reel;0.02;±150ppm/°C;±1%;1/4 (0.25);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PA0100_2512_51_RoHS_3.pdf
PA0402FRL472U5L;PA;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;0402 (1005);Paper tape;07 inch Dia. Reel;0.0025;±150ppm/°C;±1%;1/4 (0.25);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PA0100_2512_51_RoHS_3.pdf
PA0402FRL570R003L;PA;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;0402 (1005);Paper tape;07 inch Dia. Reel;0.003;±150ppm/°C;±1%;1/3 (0.33);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PA0100_2512_51_RoHS_3.pdf
PA0402FRL570R005L;PA;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;0402 (1005);Paper tape;07 inch Dia. Reel;0.005;±150ppm/°C;±1%;1/3 (0.33);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PA0100_2512_51_RoHS_3.pdf
PA0402FRL570R006L;PA;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;0402 (1005);Paper tape;07 inch Dia. Reel;0.006;±150ppm/°C;±1%;5/16 (0.3125);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PA0100_2512_51_RoHS_3.pdf
