Part Number;Series;Series Description;Size;Packing;Packing Description;Resistance;TCR;Tolerance;Power(W);Datasheet
PA1206DRE7W0R02L;PA;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;1206 (3216);Paper tape;07 inch Dia. Reel;0.02;±50ppm/°C;±0.5%;1/2 (0.5);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PA1206_L_51_RoHS_2.pdf
PA1206DRM7W0R01L;PA;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;1206 (3216);Paper tape;07 inch Dia. Reel;0.01;±75ppm/°C;±0.5%;1/2 (0.5);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PA1206_L_51_RoHS_2.pdf
PA1206FRE070R002L;PA;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;1206 (3216);Paper tape;07 inch Dia. Reel;0.002;±50ppm/°C;±1%;1/4(0.25);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PA1206_L_51_RoHS_2.pdf
PA1206FRE470R02L;PA;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;1206 (3216);Paper tape;07 inch Dia. Reel;0.02;±50ppm/°C;±1%;1;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PA1206_L_51_RoHS_2.pdf
PA1206FRE470R035L;PA;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;1206 (3216);Paper tape;07 inch Dia. Reel;0.035;±50ppm/°C;±1%;1.5;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PA1206_L_51_RoHS_2.pdf
PA1206FRF070R015L;PA;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;1206 (3216);Paper tape;07 inch Dia. Reel;0.015;±100ppm/°C;±1%;1/4(0.25);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PA1206_L_51_RoHS_2.pdf
PA1206FRF070R03L;PA;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;1206 (3216);Paper tape;07 inch Dia. Reel;0.03;±100ppm/°C;±1%;1/4(0.25);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PA1206_L_51_RoHS_2.pdf
PA1206FRF070R05L;PA;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;1206 (3216);Paper tape;07 inch Dia. Reel;0.05;±100ppm/°C;±1%;1/4(0.25);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PA1206_L_51_RoHS_2.pdf
PA1206FRF470R012L;PA;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;1206 (3216);Paper tape;07 inch Dia. Reel;0.012;±100ppm/°C;±1%;1.5;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PA1206_L_51_RoHS_2.pdf
PA1206FRF470R022L;PA;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;1206 (3216);Paper tape;07 inch Dia. Reel;0.022;±100ppm/°C;±1%;1.5;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PA1206_L_51_RoHS_2.pdf
PA1206FRF670R003L;PA;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;1206 (3216);Paper tape;07 inch Dia. Reel;0.003;±100ppm/°C;±1%;1/4(0.25);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PA1206_L_51_RoHS_2.pdf
PA1206FRF7W0R015L;PA;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;1206 (3216);Paper tape;07 inch Dia. Reel;0.015;±100ppm/°C;±1%;1/2 (0.5);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PA1206_L_51_RoHS_2.pdf
PA1206FRF7W0R039L;PA;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;1206 (3216);Paper tape;07 inch Dia. Reel;0.039;±100ppm/°C;±1%;1/2 (0.5);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PA1206_L_51_RoHS_2.pdf
PA1206FRM070R001L;PA;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;1206 (3216);Paper tape;07 inch Dia. Reel;0.001;±75ppm/°C;±1%;;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PA1206_L_51_RoHS_2.pdf
PA1206FRM470R012L;PA;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;1206 (3216);Paper tape;07 inch Dia. Reel;0.012;±75ppm/°C;±1%;1;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PA1206_L_51_RoHS_2.pdf
PA1206FRM670R002L;PA;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;1206 (3216);Paper tape;07 inch Dia. Reel;0.002;±75ppm/°C;±1%;1.5;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PA1206_L_51_RoHS_2.pdf
