Part Number;Series;Series Description;Size;Packing;Packing Description;Resistance;TCR;Tolerance;Power(W);Datasheet
PA2512BKF7W0R01E;PA;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;2512 (6432);Embossed plastic tape;07 inch Dia. Reel;0.01;±100ppm/°C;±0.1%;2;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PA_E_51_RoHS_10.pdf
PA2512DKE7W0U5E;PA;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;2512 (6432);Embossed plastic tape;07 inch Dia. Reel;0.0005;±50ppm/°C;±0.5%;2;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PA_E_51_RoHS_10.pdf
PA2512DKF7W0R001E;PA;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;2512 (6432);Embossed plastic tape;07 inch Dia. Reel;0.001;±100ppm/°C;±0.5%;2;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PA_E_51_RoHS_10.pdf
PA2512DKF7W0R002E;PA;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;2512 (6432);Embossed plastic tape;07 inch Dia. Reel;0.002;±100ppm/°C;±0.5%;2;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PA_E_51_RoHS_10.pdf
PA2512DKF7W0R003E;PA;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;2512 (6432);Embossed plastic tape;07 inch Dia. Reel;0.003;±100ppm/°C;±0.5%;2;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PA_E_51_RoHS_10.pdf
PA2512DKF7W0R005E;PA;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;2512 (6432);Embossed plastic tape;07 inch Dia. Reel;0.005;±100ppm/°C;±0.5%;2;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PA_E_51_RoHS_10.pdf
PA2512DKM070R05E;PA;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;2512 (6432);Embossed plastic tape;07 inch Dia. Reel;0.05;±75ppm/°C;±0.5%;1;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PA_E_51_RoHS_10.pdf
PA2512DKM7T0R05E;PA;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;2512 (6432);Embossed plastic tape;07 inch Dia. Reel;0.05;±75ppm/°C;±0.5%;3;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PA_E_51_RoHS_10.pdf
PA2512DKM7W0R015E;PA;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;2512 (6432);Embossed plastic tape;07 inch Dia. Reel;0.015;±75ppm/°C;±0.5%;2;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PA_E_51_RoHS_10.pdf
PA2512DKM7W0R025E;PA;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;2512 (6432);Embossed plastic tape;07 inch Dia. Reel;0.025;±75ppm/°C;±0.5%;2;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PA_E_51_RoHS_10.pdf
