Part Number;Series;Series Description;Size;Packing;Packing Description;Resistance;TCR;Tolerance;Power(W);Datasheet
PE0612FKF070R018L;PE;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;0612;Embossed plastic tape;07 inch Dia. Reel;0.018;±100ppm/°C;±1%;1;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PE-wide_termination_2.pdf
PE0612FKF070R24L;PE;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;0612;Embossed plastic tape;07 inch Dia. reel;0.24;±100ppm/°C;±1%;2;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PE-wide_termination_2.pdf
PE0612FKF070R51L;PE;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;0612;Embossed plastic tape;07 inch Dia. reel;0.51;±100ppm/°C;±1%;2;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PE-wide_termination_2.pdf
PE0612FKF7W0R01L;PE;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;0612;Embossed plastic tape;8 inch Dia. reel;0.01;±100ppm/°C;±1%;2;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PE-wide_termination_2.pdf
PE0612FKM070R02L;PE;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;0612;Embossed plastic tape;07 inch Dia. reel;0.02;±75ppm/°C;±1%;2;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PE-wide_termination_2.pdf
PE0508FRE070R01L;PE Wide Terminal;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor, wide terminal;0508 (1220);Paper tape;07 inch Dia. Reel;0.01;±50ppm/°C;±1%;1;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PE-wide_termination_2.pdf
PE0508FRE070R1L;PE Wide Terminal;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor, wide terminal;0508 (1220);Paper tape;07 inch Dia. Reel;0.1;±50ppm/°C;±1%;1;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PE-wide_termination_2.pdf
PE0508FRF070R005L;PE Wide Terminal;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor, wide terminal;0508 (1220);Paper tape;07 inch Dia. reel;0.005;±100ppm/°C;±1%;1;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PE-wide_termination_2.pdf
PE0508FRF070R01L;PE Wide Terminal;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor, wide terminal;0508 (1220);Paper tape;07 inch Dia. reel;0.01;±100ppm/°C;±1%;1;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PE-wide_termination_2.pdf
PE0612DKF070R01L;PE Wide Terminal;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor, wide terminal;0612 (1632);Embossed plastic tape;07 inch Dia. Reel;0.01;±100ppm/°C;±0.5%;1;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PE-wide_termination_2.pdf
