Part Number;Series;Series Description;Size;Packing;Packing Description;Resistance;TCR;Tolerance;Power(W);Datasheet
PE0100-R-070RL;PE;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;0100 (0402);Paper tape;07 inch Dia. Reel;0.0;Based on Spec;Jumper;;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PE_521_RoHS_L_12.pdf
PE0100FR-070R01L;PE;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;0100 (0402);Paper tape;07 inch Dia. Reel;0.01;Based on Spec;±1%;1/32 (0.03);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PE_521_RoHS_L_12.pdf
PE0100FR-070R02L;PE;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;0100 (0402);Paper tape;07 inch Dia. Reel;0.02;Based on Spec;±1%;1/32 (0.03);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PE_521_RoHS_L_12.pdf
PE0100FR-070R05L;PE;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;0100 (0402);Paper tape;07 inch Dia. Reel;0.05;Based on Spec;±1%;1/32 (0.03);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PE_521_RoHS_L_12.pdf
PE0100FRG070R1L;PE;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;0100 (0402);Paper tape;07 inch Dia. reel;0.1;±200ppm/°C;±1%;1/32 (0.03);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PE_521_RoHS_L_12.pdf
PE0100FRG071RL;PE;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;0100 (0402);Paper tape;07 inch Dia. Reel;1.0;±200ppm/°C;±1%;1/32 (0.03);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PE_521_RoHS_L_12.pdf
PE0100JRG070R3L;PE;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;0100 (0402);Paper tape;07 inch Dia. Reel;0.3;±200ppm/°C;±5%;1/32 (0.03);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PE_521_RoHS_L_12.pdf
PE0201DRF7W0R2L;PE;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;0201 (0603);Paper tape;07 inch Dia. Reel;0.2;±100ppm/°C;±0.5%;1/10 (0.1);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PE_521_RoHS_L_12.pdf
PE0201FRF070R075L;PE;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;0201 (0603);Paper tape;07 inch Dia. reel;0.075;±100ppm/°C;±1%;1/20 (0.05);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PE_521_RoHS_L_12.pdf
PE0201FRF070R15L;PE;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;0201 (0603);Paper tape;07 inch Dia. reel;0.15;±100ppm/°C;±1%;1/20 (0.05);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PE_521_RoHS_L_12.pdf
PE0201FRF070R1L;PE;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;0201 (0603);Paper tape;07 inch Dia. reel;0.1;±100ppm/°C;±1%;1/20 (0.05);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PE_521_RoHS_L_12.pdf
PE0201FRF070R2L;PE;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;0201 (0603);Paper tape;07 inch Dia. reel;0.2;±100ppm/°C;±1%;1/20 (0.05);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PE_521_RoHS_L_12.pdf
PE0201FRF7W0R05L;PE;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;0201 (0603);Paper tape;07 inch Dia. Reel;0.05;±100ppm/°C;±1%;1/10 (0.1);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PE_521_RoHS_L_12.pdf
PE0201FRF7W0R075L;PE;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;0201 (0603);Paper tape;07 inch Dia. Reel;0.075;±100ppm/°C;±1%;1/10 (0.1);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PE_521_RoHS_L_12.pdf
PE0201FRF7W0R15L;PE;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;0201 (0603);Paper tape;07 inch Dia. reel;0.15;±100ppm/°C;±1%;1/10 (0.1);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PE_521_RoHS_L_12.pdf
PE0201FRF7W0R1L;PE;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;0201 (0603);Paper tape;07 inch Dia. reel;0.1;±100ppm/°C;±1%;1/10 (0.1);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PE_521_RoHS_L_12.pdf
PE0201FRF7W0R2L;PE;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;0201 (0603);Paper tape;07 inch Dia. reel;0.2;±100ppm/°C;±1%;1/10 (0.1);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PE_521_RoHS_L_12.pdf
PE0201FRF7W0R33L;PE;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;0201 (0603);Paper tape;07 inch Dia. Reel;0.33;±100ppm/°C;±1%;1/10 (0.1);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PE_521_RoHS_L_12.pdf
PE0201FRF7W0R3L;PE;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;0201 (0603);Paper tape;07 inch Dia. Reel;0.3;±100ppm/°C;±1%;1/10 (0.1);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PE_521_RoHS_L_12.pdf
PE0201FRF7W0R51L;PE;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;0201 (0603);Paper tape;07 inch Dia. Reel;0.51;±100ppm/°C;±1%;1/10 (0.1);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PE_521_RoHS_L_12.pdf
PE0201FRF7W0R5L;PE;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;0201 (0603);Paper tape;07 inch Dia. Reel;0.5;±100ppm/°C;±1%;1/10 (0.1);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PE_521_RoHS_L_12.pdf
PE0201FRF7W0R75L;PE;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;0201 (0603);Paper tape;07 inch Dia. reel;0.75;±100ppm/°C;±1%;1/10 (0.1);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PE_521_RoHS_L_12.pdf
PE0201FRJ070R051L;PE;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;0201 (0603);Paper tape;07 inch Dia. reel;0.051;±350ppm/°C;±1%;1/20 (0.05);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PE_521_RoHS_L_12.pdf
PE0201FRJ070R05L;PE;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;0201 (0603);Paper tape;07 inch Dia. reel;0.05;±350ppm/°C;±1%;1/20 (0.05);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PE_521_RoHS_L_12.pdf
PE0201FRJ7W0R02L;PE;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;0201 (0603);Paper tape;07 inch Dia. Reel;0.02;±350ppm/°C;±1%;1/10 (0.1);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PE_521_RoHS_L_12.pdf
PE0201FRJ7W0R05L;PE;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;0201 (0603);Paper tape;07 inch Dia. reel;0.05;±350ppm/°C;±1%;1/10 (0.1);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PE_521_RoHS_L_12.pdf
PE0201FRJ7W0R068L;PE;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;0201 (0603);Paper tape;07 inch Dia. Reel;0.068;±350ppm/°C;±1%;1/10 (0.1);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PE_521_RoHS_L_12.pdf
PE0201JRF070R075L;PE;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;0201 (0603);Paper tape;07 inch Dia. reel;0.075;±100ppm/°C;±5%;1/20 (0.05);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PE_521_RoHS_L_12.pdf
PE0201JRF070R15L;PE;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;0201 (0603);Paper tape;07 inch Dia. reel;0.15;±100ppm/°C;±5%;1/20 (0.05);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PE_521_RoHS_L_12.pdf
PE0201JRF070R1L;PE;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;0201 (0603);Paper tape;07 inch Dia. reel;0.1;±100ppm/°C;±5%;1/20 (0.05);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PE_521_RoHS_L_12.pdf
PE0201JRF070R2L;PE;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;0201 (0603);Paper tape;07 inch Dia. reel;0.2;±100ppm/°C;±5%;1/20 (0.05);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PE_521_RoHS_L_12.pdf
PE0201JRF7W0R15L;PE;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;0201 (0603);Paper tape;07 inch Dia. reel;0.15;±100ppm/°C;±5%;1/10 (0.1);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PE_521_RoHS_L_12.pdf
PE0201JRF7W0R1L;PE;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;0201 (0603);Paper tape;07 inch Dia. reel;0.1;±100ppm/°C;±5%;1/10 (0.1);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PE_521_RoHS_L_12.pdf
PE0201JRF7W0R2L;PE;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;0201 (0603);Paper tape;07 inch Dia. reel;0.2;±100ppm/°C;±5%;1/10 (0.1);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PE_521_RoHS_L_12.pdf
PE0201JRF7W0R75L;PE;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;0201 (0603);Paper tape;07 inch Dia. reel;0.75;±100ppm/°C;±5%;1/10 (0.1);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PE_521_RoHS_L_12.pdf
PE0201JRJ070R05L;PE;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;0201 (0603);Paper tape;07 inch Dia. reel;0.05;±350ppm/°C;±5%;1/20 (0.05);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PE_521_RoHS_L_12.pdf
PE0201JRJ7W0R05L;PE;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;0201 (0603);Paper tape;07 inch Dia. reel;0.05;±350ppm/°C;±5%;1/10 (0.1);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PE_521_RoHS_L_12.pdf
PE0402DRF7T0R082L;PE;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;0402 (1005);Paper tape;07 inch Dia. reel;0.082;±100ppm/°C;±0.5%;1/6 (0.167);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PE_521_RoHS_L_12.pdf
PE0402FRE070R01L;PE;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;0402 (1005);Paper tape;07 inch Dia. reel;0.01;±50ppm/°C;±1%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PE_521_RoHS_L_12.pdf
PE0402FRE470R01L;PE;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;0402 (1005);Paper tape;07 inch Dia. reel;0.01;±50ppm/°C;±1%;1/4 (0.25);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PE_521_RoHS_L_12.pdf
PE0402FRE7W0R01L;PE;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;0402 (1005);Paper tape;07 inch Dia. reel;0.01;±50ppm/°C;±1%;1/8 (0.125);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PE_521_RoHS_L_12.pdf
PE0402FRF070R015L;PE;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;0402 (1005);Paper tape;07 inch Dia. reel;0.015;±100ppm/°C;±1%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PE_521_RoHS_L_12.pdf
PE0402FRF070R016L;PE;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;0402 (1005);Paper tape;07 inch Dia. reel;0.016;±100ppm/°C;±1%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PE_521_RoHS_L_12.pdf
PE0402FRF070R018L;PE;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;0402 (1005);Paper tape;07 inch Dia. reel;0.018;±100ppm/°C;±1%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PE_521_RoHS_L_12.pdf
PE0402FRF070R01L;PE;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;0402 (1005);Paper tape;07 inch Dia. reel;0.01;±100ppm/°C;±1%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PE_521_RoHS_L_12.pdf
PE0402FRF070R022L;PE;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;0402 (1005);Paper tape;07 inch Dia. reel;0.022;±100ppm/°C;±1%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PE_521_RoHS_L_12.pdf
PE0402FRF070R025L;PE;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;0402 (1005);Paper tape;07 inch Dia. reel;0.025;±100ppm/°C;±1%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PE_521_RoHS_L_12.pdf
PE0402FRF070R02L;PE;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;0402 (1005);Paper tape;07 inch Dia. reel;0.02;±100ppm/°C;±1%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PE_521_RoHS_L_12.pdf
PE0402FRF070R033L;PE;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;0402 (1005);Paper tape;07 inch Dia. reel;0.033;±100ppm/°C;±1%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PE_521_RoHS_L_12.pdf
PE0402FRF070R051L;PE;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;0402 (1005);Paper tape;07 inch Dia. reel;0.051;±100ppm/°C;±1%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PE_521_RoHS_L_12.pdf
PE0402FRF070R05L;PE;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;0402 (1005);Paper tape;07 inch Dia. reel;0.05;±100ppm/°C;±1%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PE_521_RoHS_L_12.pdf
PE0402FRF070R1L;PE;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;0402 (1005);Paper tape;07 inch Dia. reel;0.1;±100ppm/°C;±1%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PE_521_RoHS_L_12.pdf
PE0402FRF070R3L;PE;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;0402 (1005);Paper tape;07 inch Dia. Reel;0.3;±100ppm/°C;±1%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PE_521_RoHS_L_12.pdf
PE0402FRF070R51L;PE;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;0402 (1005);Paper tape;07 inch Dia. Reel;0.51;±100ppm/°C;±1%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PE_521_RoHS_L_12.pdf
PE0402FRF070R5L;PE;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;0402 (1005);Paper tape;07 inch Dia. Reel;0.5;±100ppm/°C;±1%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PE_521_RoHS_L_12.pdf
PE0402FRF470R015L;PE;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;0402 (1005);Paper tape;07 inch Dia. reel;0.015;±100ppm/°C;±1%;1/4 (0.25);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PE_521_RoHS_L_12.pdf
PE0402FRF470R016L;PE;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;0402 (1005);Paper tape;07 inch Dia. reel;0.016;±100ppm/°C;±1%;1/4 (0.25);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PE_521_RoHS_L_12.pdf
PE0402FRF470R018L;PE;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;0402 (1005);Paper tape;07 inch Dia. reel;0.018;±100ppm/°C;±1%;1/4 (0.25);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PE_521_RoHS_L_12.pdf
PE0402FRF470R019L;PE;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;0402 (1005);Paper tape;07 inch Dia. reel;0.019;±100ppm/°C;±1%;1/4 (0.25);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PE_521_RoHS_L_12.pdf
PE0402FRF470R01L;PE;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;0402 (1005);Paper tape;07 inch Dia. reel;0.01;±100ppm/°C;±1%;1/4 (0.25);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PE_521_RoHS_L_12.pdf
PE0402FRF470R021L;PE;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;0402 (1005);Paper tape;07 inch Dia. reel;0.021;±100ppm/°C;±1%;1/4 (0.25);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PE_521_RoHS_L_12.pdf
PE0402FRF470R022L;PE;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;0402 (1005);Paper tape;07 inch Dia. reel;0.022;±100ppm/°C;±1%;1/4 (0.25);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PE_521_RoHS_L_12.pdf
PE0402FRF470R025L;PE;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;0402 (1005);Paper tape;07 inch Dia. reel;0.025;±100ppm/°C;±1%;1/4 (0.25);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PE_521_RoHS_L_12.pdf
PE0402FRF470R02L;PE;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;0402 (1005);Paper tape;07 inch Dia. reel;0.02;±100ppm/°C;±1%;1/4 (0.25);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PE_521_RoHS_L_12.pdf
