Part Number;Series;Series Description;Size;Packing;Packing Description;Resistance;TCR;Tolerance;Power(W);Datasheet
PS0306BRF7T0R01L;PS;Metal Current Sensor - Low TCR Chip Resistor, wide terminal;0306 (0816);Paper tape;07 inch Dia. Reel;0.01;±100ppm/°C;±0.1%;1/2 (0.5);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PS_51_RoHS_3.pdf
PS0306BRF7T0R02L;PS;Metal Current Sensor - Low TCR Chip Resistor, wide terminal;0306 (0816);Paper tape;07 inch Dia. Reel;0.02;±100ppm/°C;±0.1%;1/2 (0.5);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PS_51_RoHS_3.pdf
PS0306BRF7T0R1L;PS;Metal Current Sensor - Low TCR Chip Resistor, wide terminal;0306 (0816);Paper tape;07 inch Dia. Reel;0.1;±100ppm/°C;±0.1%;1/2 (0.5);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PS_51_RoHS_3.pdf
PS0306DRF7T0R01L;PS;Metal Current Sensor - Low TCR Chip Resistor, wide terminal;0306 (0816);Paper tape;07 inch Dia. reel;0.01;±100ppm/°C;±0.5%;1/2 (0.5);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PS_51_RoHS_3.pdf
PS0306DRM7T0R01L;PS;Metal Current Sensor - Low TCR Chip Resistor, wide terminal;0306 (0816);Paper tape;07 inch Dia. Reel;0.01;±75ppm/°C;±0.5%;1/2 (0.5);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PS_51_RoHS_3.pdf
PS0306FRF070R005L;PS;Metal Current Sensor - Low TCR Chip Resistor, wide terminal;0306 (0816);Paper tape;07 inch Dia. reel;0.005;±100ppm/°C;±1%;1/4 (0.25);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PS_51_RoHS_3.pdf
PS0306FRF070R014L;PS;Metal Current Sensor - Low TCR Chip Resistor, wide terminal;0306 (0816);Paper tape;07 inch Dia. Reel;0.014;±100ppm/°C;±1%;1/4 (0.25);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PS_51_RoHS_3.pdf
PS0306FRF070R015L;PS;Metal Current Sensor - Low TCR Chip Resistor, wide terminal;0306 (0816);Paper tape;07 inch Dia. Reel;0.015;±100ppm/°C;±1%;1/4 (0.25);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PS_51_RoHS_3.pdf
PS0306FRF070R01L;PS;Metal Current Sensor - Low TCR Chip Resistor, wide terminal;0306 (0816);Paper tape;07 inch Dia. reel;0.01;±100ppm/°C;±1%;1/4 (0.25);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PS_51_RoHS_3.pdf
PS0306FRF070R028L;PS;Metal Current Sensor - Low TCR Chip Resistor, wide terminal;0306 (0816);Paper tape;07 inch Dia. Reel;0.028;±100ppm/°C;±1%;1/4 (0.25);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PS_51_RoHS_3.pdf
