Part Number;Series;Series Description;Size;Packing;Packing Description;Resistance;TCR;Tolerance;Power(W);Datasheet
PT0402-R-070RL;PT;Current Sensor- Thick Film Low Ohmic, Low TCR;0402;Paper tape;07 inch Dia. reel;0.0;Based on Spec;;1/16;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PT-Group_521_RoHS_L_3.pdf
PT0402FR-070R051L;PT;Current Sensor- Thick Film Low Ohmic, Low TCR;0402 (1005);Paper tape;07 inch Dia. reel;0.051;Based on Spec;±1%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PT-Group_521_RoHS_L_3.pdf
PT0402FR-070R056L;PT;Current Sensor- Thick Film Low Ohmic, Low TCR;0402 (1005);Paper tape;07 inch Dia. reel;0.056;Based on Spec;±1%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PT-Group_521_RoHS_L_3.pdf
PT0402FR-070R062L;PT;Current Sensor- Thick Film Low Ohmic, Low TCR;0402 (1005);Paper tape;07 inch Dia. reel;0.062;Based on Spec;±1%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PT-Group_521_RoHS_L_3.pdf
PT0402FR-070R068L;PT;Current Sensor- Thick Film Low Ohmic, Low TCR;0402 (1005);Paper tape;07 inch Dia. reel;0.068;Based on Spec;±1%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PT-Group_521_RoHS_L_3.pdf
PT0402FR-070R075L;PT;Current Sensor- Thick Film Low Ohmic, Low TCR;0402 (1005);Paper tape;07 inch Dia. reel;0.075;Based on Spec;±1%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PT-Group_521_RoHS_L_3.pdf
PT0402FR-070R082L;PT;Current Sensor- Thick Film Low Ohmic, Low TCR;0402 (1005);Paper tape;07 inch Dia. reel;0.082;Based on Spec;±1%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PT-Group_521_RoHS_L_3.pdf
PT0402FR-070R091L;PT;Current Sensor- Thick Film Low Ohmic, Low TCR;0402 (1005);Paper tape;07 inch Dia. reel;0.091;Based on Spec;±1%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PT-Group_521_RoHS_L_3.pdf
PT0402FR-070R11L;PT;Current Sensor- Thick Film Low Ohmic, Low TCR;0402 (1005);Paper tape;07 inch Dia. reel;0.11;Based on Spec;±1%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PT-Group_521_RoHS_L_3.pdf
PT0402FR-070R12L;PT;Current Sensor- Thick Film Low Ohmic, Low TCR;0402 (1005);Paper tape;07 inch Dia. reel;0.12;Based on Spec;±1%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PT-Group_521_RoHS_L_3.pdf
