Part Number;Series;Series Description;Size;Packing;Packing Description;Resistance;TCR;Tolerance;Power(W);Datasheet
PU2512FKGP60U3L;PU;Automotive Grade Power Shunt Metal Current Resistor;2512 (6432);Embossed plastic tape;07 inch Dia. reel;0.0003;±200ppm/°C;±1%;6;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PU_51_RoHS_L_10.pdf
PU2512FKGP60U5L;PU;Automotive Grade Power Shunt Metal Current Resistor;2512 (6432);Embossed plastic tape;07 inch Dia. reel;0.0005;±200ppm/°C;±1%;6;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PU_51_RoHS_L_10.pdf
PU2512FKM130R003L;PU;Automotive Grade Power Shunt Metal Current Resistor;2512 (6432);Embossed plastic tape;13 inch Dia. reel;0.003;±75ppm/°C;±1%;4;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PU_51_RoHS_L_10.pdf
PU2512FKM130R004L;PU;Automotive Grade Power Shunt Metal Current Resistor;2512 (6432);Embossed plastic tape;13 inch Dia. reel;0.004;±75ppm/°C;±1%;4;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PU_51_RoHS_L_10.pdf
PU2512FKM130R005L;PU;Automotive Grade Power Shunt Metal Current Resistor;2512 (6432);Embossed plastic tape;13 inch Dia. reel;0.005;±75ppm/°C;±1%;4;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PU_51_RoHS_L_10.pdf
PU2512FKMP50R002L;PU;Automotive Grade Power Shunt Metal Current Resistor;2512 (6432);Embossed plastic tape;07 inch Dia. reel;0.002;±75ppm/°C;±1%;5;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PU_51_RoHS_L_10.pdf
PU2512FKNP50R001L;PU;Automotive Grade Power Shunt Metal Current Resistor;2512 (6432);Embossed plastic tape;07 inch Dia. Reel;0.001;±175ppm/°C;±1%;5;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PU_51_RoHS_L_10.pdf
PU2512JKGP60U3L;PU;Automotive Grade Power Shunt Metal Current Resistor;2512 (6432);Embossed plastic tape;07 inch Dia. Reel;0.0003;±200ppm/°C;±5%;6;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PU_51_RoHS_L_10.pdf
PU2512JKGP60U5L;PU;Automotive Grade Power Shunt Metal Current Resistor;2512 (6432);Embossed plastic tape;07 inch Dia. Reel;0.0005;±200ppm/°C;±5%;6;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PU_51_RoHS_L_10.pdf
PU2512JKM130R003L;PU;Automotive Grade Power Shunt Metal Current Resistor;2512 (6432);Embossed plastic tape;13 inch Dia. Reel;0.003;±75ppm/°C;±5%;4;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PU_51_RoHS_L_10.pdf
PU2512JKM130R004L;PU;Automotive Grade Power Shunt Metal Current Resistor;2512 (6432);Embossed plastic tape;13 inch Dia. Reel;0.004;±75ppm/°C;±5%;4;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PU_51_RoHS_L_10.pdf
PU2512JKM130R005L;PU;Automotive Grade Power Shunt Metal Current Resistor;2512 (6432);Embossed plastic tape;13 inch Dia. Reel;0.005;±75ppm/°C;±5%;4;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PU_51_RoHS_L_10.pdf
PU2512JKMP50R002L;PU;Automotive Grade Power Shunt Metal Current Resistor;2512 (6432);Embossed plastic tape;07 inch Dia. Reel;0.002;±75ppm/°C;±5%;5;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PU_51_RoHS_L_10.pdf
PU2512JKNP50R001L;PU;Automotive Grade Power Shunt Metal Current Resistor;2512 (6432);Embossed plastic tape;07 inch Dia. Reel;0.001;±175ppm/°C;±5%;5;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PU_51_RoHS_L_10.pdf
PU3921FKM130R001L;PU;Automotive Grade Power Shunt Metal Current Resistor;3921 (10052);Embossed plastic tape;13 inch Dia. reel;0.001;±75ppm/°C;±1%;3;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PU_51_RoHS_L_10.pdf
PU3921FKM130R002L;PU;Automotive Grade Power Shunt Metal Current Resistor;3921 (10052);Embossed plastic tape;13 inch Dia. reel;0.002;±75ppm/°C;±1%;3;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PU_51_RoHS_L_10.pdf
PU3921FKM130R003L;PU;Automotive Grade Power Shunt Metal Current Resistor;3921 (10052);Embossed plastic tape;13 inch Dia. reel;0.003;±75ppm/°C;±1%;3;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PU_51_RoHS_L_10.pdf
PU3921FKM130R004L;PU;Automotive Grade Power Shunt Metal Current Resistor;3921 (10052);Embossed plastic tape;13 inch Dia. reel;0.004;±75ppm/°C;±1%;3;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PU_51_RoHS_L_10.pdf
PU3921FKM130U5L;PU;Automotive Grade Power Shunt Metal Current Resistor;3921 (10052);Embossed plastic tape;13 inch Dia. reel;0.0005;±75ppm/°C;±1%;3;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PU_51_RoHS_L_10.pdf
PU3921FKMP50R001L;PU;Automotive Grade Power Shunt Metal Current Resistor;3921 (10052);Embossed plastic tape;07 inch Dia. reel;0.001;±75ppm/°C;±1%;5;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PU_51_RoHS_L_10.pdf
PU3921FKMP50R002L;PU;Automotive Grade Power Shunt Metal Current Resistor;3921 (10052);Embossed plastic tape;07 inch Dia. reel;0.002;±75ppm/°C;±1%;5;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PU_51_RoHS_L_10.pdf
PU3921FKMP50R003L;PU;Automotive Grade Power Shunt Metal Current Resistor;3921 (10052);Embossed plastic tape;07 inch Dia. reel;0.003;±75ppm/°C;±1%;5;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PU_51_RoHS_L_10.pdf
PU3921FKMP50R004L;PU;Automotive Grade Power Shunt Metal Current Resistor;3921 (10052);Embossed plastic tape;07 inch Dia. reel;0.004;±75ppm/°C;±1%;5;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PU_51_RoHS_L_10.pdf
PU3921FKMP90R001L;PU;Automotive Grade Power Shunt Metal Current Resistor;3921 (10052);Embossed plastic tape;07 inch Dia. reel;0.001;±75ppm/°C;±1%;9;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-PU_51_RoHS_L_10.pdf
