Part Number;Series;Series Description;Size;Packing;Packing Description;Resistance;TCR;Tolerance;Power(W);Datasheet
RC0075FR-07200RP;RC_P;Lead-Free Thick Film Chip Resistor;0075 (03015);Paper tape;07 inch Dia. Reel;200.0;Based on Spec;±1%;1/50 (0.02);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_51_RoHS_P_5.pdf
RC0075JR-070RP;RC_P;Lead-Free Thick Film Chip Resistor;0075 (03015);Paper tape;07 inch Dia. Reel;0.0;Based on Spec;±5%;1/50 (0.02);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_51_RoHS_P_5.pdf
RC0075JR-07100KP;RC_P;Lead-Free Thick Film Chip Resistor;0075 (03015);Paper tape;07 inch Dia. Reel;100000.0;Based on Spec;±5%;1/50 (0.02);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_51_RoHS_P_5.pdf
RC0075JR-074K7P;RC_P;Lead-Free Thick Film Chip Resistor;0075 (03015);Paper tape;07 inch Dia. Reel;1700.0;Based on Spec;±5%;1/50 (0.02);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_51_RoHS_P_5.pdf
RC0100BR-07100RP;RC_P;Lead-Free Thick Film Chip Resistor;0100 (0402);Paper tape;07 inch Dia. Reel;100.0;Based on Spec;±0.1%;1/32 (0.03);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_51_RoHS_P_5.pdf
RC0100BR-07105KP;RC_P;Lead-Free Thick Film Chip Resistor;0100 (0402);Paper tape;07 inch Dia. Reel;105000.0;Based on Spec;±0.1%;1/32 (0.03);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_51_RoHS_P_5.pdf
RC0100BR-07196KP;RC_P;Lead-Free Thick Film Chip Resistor;0100 (0402);Paper tape;07 inch Dia. Reel;196000.0;Based on Spec;±0.1%;1/32 (0.03);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_51_RoHS_P_5.pdf
RC0100BR-071MP;RC_P;Lead-Free Thick Film Chip Resistor;0100 (0402);Paper tape;07 inch Dia. Reel;1000000.0;Based on Spec;±0.1%;1/32 (0.03);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_51_RoHS_P_5.pdf
RC0100BR-07200RP;RC_P;Lead-Free Thick Film Chip Resistor;0100 (0402);Paper tape;07 inch Dia. reel;200.0;Based on Spec;±0.1%;1/32 (0.03);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_51_RoHS_P_5.pdf
RC0100BR-07240KP;RC_P;Lead-Free Thick Film Chip Resistor;0100 (0402);Paper tape;07 inch Dia. Reel;240000.0;Based on Spec;±0.1%;1/32 (0.03);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_51_RoHS_P_5.pdf
