Part Number;Series;Series Description;Size;Packing;Packing Description;Resistance;TCR;Tolerance;Power(W);Datasheet
RE0201BRE07100KL;RE;Thick Film Precision Grade Chip Resistor;0201 (0603);Paper tape;07 inch Dia. reel;100000.0;±50ppm/°C;±0.1%;1/20 (0.05);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RE_105_RoHS_L_7.pdf
RE0201BRE07100RL;RE;Thick Film Precision Grade Chip Resistor;0201 (0603);Paper tape;07 inch Dia. Reel;100.0;±50ppm/°C;±0.1%;1/20 (0.05);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RE_105_RoHS_L_7.pdf
RE0201BRE07102KL;RE;Thick Film Precision Grade Chip Resistor;0201 (0603);Paper tape;07 inch Dia. Reel;102000.0;±50ppm/°C;±0.1%;1/20 (0.05);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RE_105_RoHS_L_7.pdf
RE0201BRE07105KL;RE;Thick Film Precision Grade Chip Resistor;0201 (0603);Paper tape;07 inch Dia. Reel;105000.0;±50ppm/°C;±0.1%;1/20 (0.05);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RE_105_RoHS_L_7.pdf
RE0201BRE07107KL;RE;Thick Film Precision Grade Chip Resistor;0201 (0603);Paper tape;07 inch Dia. Reel;107000.0;±50ppm/°C;±0.1%;1/20 (0.05);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RE_105_RoHS_L_7.pdf
RE0201BRE0710K2L;RE;Thick Film Precision Grade Chip Resistor;0201 (0603);Paper tape;07 inch Dia. Reel;10200.0;±50ppm/°C;±0.1%;1/20 (0.05);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RE_105_RoHS_L_7.pdf
RE0201BRE0710K5L;RE;Thick Film Precision Grade Chip Resistor;0201 (0603);Paper tape;07 inch Dia. Reel;10500.0;±50ppm/°C;±0.1%;1/20 (0.05);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RE_105_RoHS_L_7.pdf
RE0201BRE0710KL;RE;Thick Film Precision Grade Chip Resistor;0201 (0603);Paper tape;07 inch Dia. Reel;10000.0;±50ppm/°C;±0.1%;1/20 (0.05);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RE_105_RoHS_L_7.pdf
RE0201BRE07113KL;RE;Thick Film Precision Grade Chip Resistor;0201 (0603);Paper tape;07 inch Dia. Reel;113000.0;±50ppm/°C;±0.1%;1/20 (0.05);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RE_105_RoHS_L_7.pdf
RE0201BRE07115KL;RE;Thick Film Precision Grade Chip Resistor;0201 (0603);Paper tape;07 inch Dia. Reel;115000.0;±50ppm/°C;±0.1%;1/20 (0.05);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RE_105_RoHS_L_7.pdf
