Part Number;Series;Series Description;Size;Packing;Packing Description;Resistance;TCR;Tolerance;Power(W);Datasheet
RE0201BRE07100KP;RE_P;Lead-Free Thick Film Chip Resistor;0201 (0603);Paper tape;07 inch Dia. Reel;100000.0;±50ppm/°C;±0.1%;1/20 (0.05);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RE_105_RoHS_P_3.pdf
RE0201BRE07102KP;RE_P;Lead-Free Thick Film Chip Resistor;0201 (0603);Paper tape;07 inch Dia. Reel;102000.0;±50ppm/°C;±0.1%;1/20 (0.05);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RE_105_RoHS_P_3.pdf
RE0201BRE07105KP;RE_P;Lead-Free Thick Film Chip Resistor;0201 (0603);Paper tape;07 inch Dia. Reel;105000.0;±50ppm/°C;±0.1%;1/20 (0.05);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RE_105_RoHS_P_3.pdf
RE0201BRE07107KP;RE_P;Lead-Free Thick Film Chip Resistor;0201 (0603);Paper tape;07 inch Dia. Reel;107000.0;±50ppm/°C;±0.1%;1/20 (0.05);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RE_105_RoHS_P_3.pdf
RE0201BRE0710K5P;RE_P;Lead-Free Thick Film Chip Resistor;0201 (0603);Paper tape;07 inch Dia. Reel;10500.0;±50ppm/°C;±0.1%;1/20 (0.05);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RE_105_RoHS_P_3.pdf
RE0201BRE0710KP;RE_P;Lead-Free Thick Film Chip Resistor;0201 (0603);Paper tape;07 inch Dia. Reel;10000.0;±50ppm/°C;±0.1%;1/20 (0.05);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RE_105_RoHS_P_3.pdf
RE0201BRE07113KP;RE_P;Lead-Free Thick Film Chip Resistor;0201 (0603);Paper tape;07 inch Dia. reel;113000.0;±50ppm/°C;±0.1%;1/20 (0.05);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RE_105_RoHS_P_3.pdf
RE0201BRE07115KP;RE_P;Lead-Free Thick Film Chip Resistor;0201 (0603);Paper tape;07 inch Dia. Reel;115000.0;±50ppm/°C;±0.1%;1/20 (0.05);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RE_105_RoHS_P_3.pdf
RE0201BRE07120KP;RE_P;Lead-Free Thick Film Chip Resistor;0201 (0603);Paper tape;07 inch Dia. Reel;120000.0;±50ppm/°C;±0.1%;1/20 (0.05);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RE_105_RoHS_P_3.pdf
RE0201BRE07121KP;RE_P;Lead-Free Thick Film Chip Resistor;0201 (0603);Paper tape;07 inch Dia. Reel;121000.0;±50ppm/°C;±0.1%;1/20 (0.05);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RE_105_RoHS_P_3.pdf
RE0201BRE07127KP;RE_P;Lead-Free Thick Film Chip Resistor;0201 (0603);Paper tape;07 inch Dia. reel;127000.0;±50ppm/°C;±0.1%;1/20 (0.05);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RE_105_RoHS_P_3.pdf
RE0201BRE0712K6P;RE_P;Lead-Free Thick Film Chip Resistor;0201 (0603);Paper tape;07 inch Dia. Reel;12600.0;±50ppm/°C;±0.1%;1/20 (0.05);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RE_105_RoHS_P_3.pdf
RE0201BRE0712K7P;RE_P;Lead-Free Thick Film Chip Resistor;0201 (0603);Paper tape;07 inch Dia. Reel;12700.0;±50ppm/°C;±0.1%;1/20 (0.05);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RE_105_RoHS_P_3.pdf
RE0201BRE07130KP;RE_P;Lead-Free Thick Film Chip Resistor;0201 (0603);Paper tape;07 inch Dia. Reel;130000.0;±50ppm/°C;±0.1%;1/20 (0.05);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RE_105_RoHS_P_3.pdf
RE0201BRE07140KP;RE_P;Lead-Free Thick Film Chip Resistor;0201 (0603);Paper tape;07 inch Dia. Reel;140000.0;±50ppm/°C;±0.1%;1/20 (0.05);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RE_105_RoHS_P_3.pdf
RE0201BRE07147KP;RE_P;Lead-Free Thick Film Chip Resistor;0201 (0603);Paper tape;07 inch Dia. Reel;147000.0;±50ppm/°C;±0.1%;1/20 (0.05);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RE_105_RoHS_P_3.pdf
RE0201BRE0714K3P;RE_P;Lead-Free Thick Film Chip Resistor;0201 (0603);Paper tape;07 inch Dia. Reel;14300.0;±50ppm/°C;±0.1%;1/20 (0.05);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RE_105_RoHS_P_3.pdf
RE0201BRE07150KP;RE_P;Lead-Free Thick Film Chip Resistor;0201 (0603);Paper tape;07 inch Dia. Reel;150000.0;±50ppm/°C;±0.1%;1/20 (0.05);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RE_105_RoHS_P_3.pdf
RE0201BRE07158KP;RE_P;Lead-Free Thick Film Chip Resistor;0201 (0603);Paper tape;07 inch Dia. Reel;158000.0;±50ppm/°C;±0.1%;1/20 (0.05);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RE_105_RoHS_P_3.pdf
RE0201BRE0715KP;RE_P;Lead-Free Thick Film Chip Resistor;0201 (0603);Paper tape;07 inch Dia. reel;15000.0;±50ppm/°C;±0.1%;1/20 (0.05);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RE_105_RoHS_P_3.pdf
RE0201BRE07162KP;RE_P;Lead-Free Thick Film Chip Resistor;0201 (0603);Paper tape;07 inch Dia. Reel;162000.0;±50ppm/°C;±0.1%;1/20 (0.05);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RE_105_RoHS_P_3.pdf
RE0201BRE07169KP;RE_P;Lead-Free Thick Film Chip Resistor;0201 (0603);Paper tape;07 inch Dia. Reel;169000.0;±50ppm/°C;±0.1%;1/20 (0.05);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RE_105_RoHS_P_3.pdf
RE0201BRE0716K9P;RE_P;Lead-Free Thick Film Chip Resistor;0201 (0603);Paper tape;07 inch Dia. Reel;16900.0;±50ppm/°C;±0.1%;1/20 (0.05);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RE_105_RoHS_P_3.pdf
RE0201BRE0716KP;RE_P;Lead-Free Thick Film Chip Resistor;0201 (0603);Paper tape;07 inch Dia. Reel;16000.0;±50ppm/°C;±0.1%;1/20 (0.05);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RE_105_RoHS_P_3.pdf
RE0201BRE07174KP;RE_P;Lead-Free Thick Film Chip Resistor;0201 (0603);Paper tape;07 inch Dia. Reel;174000.0;±50ppm/°C;±0.1%;1/20 (0.05);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RE_105_RoHS_P_3.pdf
RE0201BRE0717K4P;RE_P;Lead-Free Thick Film Chip Resistor;0201 (0603);Paper tape;07 inch Dia. Reel;17400.0;±50ppm/°C;±0.1%;1/20 (0.05);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RE_105_RoHS_P_3.pdf
RE0201BRE07180KP;RE_P;Lead-Free Thick Film Chip Resistor;0201 (0603);Paper tape;07 inch Dia. Reel;180000.0;±50ppm/°C;±0.1%;1/20 (0.05);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RE_105_RoHS_P_3.pdf
