Part Number;Series;Series Description;Size;Packing;Packing Description;Resistance;TCR;Tolerance;Power(W);Datasheet
RL0402-R-070RL;RL;Current Sensor- Thick Film Low Ohmic;0402 (1005);Paper tape;07 inch Dia. Reel;0.0;Based on Spec;Jumper;;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RL_Group_521_RoHS_L_3.pdf
RL0402FR-070R051L;RL;Current Sensor- Thick Film Low Ohmic;0402 (1005);Paper tape;07 inch Dia. Reel;0.051;Based on Spec;±1%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RL_Group_521_RoHS_L_3.pdf
RL0402FR-070R056L;RL;Current Sensor- Thick Film Low Ohmic;0402 (1005);Paper tape;07 inch Dia. Reel;0.056;Based on Spec;±1%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RL_Group_521_RoHS_L_3.pdf
RL0402FR-070R05L;RL;Current Sensor- Thick Film Low Ohmic;0402 (1005);Paper tape;07 inch Dia. reel;0.05;Based on Spec;±1%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RL_Group_521_RoHS_L_3.pdf
RL0402FR-070R062L;RL;Current Sensor- Thick Film Low Ohmic;0402 (1005);Paper tape;07 inch Dia. reel;0.062;Based on Spec;±1%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RL_Group_521_RoHS_L_3.pdf
RL0402FR-070R068L;RL;Current Sensor- Thick Film Low Ohmic;0402 (1005);Paper tape;07 inch Dia. reel;0.068;Based on Spec;±1%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RL_Group_521_RoHS_L_3.pdf
RL0402FR-070R075L;RL;Current Sensor- Thick Film Low Ohmic;0402 (1005);Paper tape;07 inch Dia. reel;0.075;Based on Spec;±1%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RL_Group_521_RoHS_L_3.pdf
RL0402FR-070R082L;RL;Current Sensor- Thick Film Low Ohmic;0402 (1005);Paper tape;07 inch Dia. reel;0.082;Based on Spec;±1%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RL_Group_521_RoHS_L_3.pdf
RL0402FR-070R091L;RL;Current Sensor- Thick Film Low Ohmic;0402 (1005);Paper tape;07 inch Dia. reel;0.091;Based on Spec;±1%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RL_Group_521_RoHS_L_3.pdf
RL0402FR-070R11L;RL;Current Sensor- Thick Film Low Ohmic;0402 (1005);Paper tape;07 inch Dia. reel;0.11;Based on Spec;±1%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RL_Group_521_RoHS_L_3.pdf
RL0402FR-070R12L;RL;Current Sensor- Thick Film Low Ohmic;0402 (1005);Paper tape;07 inch Dia. reel;0.12;Based on Spec;±1%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RL_Group_521_RoHS_L_3.pdf
RL0402FR-070R13L;RL;Current Sensor- Thick Film Low Ohmic;0402 (1005);Paper tape;07 inch Dia. reel;0.13;Based on Spec;±1%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RL_Group_521_RoHS_L_3.pdf
RL0402FR-070R15L;RL;Current Sensor- Thick Film Low Ohmic;0402 (1005);Paper tape;07 inch Dia. reel;0.15;Based on Spec;±1%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RL_Group_521_RoHS_L_3.pdf
RL0402FR-070R16L;RL;Current Sensor- Thick Film Low Ohmic;0402 (1005);Paper tape;07 inch Dia. reel;0.16;Based on Spec;±1%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RL_Group_521_RoHS_L_3.pdf
RL0402FR-070R18L;RL;Current Sensor- Thick Film Low Ohmic;0402 (1005);Paper tape;07 inch Dia. reel;0.18;Based on Spec;±1%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RL_Group_521_RoHS_L_3.pdf
RL0402FR-070R1L;RL;Current Sensor- Thick Film Low Ohmic;0402 (1005);Paper tape;07 inch Dia. reel;0.1;Based on Spec;±1%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RL_Group_521_RoHS_L_3.pdf
RL0402FR-070R22L;RL;Current Sensor- Thick Film Low Ohmic;0402 (1005);Paper tape;07 inch Dia. reel;0.22;Based on Spec;±1%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RL_Group_521_RoHS_L_3.pdf
RL0402FR-070R24L;RL;Current Sensor- Thick Film Low Ohmic;0402 (1005);Paper tape;07 inch Dia. reel;0.24;Based on Spec;±1%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RL_Group_521_RoHS_L_3.pdf
RL0402FR-070R25L;RL;Current Sensor- Thick Film Low Ohmic;0402 (1005);Paper tape;07 inch Dia. reel;0.25;Based on Spec;±1%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RL_Group_521_RoHS_L_3.pdf
RL0402FR-070R27L;RL;Current Sensor- Thick Film Low Ohmic;0402 (1005);Paper tape;07 inch Dia. reel;0.27;Based on Spec;±1%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RL_Group_521_RoHS_L_3.pdf
