Part Number;Series;Series Description;Size;Packing;Packing Description;Resistance;TCR;Tolerance;Power(W);Datasheet
RP0402BRB07100KL;RP;Automotive Grade Thin Film Chip Resistor;0402 (1005);Paper tape;07 inch Dia. Reel;100000.0;±10ppm/°C;±0.1%;1/16;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RP_51_RoHS_L_3.pdf
RP0402BRB07100RL;RP;Automotive Grade Thin Film Chip Resistor;0402 (1005);Paper tape;07 inch Dia. Reel;100.0;±10ppm/°C;±0.1%;1/16;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RP_51_RoHS_L_3.pdf
RP0402BRB07102RL;RP;Automotive Grade Thin Film Chip Resistor;0402 (1005);Paper tape;07 inch Dia. Reel;102.0;±10ppm/°C;±0.1%;1/16;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RP_51_RoHS_L_3.pdf
RP0402BRB07105RL;RP;Automotive Grade Thin Film Chip Resistor;0402 (1005);Paper tape;07 inch Dia. Reel;105.0;±10ppm/°C;±0.1%;1/16;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RP_51_RoHS_L_3.pdf
RP0402BRB07107RL;RP;Automotive Grade Thin Film Chip Resistor;0402 (1005);Paper tape;07 inch Dia. Reel;107.0;±10ppm/°C;±0.1%;1/16;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RP_51_RoHS_L_3.pdf
RP0402BRB0710K2L;RP;Automotive Grade Thin Film Chip Resistor;0402 (1005);Paper tape;07 inch Dia. Reel;10200.0;±10ppm/°C;±0.1%;1/16;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RP_51_RoHS_L_3.pdf
RP0402BRB0710K5L;RP;Automotive Grade Thin Film Chip Resistor;0402 (1005);Paper tape;07 inch Dia. Reel;10500.0;±10ppm/°C;±0.1%;1/16;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RP_51_RoHS_L_3.pdf
RP0402BRB0710K7L;RP;Automotive Grade Thin Film Chip Resistor;0402 (1005);Paper tape;07 inch Dia. Reel;10700.0;±10ppm/°C;±0.1%;1/16;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RP_51_RoHS_L_3.pdf
RP0402BRB0710KL;RP;Automotive Grade Thin Film Chip Resistor;0402 (1005);Paper tape;07 inch Dia. Reel;10000.0;±10ppm/°C;±0.1%;1/16;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RP_51_RoHS_L_3.pdf
RP0402BRB07110RL;RP;Automotive Grade Thin Film Chip Resistor;0402 (1005);Paper tape;07 inch Dia. Reel;110.0;±10ppm/°C;±0.1%;1/16;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RP_51_RoHS_L_3.pdf
RP0402BRB07113RL;RP;Automotive Grade Thin Film Chip Resistor;0402 (1005);Paper tape;07 inch Dia. Reel;113.0;±10ppm/°C;±0.1%;1/16;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RP_51_RoHS_L_3.pdf
RP0402BRB07115RL;RP;Automotive Grade Thin Film Chip Resistor;0402 (1005);Paper tape;07 inch Dia. Reel;115.0;±10ppm/°C;±0.1%;1/16;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RP_51_RoHS_L_3.pdf
RP0402BRB07118RL;RP;Automotive Grade Thin Film Chip Resistor;0402 (1005);Paper tape;07 inch Dia. Reel;118.0;±10ppm/°C;±0.1%;1/16;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RP_51_RoHS_L_3.pdf
