Part Number;Series;Series Description;Size;Packing;Packing Description;Resistance;TCR;Tolerance;Power(W);Datasheet
RV0603DR-07100KL;RV;High Voltage Chip Resistor;0603 (1608);Paper tape;07 inch Dia. Reel;100000.0;Based on Spec;±0.5%;1/10 (0.1);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RV_51_RoHS_L_12.pdf
RV0603DR-07180KL;RV;High Voltage Chip Resistor;0603 (1608);Paper tape;07 inch Dia. Reel;180000.0;Based on Spec;±0.5%;1/10 (0.1);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RV_51_RoHS_L_12.pdf
RV0603DR-07200KL;RV;High Voltage Chip Resistor;0603 (1608);Paper tape;07 inch Dia. Reel;200000.0;Based on Spec;±0.5%;1/10 (0.1);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RV_51_RoHS_L_12.pdf
RV0603DR-073M3L;RV;High Voltage Chip Resistor;0603 (1608);Paper tape;07 inch Dia. Reel;3300000.0;Based on Spec;±0.5%;1/10 (0.1);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RV_51_RoHS_L_12.pdf
RV0603DR-07453KL;RV;High Voltage Chip Resistor;0603 (1608);Paper tape;07 inch Dia. Reel;453000.0;Based on Spec;±0.5%;1/10 (0.1);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RV_51_RoHS_L_12.pdf
RV0603DR-0745K3L;RV;High Voltage Chip Resistor;0603 (1608);Paper tape;07 inch Dia. Reel;45300.0;Based on Spec;±0.5%;1/10 (0.1);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RV_51_RoHS_L_12.pdf
RV0603DR-0756KL;RV;High Voltage Chip Resistor;0603 (1608);Paper tape;07 inch Dia. Reel;56000.0;Based on Spec;±0.5%;1/10 (0.1);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RV_51_RoHS_L_12.pdf
RV0603DR-0762KL;RV;High Voltage Chip Resistor;0603 (1608);Paper tape;07 inch Dia. Reel;62000.0;Based on Spec;±0.5%;1/10 (0.1);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RV_51_RoHS_L_12.pdf
RV0603FR-07100KL;RV;High Voltage Chip Resistor;0603 (1608);Paper tape;07 inch Dia. reel;100000.0;Based on Spec;±1%;1/10 (0.1);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RV_51_RoHS_L_12.pdf
RV0603FR-07100RL;RV;High Voltage Chip Resistor;0603 (1608);Paper tape;07 inch Dia. reel;100.0;Based on Spec;±1%;1/10 (0.1);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RV_51_RoHS_L_12.pdf
