Part Number;Series;Series Description;Size;Packing;Packing Description;Resistance;TCR;Tolerance;Power(W);Datasheet
RV0603FR-07100KP;RV_P;Lead-Free High Voltage Chip Resistor;0603 (1608);Paper tape;07 inch Dia. reel;100000.0;Based on Spec;±1%;1/10 (0.1);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RV_51_RoHS_P_0.pdf
RV0603FR-0710MP;RV_P;Lead-Free High Voltage Chip Resistor;0603 (1608);Paper tape;07 inch Dia. reel;10000000.0;Based on Spec;±1%;1/10 (0.1);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RV_51_RoHS_P_0.pdf
RV0603FR-071MP;RV_P;Lead-Free High Voltage Chip Resistor;0603 (1608);Paper tape;07 inch Dia. reel;1000000.0;Based on Spec;±1%;1/10 (0.1);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RV_51_RoHS_P_0.pdf
RV0603FR-07200RP;RV_P;Lead-Free High Voltage Chip Resistor;0603 (1608);Paper tape;07 inch Dia. reel;200.0;Based on Spec;±1%;1/10 (0.1);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RV_51_RoHS_P_0.pdf
RV0603FR-0747RP;RV_P;Lead-Free High Voltage Chip Resistor;0603 (1608);Paper tape;07 inch Dia. reel;47.0;Based on Spec;±1%;1/10 (0.1);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RV_51_RoHS_P_0.pdf
RV0805FR-07100KP;RV_P;Lead-Free High Voltage Chip Resistor;0805 (2012);Paper tape;07 inch Dia. reel;100000.0;Based on Spec;±1%;1/8 (0.125);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RV_51_RoHS_P_0.pdf
RV0805FR-071M2P;RV_P;Lead-Free High Voltage Chip Resistor;0805 (2012);Paper tape;07 inch Dia. reel;1200000.0;Based on Spec;±1%;1/8 (0.125);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RV_51_RoHS_P_0.pdf
RV0805FR-07200RP;RV_P;Lead-Free High Voltage Chip Resistor;0805 (2012);Paper tape;07 inch Dia. reel;200.0;Based on Spec;±1%;1/8 (0.125);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RV_51_RoHS_P_0.pdf
RV0805FR-0722MP;RV_P;Lead-Free High Voltage Chip Resistor;0805 (2012);Paper tape;07 inch Dia. reel;22000000.0;Based on Spec;±1%;1/8 (0.125);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RV_51_RoHS_P_0.pdf
RV0805FR-0747RP;RV_P;Lead-Free High Voltage Chip Resistor;0805 (2012);Paper tape;07 inch Dia. reel;47.0;Based on Spec;±1%;1/8 (0.125);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RV_51_RoHS_P_0.pdf
RV1206FR-07100KP;RV_P;Lead-Free High Voltage Chip Resistor;1206 (3216);Paper tape;07 inch Dia. reel;100000.0;Based on Spec;±1%;1/4 (0.25);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RV_51_RoHS_P_0.pdf
RV1206FR-071M8P;RV_P;Lead-Free High Voltage Chip Resistor;1206 (3216);Paper tape;07 inch Dia. reel;1800000.0;Based on Spec;±1%;1/4 (0.25);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RV_51_RoHS_P_0.pdf
RV1206FR-0727MP;RV_P;Lead-Free High Voltage Chip Resistor;1206 (3216);Paper tape;07 inch Dia. reel;27000000.0;Based on Spec;±1%;1/4 (0.25);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RV_51_RoHS_P_0.pdf
RV1206FR-0747RP;RV_P;Lead-Free High Voltage Chip Resistor;1206 (3216);Paper tape;07 inch Dia. reel;47.0;Based on Spec;±1%;1/4 (0.25);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RV_51_RoHS_P_0.pdf
RV1206JR-0775KP;RV_P;Lead-Free High Voltage Chip Resistor;1206 (3216);Paper tape;07 inch Dia. reel;75000.0;Based on Spec;±5%;1/4 (0.25);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RV_51_RoHS_P_0.pdf
RV2010FR-07100KP;RV_P;Lead-Free High Voltage Chip Resistor;2010 (5025);Paper tape;07 inch Dia. reel;100000.0;Based on Spec;±1%;3/4 (0.75);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RV_51_RoHS_P_0.pdf
RV2010FR-071M2P;RV_P;Lead-Free High Voltage Chip Resistor;2010 (5025);Paper tape;07 inch Dia. reel;1200000.0;Based on Spec;±1%;3/4 (0.75);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RV_51_RoHS_P_0.pdf
RV2010FR-0722MP;RV_P;Lead-Free High Voltage Chip Resistor;2010 (5025);Paper tape;07 inch Dia. reel;22000000.0;Based on Spec;±1%;3/4 (0.75);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RV_51_RoHS_P_0.pdf
RV2010FR-0747RP;RV_P;Lead-Free High Voltage Chip Resistor;2010 (5025);Paper tape;07 inch Dia. reel;47.0;Based on Spec;±1%;3/4 (0.75);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RV_51_RoHS_P_0.pdf
RV2512FR-07100KP;RV_P;Lead-Free High Voltage Chip Resistor;2512 (6432);Paper tape;07 inch Dia. reel;100000.0;Based on Spec;±1%;1;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RV_51_RoHS_P_0.pdf
RV2512FR-0716MP;RV_P;Lead-Free High Voltage Chip Resistor;2512 (6432);Paper tape;07 inch Dia. reel;16000000.0;Based on Spec;±1%;1;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RV_51_RoHS_P_0.pdf
RV2512FR-071MP;RV_P;Lead-Free High Voltage Chip Resistor;2512 (6432);Paper tape;07 inch Dia. reel;1000000.0;Based on Spec;±1%;1;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RV_51_RoHS_P_0.pdf
RV2512FR-0747RP;RV_P;Lead-Free High Voltage Chip Resistor;2512 (6432);Paper tape;07 inch Dia. reel;47.0;Based on Spec;±1%;1;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RV_51_RoHS_P_0.pdf
