Part Number;Series;Series Description;Size;Packing;Packing Description;Resistance;TCR;Tolerance;Power(W);Datasheet
SR0402DR-7T6R98P;SR;Anti-surge Chip Resistor;0402 (1005);Paper tape;07 inch Dia. Reel;6.98;Based on Spec;±0.5%;1/5 (0.2);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-SR_51_RoHS_P_1.pdf
SR0402DR-7T7R15P;SR;Anti-surge Chip Resistor;0402 (1005);Paper tape;07 inch Dia. Reel;7.15;Based on Spec;±0.5%;1/5 (0.2);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-SR_51_RoHS_P_1.pdf
SR0402FR-7T3R9P;SR;Anti-surge Chip Resistor;0402 (1005);Paper tape;07 inch Dia. Reel;3.9;Based on Spec;±1%;1/5 (0.2);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-SR_51_RoHS_P_1.pdf
SR0402JR-7W10RP;SR;Anti-surge Chip Resistor;0402 (1005);Paper tape;07 inch Dia. reel;10.0;Based on Spec;±5%;1/8 (0.125);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-SR_51_RoHS_P_1.pdf
SR0603FR-7T100RP;SR;Anti-surge Chip Resistor;0603 (1608);Paper tape;07 inch Dia. reel;100.0;Based on Spec;±1%;1/4 (0.25);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-SR_51_RoHS_P_1.pdf
SR0603FR-7T1MP;SR;Anti-surge Chip Resistor;0603 (1608);Paper tape;07 inch Dia. reel;1000000.0;Based on Spec;±1%;1/4 (0.25);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-SR_51_RoHS_P_1.pdf
SR0603FR-7T1RP;SR;Anti-surge Chip Resistor;0603 (1608);Paper tape;07 inch Dia. reel;1.0;Based on Spec;±1%;1/4 (0.25);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-SR_51_RoHS_P_1.pdf
SR0603FR-7T22KP;SR;Anti-surge Chip Resistor;0603 (1608);Paper tape;07 inch Dia. reel;22000.0;Based on Spec;±1%;1/4 (0.25);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-SR_51_RoHS_P_1.pdf
SR0603FR-7T330RP;SR;Anti-surge Chip Resistor;0603 (1608);Paper tape;07 inch Dia. reel;330.0;Based on Spec;±1%;1/4 (0.25);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-SR_51_RoHS_P_1.pdf
SR0603FR-7T430RP;SR;Anti-surge Chip Resistor;0603 (1608);Paper tape;07 inch Dia. reel;430.0;Based on Spec;±1%;1/4 (0.25);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-SR_51_RoHS_P_1.pdf
SR0603FR-7T49R9P;SR;Anti-surge Chip Resistor;0603 (1608);Paper tape;07 inch Dia. Reel;49.9;Based on Spec;±1%;1/4 (0.25);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-SR_51_RoHS_P_1.pdf
SR0603FR-7T7R5P;SR;Anti-surge Chip Resistor;0603 (1608);Paper tape;07 inch Dia. Reel;7.5;Based on Spec;±1%;1/4 (0.25);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-SR_51_RoHS_P_1.pdf
SR0603JR-7T1MP;SR;Anti-surge Chip Resistor;0603 (1608);Paper tape;07 inch Dia. reel;1000000.0;Based on Spec;±5%;1/4 (0.25);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-SR_51_RoHS_P_1.pdf
SR0603JR-7T1RP;SR;Anti-surge Chip Resistor;0603 (1608);Paper tape;07 inch Dia. reel;1.0;Based on Spec;±5%;1/4 (0.25);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-SR_51_RoHS_P_1.pdf
SR0603JR-7T22KP;SR;Anti-surge Chip Resistor;0603 (1608);Paper tape;07 inch Dia. reel;22000.0;Based on Spec;±5%;1/4 (0.25);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-SR_51_RoHS_P_1.pdf
SR0805FR-4710KP;SR;Anti-surge Chip Resistor;0805 (2012);Paper tape;07 inch Dia. reel;10000.0;Based on Spec;±1%;1/2 (0.5);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-SR_51_RoHS_P_1.pdf
SR0805FR-4710RP;SR;Anti-surge Chip Resistor;0805 (2012);Paper tape;07 inch Dia. reel;10.0;Based on Spec;±1%;1/2 (0.5);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-SR_51_RoHS_P_1.pdf
SR0805FR-471MP;SR;Anti-surge Chip Resistor;0805 (2012);Paper tape;07 inch Dia. reel;1000000.0;Based on Spec;±1%;1/2 (0.5);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-SR_51_RoHS_P_1.pdf
SR0805FR-471RP;SR;Anti-surge Chip Resistor;0805 (2012);Paper tape;07 inch Dia. reel;1.0;Based on Spec;±1%;1/2 (0.5);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-SR_51_RoHS_P_1.pdf
SR0805FR-4730R1P;SR;Anti-surge Chip Resistor;0805 (2012);Paper tape;07 inch Dia. reel;30.1;Based on Spec;±1%;1/2 (0.5);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-SR_51_RoHS_P_1.pdf
SR0805FR-477R5P;SR;Anti-surge Chip Resistor;0805 (2012);Paper tape;07 inch Dia. reel;7.5;Based on Spec;±1%;1/2 (0.5);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-SR_51_RoHS_P_1.pdf
SR0805FR-7T39RP;SR;Anti-surge Chip Resistor;0805 (2012);Paper tape;07 inch Dia. Reel;39.0;Based on Spec;±1%;1/3 (0.33);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-SR_51_RoHS_P_1.pdf
SR0805FR-7T51RP;SR;Anti-surge Chip Resistor;0805 (2012);Paper tape;07 inch Dia. Reel;51.0;Based on Spec;±1%;1/3 (0.33);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-SR_51_RoHS_P_1.pdf
SR0805JR-4710KP;SR;Anti-surge Chip Resistor;0805 (2012);Paper tape;07 inch Dia. reel;10000.0;Based on Spec;±5%;1/2 (0.5);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-SR_51_RoHS_P_1.pdf
SR0805JR-4715RP;SR;Anti-surge Chip Resistor;0805 (2012);Paper tape;07 inch Dia. reel;15.0;Based on Spec;±5%;1/2 (0.5);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-SR_51_RoHS_P_1.pdf
SR0805JR-471MP;SR;Anti-surge Chip Resistor;0805 (2012);Paper tape;07 inch Dia. reel;1000000.0;Based on Spec;±5%;1/2 (0.5);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-SR_51_RoHS_P_1.pdf
SR0805JR-471RP;SR;Anti-surge Chip Resistor;0805 (2012);Paper tape;07 inch Dia. reel;1.0;Based on Spec;±5%;1/2 (0.5);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-SR_51_RoHS_P_1.pdf
SR1206FR-7T10KP;SR;Anti-surge Chip Resistor;1206 (3216);Paper tape;07 inch Dia. Reel;10000.0;Based on Spec;±1%;3/4 (0.75);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-SR_51_RoHS_P_1.pdf
SR1206FR-7T150RP;SR;Anti-surge Chip Resistor;1206 (3216);Paper tape;07 inch Dia. Reel;150.0;Based on Spec;±1%;3/4 (0.75);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-SR_51_RoHS_P_1.pdf
SR1206FR-7T1KP;SR;Anti-surge Chip Resistor;1206 (3216);Paper tape;07 inch Dia. Reel;1000.0;Based on Spec;±1%;3/4 (0.75);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-SR_51_RoHS_P_1.pdf
SR1206FR-7T1RP;SR;Anti-surge Chip Resistor;1206 (3216);Paper tape;07 inch Dia. Reel;1.0;Based on Spec;±1%;3/4 (0.75);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-SR_51_RoHS_P_1.pdf
SR1206JR-7W150RP;SR;Anti-surge Chip Resistor;1206 (3216);Paper tape;07 inch Dia. Reel;150.0;Based on Spec;±5%;1/2 (0.5);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-SR_51_RoHS_P_1.pdf
SR1210FR-7W10KP;SR;Anti-surge Chip Resistor;1210 (3225);Paper tape;07 inch Dia. Reel;10000.0;Based on Spec;±1%;1;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-SR_51_RoHS_P_1.pdf
