Part Number;Series;Series Description;Size;Packing;Packing Description;Resistance;TCR;Tolerance;Power(W);Datasheet
TR0402KR-07100KL;TR;Trimmable Chip Resister;0402 (1005);Paper tape;07 inch Dia. reel;100000.0;Based on Spec;+0/-10%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-TR_0-30_RoHS_L_1.pdf
TR0402KR-07100RL;TR;Trimmable Chip Resister;0402 (1005);Paper tape;07 inch Dia. reel;100.0;Based on Spec;+0/-10%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-TR_0-30_RoHS_L_1.pdf
TR0402KR-0710KL;TR;Trimmable Chip Resister;0402 (1005);Paper tape;07 inch Dia. reel;10000.0;Based on Spec;+0/-10%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-TR_0-30_RoHS_L_1.pdf
TR0402KR-0710ML;TR;Trimmable Chip Resister;0402 (1005);Paper tape;07 inch Dia. reel;10000000.0;Based on Spec;+0/-10%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-TR_0-30_RoHS_L_1.pdf
TR0402KR-0710RL;TR;Trimmable Chip Resister;0402 (1005);Paper tape;07 inch Dia. reel;10.0;Based on Spec;+0/-10%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-TR_0-30_RoHS_L_1.pdf
TR0402KR-07110KL;TR;Trimmable Chip Resister;0402 (1005);Paper tape;07 inch Dia. reel;110000.0;Based on Spec;+0/-10%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-TR_0-30_RoHS_L_1.pdf
TR0402KR-07110RL;TR;Trimmable Chip Resister;0402 (1005);Paper tape;07 inch Dia. reel;110.0;Based on Spec;+0/-10%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-TR_0-30_RoHS_L_1.pdf
TR0402KR-0711KL;TR;Trimmable Chip Resister;0402 (1005);Paper tape;07 inch Dia. reel;11000.0;Based on Spec;+0/-10%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-TR_0-30_RoHS_L_1.pdf
TR0402KR-0711RL;TR;Trimmable Chip Resister;0402 (1005);Paper tape;07 inch Dia. reel;11.0;Based on Spec;+0/-10%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-TR_0-30_RoHS_L_1.pdf
TR0402KR-07120KL;TR;Trimmable Chip Resister;0402 (1005);Paper tape;07 inch Dia. reel;120000.0;Based on Spec;+0/-10%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-TR_0-30_RoHS_L_1.pdf
