Part Number;Series;Series Description;Size;Packing;Packing Description;Resistance;TCR;Tolerance;Power(W);Datasheet
VT1206BRB071M5L;VT;Automotive Grade Thin Film Chip Resistor;1206 (3216);Paper tape;07 inch Dia. Reel;1500000.0;±10ppm/°C;±0.1%;1/4;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-VT_51_RoHS_L_0.pdf
VT1206BRB071ML;VT;Automotive Grade Thin Film Chip Resistor;1206 (3216);Paper tape;07 inch Dia. Reel;1000000.0;±10ppm/°C;±0.1%;1/4;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-VT_51_RoHS_L_0.pdf
VT1206BRB07240KL;VT;Automotive Grade Thin Film Chip Resistor;1206 (3216);Paper tape;07 inch Dia. Reel;240000.0;±10ppm/°C;±0.1%;1/4;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-VT_51_RoHS_L_0.pdf
VT1206BRB07330KL;VT;Automotive Grade Thin Film Chip Resistor;1206 (3216);Paper tape;07 inch Dia. Reel;330000.0;±10ppm/°C;±0.1%;1/4;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-VT_51_RoHS_L_0.pdf
VT1206BRB07499KL;VT;Automotive Grade Thin Film Chip Resistor;1206 (3216);Paper tape;07 inch Dia. Reel;499000.0;±10ppm/°C;±0.1%;1/4;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-VT_51_RoHS_L_0.pdf
VT1206BRB07750KL;VT;Automotive Grade Thin Film Chip Resistor;1206 (3216);Paper tape;07 inch Dia. Reel;750000.0;±10ppm/°C;±0.1%;1/4;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-VT_51_RoHS_L_0.pdf
VT1206BRD07180KL;VT;Automotive Grade Thin Film Chip Resistor;1206 (3216);Paper tape;07 inch Dia. Reel;180000.0;±25ppm/°C;±0.1%;1/4;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-VT_51_RoHS_L_0.pdf
VT1206BRD071M1L;VT;Automotive Grade Thin Film Chip Resistor;1206 (3216);Paper tape;07 inch Dia. Reel;1100000.0;±25ppm/°C;±0.1%;1/4;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-VT_51_RoHS_L_0.pdf
VT1206BRD071M2L;VT;Automotive Grade Thin Film Chip Resistor;1206 (3216);Paper tape;07 inch Dia. Reel;1200000.0;±25ppm/°C;±0.1%;1/4;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-VT_51_RoHS_L_0.pdf
VT1206BRD071M5L;VT;Automotive Grade Thin Film Chip Resistor;1206 (3216);Paper tape;07 inch Dia. Reel;1500000.0;±25ppm/°C;±0.1%;1/4;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-VT_51_RoHS_L_0.pdf
VT1206BRD071ML;VT;Automotive Grade Thin Film Chip Resistor;1206 (3216);Paper tape;07 inch Dia. Reel;1000000.0;±25ppm/°C;±0.1%;1/4;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-VT_51_RoHS_L_0.pdf
