Part Number;Series;Series Description;Size;Packing;Packing Description;Resistance;TCR;Tolerance;Power(W);Datasheet
TC122-FR-07100KL;TC;R-Array/R-Network (concave);0402 x 2 (0404);Paper tape;07 inch Dia. reel;100000.0;Based on Spec;±1%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-YC_TC_group_51_RoHS_L_9.pdf
TC122-FR-07100RL;TC;R-Array/R-Network (concave);0402 x 2 (0404);Paper tape;07 inch Dia. reel;100.0;Based on Spec;±1%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-YC_TC_group_51_RoHS_L_9.pdf
TC122-FR-07102KL;TC;R-Array/R-Network (concave);0402 x 2 (0404);Paper tape;07 inch Dia. reel;102000.0;Based on Spec;±1%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-YC_TC_group_51_RoHS_L_9.pdf
TC122-FR-07102RL;TC;R-Array/R-Network (concave);0402 x 2 (0404);Paper tape;07 inch Dia. reel;102.0;Based on Spec;±1%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-YC_TC_group_51_RoHS_L_9.pdf
TC122-FR-07105KL;TC;R-Array/R-Network (concave);0402 x 2 (0404);Paper tape;07 inch Dia. reel;105000.0;Based on Spec;±1%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-YC_TC_group_51_RoHS_L_9.pdf
TC122-FR-07105RL;TC;R-Array/R-Network (concave);0402 x 2 (0404);Paper tape;07 inch Dia. reel;105.0;Based on Spec;±1%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-YC_TC_group_51_RoHS_L_9.pdf
TC122-FR-07107KL;TC;R-Array/R-Network (concave);0402 x 2 (0404);Paper tape;07 inch Dia. reel;107000.0;Based on Spec;±1%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-YC_TC_group_51_RoHS_L_9.pdf
TC122-FR-07107RL;TC;R-Array/R-Network (concave);0402 x 2 (0404);Paper tape;07 inch Dia. reel;107.0;Based on Spec;±1%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-YC_TC_group_51_RoHS_L_9.pdf
TC122-FR-0710K2L;TC;R-Array/R-Network (concave);0402 x 2 (0404);Paper tape;07 inch Dia. reel;10200.0;Based on Spec;±1%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-YC_TC_group_51_RoHS_L_9.pdf
TC122-FR-0710K5L;TC;R-Array/R-Network (concave);0402 x 2 (0404);Paper tape;07 inch Dia. reel;10500.0;Based on Spec;±1%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-YC_TC_group_51_RoHS_L_9.pdf
TC122-FR-0710K7L;TC;R-Array/R-Network (concave);0402 x 2 (0404);Paper tape;07 inch Dia. reel;10700.0;Based on Spec;±1%;1/16 (0.063);https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-YC_TC_group_51_RoHS_L_9.pdf
