Part Number;Series;Series Description;Size;Packing;Packing Description;Resistance;TCR;Tolerance;Power(W);Datasheet
AC0201-R-SB001S;AC;Automotive Grade Anti-Sulfurated Chip Resistor;;;Sample Book;;;;;
AC0402-R-SBE24L;AC;Automotive Grade Anti-Sulfurated Chip Resistor;;;Sample Book;;;;;
AT0402FRE0710K9L;AT;Automotive Grade Thin Film Chip Resistor;;;;;;;;
PA0402BRL7T0R02L;PA;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;0402 (1005);Paper tape;07 inch Dia. Reel;0.02;±150ppm/°C;±0.1%;1/6 (0.167);
PA0402CRF5P2U5L;PA;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;0402 (1005);Paper tape;07 inch Dia. Reel;0.0025;±100ppm/°C;±0.25%;3;
PA0508GRG070R001L;PA;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;0508 (1220);Paper tape;07 inch Dia. Reel;0.001;±200ppm/°C;±2%;2;
PA0508GRG070R002L;PA;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;0508 (1220);Paper tape;07 inch Dia. Reel;0.002;±200ppm/°C;±2%;2;
PA0603BRE570R01L;PA;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;0603 (1608);Paper tape;07 inch Dia. Reel;0.01;±50ppm/°C;±0.1%;1/2 (0.5);
PA0603BRM570R02L;PA;Automotive Grade Metal Current Sensor - Low TCR Chip Resistor;0603 (1608);Paper tape;07 inch Dia. Reel;0.02;±75ppm/°C;±0.1%;1/2 (0.5);
RC0100-R-SKE24L;RC;General Purpose Chip Resistor;;;Sample Kit;;;;;
RC0201-R-SKE24L;RC;General Purpose Chip Resistor;;;Sample Kit;;;;;
RC0201FR-SKE96L;RC;General Purpose Chip Resistor;;;Sample Kit;;;;;
RC0201FR-SNE96L;RC;General Purpose Chip Resistor;;;Sample Kit;;;;;
RC0402-R-SK001L;RC;General Purpose Chip Resistor;;;Sample Kit;;;;;
RC0402FR-SKE12L;RC;General Purpose Chip Resistor;;;Sample Kit;;;;;
RC0402FR-SKE24L;RC;General Purpose Chip Resistor;;;Sample Kit;;;;;
RC0402FR-SKE96L;RC;General Purpose Chip Resistor;;;Sample Kit;;;;;
RC0402FR-SNE96L;RC;General Purpose Chip Resistor;;;Sample Kit;;;;;
RC0402JR-SKE24L;RC;General Purpose Chip Resistor;;;Sample Kit;;;;;
RC0603FR-SKE24L;RC;General Purpose Chip Resistor;;;Sample Kit;;;;;
RC0603FR-SKE96L;RC;General Purpose Chip Resistor;;;Sample Kit;;;;;
RC0603FR-SNE96L;RC;General Purpose Chip Resistor;;;Sample Kit;;;;;
RC0603JR-SKE24L;RC;General Purpose Chip Resistor;;;Sample Kit;;;;;
RC0805-R-SBE24L;RC;General Purpose Chip Resistor;;;Sample Kit;;;;;
RC0805FR-SKE24L;RC;General Purpose Chip Resistor;;;Sample Kit;;;;;
RC0805FR-SKE96L;RC;General Purpose Chip Resistor;;;Sample Kit;;;;;
RC0805FR-SNE96L;RC;General Purpose Chip Resistor;;;Sample Kit;;;;;
RC0805JR-SKE24L;RC;General Purpose Chip Resistor;;;Sample Kit;;;;;
RC1206-R-SBE24L;RC;General Purpose Chip Resistor;;;Sample Kit;;;;;
RC1206FR-SKE24L;RC;General Purpose Chip Resistor;;;Sample Kit;;;;;
RC1206FR-SKE96L;RC;General Purpose Chip Resistor;;;Sample Kit;;;;;
RC1206FR-SNE96L;RC;General Purpose Chip Resistor;;;Sample Kit;;;;;
RC1206JR-SKE24L;RC;General Purpose Chip Resistor;;;Sample Kit;;;;;
RT0402BRE0710K9L;RT;High Precison High Stability Thin Film Chip Resistor;;;;;;;;
SR0402-R-SB001L;SR;Anti-surge Chip Resistor;;;Sample Book;;;;;
SR1206KR-7W240RL;SR;Anti-surge Chip Resistor;;;;;;;;
